cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size        6, 16902775 req, miss ratio 0.0296, byte miss ratio 0.0296
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size       20, 16902775 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size       67, 16902775 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      201, 16902775 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      670, 16902775 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     1341, 16902775 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size        6, 16902775 req, miss ratio 0.0287, byte miss ratio 0.0287
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size       20, 16902775 req, miss ratio 0.0113, byte miss ratio 0.0113
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size       67, 16902775 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size      201, 16902775 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size      670, 16902775 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     1341, 16902775 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size        6, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size       20, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size       67, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size      201, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size      670, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size     1341, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size        6, 16902775 req, miss ratio 0.0260, byte miss ratio 0.0260
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size       20, 16902775 req, miss ratio 0.0108, byte miss ratio 0.0108
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size       67, 16902775 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size      201, 16902775 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size      670, 16902775 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size     1341, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size        6, 16902775 req, miss ratio 0.0275, byte miss ratio 0.0275
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size       20, 16902775 req, miss ratio 0.0109, byte miss ratio 0.0109
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size       67, 16902775 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size      201, 16902775 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size      670, 16902775 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size     1341, 16902775 req, miss ratio 0.0005, byte miss ratio 0.0005
