tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.7000 cache size    20240, 468248714 req, miss ratio 0.3163, byte miss ratio 0.3163
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.7000 cache size    67469, 468248714 req, miss ratio 0.2051, byte miss ratio 0.2051
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.7000 cache size   202409, 468248714 req, miss ratio 0.1298, byte miss ratio 0.1298
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.7000 cache size   674698, 468248714 req, miss ratio 0.0739, byte miss ratio 0.0739
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.7000 cache size  1349396, 468248714 req, miss ratio 0.0485, byte miss ratio 0.0485
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.7000 cache size  2698792, 468248714 req, miss ratio 0.0269, byte miss ratio 0.0269
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.7000 cache size  5397585, 468248714 req, miss ratio 0.0149, byte miss ratio 0.0149
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size     6746, 468248714 req, miss ratio 0.4548, byte miss ratio 0.4548
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size    20240, 468248714 req, miss ratio 0.3297, byte miss ratio 0.3297
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size    67469, 468248714 req, miss ratio 0.2164, byte miss ratio 0.2164
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size   202409, 468248714 req, miss ratio 0.1381, byte miss ratio 0.1381
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size   674698, 468248714 req, miss ratio 0.0799, byte miss ratio 0.0799
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size  1349396, 468248714 req, miss ratio 0.0547, byte miss ratio 0.0547
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size  2698792, 468248714 req, miss ratio 0.0302, byte miss ratio 0.0302
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size  5397585, 468248714 req, miss ratio 0.0152, byte miss ratio 0.0152
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.6000 cache size     6746, 468248714 req, miss ratio 0.4507, byte miss ratio 0.4507
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.6000 cache size    20240, 468248714 req, miss ratio 0.3299, byte miss ratio 0.3299
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.6000 cache size    67469, 468248714 req, miss ratio 0.2120, byte miss ratio 0.2120
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.6000 cache size   202409, 468248714 req, miss ratio 0.1326, byte miss ratio 0.1326
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.6000 cache size   674698, 468248714 req, miss ratio 0.0738, byte miss ratio 0.0738
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.6000 cache size  1349396, 468248714 req, miss ratio 0.0461, byte miss ratio 0.0461
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.6000 cache size  2698792, 468248714 req, miss ratio 0.0248, byte miss ratio 0.0248
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.6000 cache size  5397585, 468248714 req, miss ratio 0.0149, byte miss ratio 0.0149
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size     6746, 468248714 req, miss ratio 0.4424, byte miss ratio 0.4424
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size    20240, 468248714 req, miss ratio 0.3163, byte miss ratio 0.3163
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size    67469, 468248714 req, miss ratio 0.2050, byte miss ratio 0.2050
