w04.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size 15002704, 77764582 req, miss ratio 0.2454, byte miss ratio 0.2454
w04.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    18753, 77764582 req, miss ratio 0.5599, byte miss ratio 0.5599
w04.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    56260, 77764582 req, miss ratio 0.5054, byte miss ratio 0.5054
w04.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   187533, 77764582 req, miss ratio 0.4690, byte miss ratio 0.4690
w04.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   562601, 77764582 req, miss ratio 0.4336, byte miss ratio 0.4336
w04.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size  1875338, 77764582 req, miss ratio 0.4133, byte miss ratio 0.4133
w04.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size  3750676, 77764582 req, miss ratio 0.3740, byte miss ratio 0.3740
w04.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size  7501352, 77764582 req, miss ratio 0.2915, byte miss ratio 0.2915
w04.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size 15002704, 77764582 req, miss ratio 0.2427, byte miss ratio 0.2427
w04.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size    18753, 77764582 req, miss ratio 0.5909, byte miss ratio 0.5909
w04.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size    56260, 77764582 req, miss ratio 0.5392, byte miss ratio 0.5392
w04.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size   187533, 77764582 req, miss ratio 0.4948, byte miss ratio 0.4948
w04.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size   562601, 77764582 req, miss ratio 0.4602, byte miss ratio 0.4602
w04.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size  1875338, 77764582 req, miss ratio 0.4287, byte miss ratio 0.4287
w04.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size  3750676, 77764582 req, miss ratio 0.4082, byte miss ratio 0.4082
w04.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size  7501352, 77764582 req, miss ratio 0.3235, byte miss ratio 0.3235
w04.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size 15002704, 77764582 req, miss ratio 0.2582, byte miss ratio 0.2582
w04.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size    18753, 77764582 req, miss ratio 0.5600, byte miss ratio 0.5600
w04.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size    56260, 77764582 req, miss ratio 0.5062, byte miss ratio 0.5062
w04.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   187533, 77764582 req, miss ratio 0.4693, byte miss ratio 0.4693
w04.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   562601, 77764582 req, miss ratio 0.4341, byte miss ratio 0.4341
w04.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size  1875338, 77764582 req, miss ratio 0.4139, byte miss ratio 0.4139
w04.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size  3750676, 77764582 req, miss ratio 0.3780, byte miss ratio 0.3780
w04.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size  7501352, 77764582 req, miss ratio 0.2949, byte miss ratio 0.2949
w04.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size 15002704, 77764582 req, miss ratio 0.2428, byte miss ratio 0.2428
w04.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size    18753, 77764582 req, miss ratio 0.5663, byte miss ratio 0.5663
w04.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size    56260, 77764582 req, miss ratio 0.5104, byte miss ratio 0.5104
w04.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   187533, 77764582 req, miss ratio 0.4723, byte miss ratio 0.4723
w04.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   562601, 77764582 req, miss ratio 0.4371, byte miss ratio 0.4371
w04.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size  1875338, 77764582 req, miss ratio 0.4124, byte miss ratio 0.4124
w04.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size  3750676, 77764582 req, miss ratio 0.3873, byte miss ratio 0.3873
w04.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size  7501352, 77764582 req, miss ratio 0.3095, byte miss ratio 0.3095
w04.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size 15002704, 77764582 req, miss ratio 0.2429, byte miss ratio 0.2429
w04.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    18753, 77764582 req, miss ratio 0.5650, byte miss ratio 0.5650
w04.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    56260, 77764582 req, miss ratio 0.5092, byte miss ratio 0.5092
w04.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   187533, 77764582 req, miss ratio 0.4715, byte miss ratio 0.4715
w04.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   562601, 77764582 req, miss ratio 0.4363, byte miss ratio 0.4363
w04.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size  1875338, 77764582 req, miss ratio 0.4145, byte miss ratio 0.4145
w04.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size  3750676, 77764582 req, miss ratio 0.3768, byte miss ratio 0.3768
w04.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size  7501352, 77764582 req, miss ratio 0.3077, byte miss ratio 0.3077
w04.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size 15002704, 77764582 req, miss ratio 0.2429, byte miss ratio 0.2429
w04.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    18753, 77764582 req, miss ratio 0.5767, byte miss ratio 0.5767
w04.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    56260, 77764582 req, miss ratio 0.5224, byte miss ratio 0.5224
w04.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   187533, 77764582 req, miss ratio 0.4787, byte miss ratio 0.4787
w04.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   562601, 77764582 req, miss ratio 0.4480, byte miss ratio 0.4480
w04.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size  1875338, 77764582 req, miss ratio 0.4107, byte miss ratio 0.4107
w04.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size  3750676, 77764582 req, miss ratio 0.4006, byte miss ratio 0.4006
w04.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size  7501352, 77764582 req, miss ratio 0.3349, byte miss ratio 0.3349
w04.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size 15002704, 77764582 req, miss ratio 0.2561, byte miss ratio 0.2561
w04.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    18753, 77764582 req, miss ratio 0.6073, byte miss ratio 0.6073
w04.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    56260, 77764582 req, miss ratio 0.5255, byte miss ratio 0.5255
w04.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   187533, 77764582 req, miss ratio 0.4733, byte miss ratio 0.4733
w04.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   562601, 77764582 req, miss ratio 0.4378, byte miss ratio 0.4378
w04.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size  1875338, 77764582 req, miss ratio 0.4122, byte miss ratio 0.4122
w04.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size  3750676, 77764582 req, miss ratio 0.3868, byte miss ratio 0.3868
w04.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size  7501352, 77764582 req, miss ratio 0.2916, byte miss ratio 0.2916
w04.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size 15002704, 77764582 req, miss ratio 0.2427, byte miss ratio 0.2427
w04.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size    18753, 77764582 req, miss ratio 0.5612, byte miss ratio 0.5612
w04.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size    56260, 77764582 req, miss ratio 0.5070, byte miss ratio 0.5070
w04.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size   187533, 77764582 req, miss ratio 0.4701, byte miss ratio 0.4701
w04.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size   562601, 77764582 req, miss ratio 0.4348, byte miss ratio 0.4348
w04.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size  1875338, 77764582 req, miss ratio 0.4146, byte miss ratio 0.4146
w04.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size  3750676, 77764582 req, miss ratio 0.3828, byte miss ratio 0.3828
w04.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size  7501352, 77764582 req, miss ratio 0.2969, byte miss ratio 0.2969
w04.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size 15002704, 77764582 req, miss ratio 0.2428, byte miss ratio 0.2428
w04.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size    18753, 77764582 req, miss ratio 0.5763, byte miss ratio 0.5763
w04.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size    56260, 77764582 req, miss ratio 0.5051, byte miss ratio 0.5051
w04.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   187533, 77764582 req, miss ratio 0.4706, byte miss ratio 0.4706
w04.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   562601, 77764582 req, miss ratio 0.4340, byte miss ratio 0.4340
w04.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size  1875338, 77764582 req, miss ratio 0.4119, byte miss ratio 0.4119
