cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   165985, 210458880 req, miss ratio 0.1527, byte miss ratio 0.1527
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   497957, 210458880 req, miss ratio 0.1229, byte miss ratio 0.1229
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  1659859, 210458880 req, miss ratio 0.1012, byte miss ratio 0.1012
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  3319718, 210458880 req, miss ratio 0.0914, byte miss ratio 0.0914
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  6639437, 210458880 req, miss ratio 0.0838, byte miss ratio 0.0838
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 13278874, 210458880 req, miss ratio 0.0794, byte miss ratio 0.0794
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    16598, 210458880 req, miss ratio 0.2185, byte miss ratio 0.2185
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    49795, 210458880 req, miss ratio 0.1671, byte miss ratio 0.1671
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   165985, 210458880 req, miss ratio 0.1328, byte miss ratio 0.1328
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   497957, 210458880 req, miss ratio 0.1088, byte miss ratio 0.1088
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  1659859, 210458880 req, miss ratio 0.0915, byte miss ratio 0.0915
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  3319718, 210458880 req, miss ratio 0.0862, byte miss ratio 0.0862
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  6639437, 210458880 req, miss ratio 0.0819, byte miss ratio 0.0819
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    16598, 210458880 req, miss ratio 0.2173, byte miss ratio 0.2173
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    49795, 210458880 req, miss ratio 0.1735, byte miss ratio 0.1735
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   165985, 210458880 req, miss ratio 0.1367, byte miss ratio 0.1367
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   497957, 210458880 req, miss ratio 0.1117, byte miss ratio 0.1117
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  1659859, 210458880 req, miss ratio 0.0923, byte miss ratio 0.0923
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  3319718, 210458880 req, miss ratio 0.0853, byte miss ratio 0.0853
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  6639437, 210458880 req, miss ratio 0.0813, byte miss ratio 0.0813
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size    16598, 210458880 req, miss ratio 0.2107, byte miss ratio 0.2107
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size    49795, 210458880 req, miss ratio 0.1641, byte miss ratio 0.1641
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   165985, 210458880 req, miss ratio 0.1313, byte miss ratio 0.1313
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   497957, 210458880 req, miss ratio 0.1072, byte miss ratio 0.1072
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  1659859, 210458880 req, miss ratio 0.0905, byte miss ratio 0.0905
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  3319718, 210458880 req, miss ratio 0.0855, byte miss ratio 0.0855
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  6639437, 210458880 req, miss ratio 0.0819, byte miss ratio 0.0819
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size    16598, 210458880 req, miss ratio 0.2342, byte miss ratio 0.2342
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size    49795, 210458880 req, miss ratio 0.1778, byte miss ratio 0.1778
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   165985, 210458880 req, miss ratio 0.1363, byte miss ratio 0.1363
