cluster51.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size      501, 612199280 req, miss ratio 0.2720, byte miss ratio 0.2720
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size     1504, 612199280 req, miss ratio 0.1508, byte miss ratio 0.1508
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size     5016, 612199280 req, miss ratio 0.0665, byte miss ratio 0.0665
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size    15048, 612199280 req, miss ratio 0.0195, byte miss ratio 0.0195
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size    50160, 612199280 req, miss ratio 0.0037, byte miss ratio 0.0037
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   100320, 612199280 req, miss ratio 0.0014, byte miss ratio 0.0014
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size      501, 612199280 req, miss ratio 0.2589, byte miss ratio 0.2589
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size     1504, 612199280 req, miss ratio 0.1552, byte miss ratio 0.1552
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size     5016, 612199280 req, miss ratio 0.0702, byte miss ratio 0.0702
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size    15048, 612199280 req, miss ratio 0.0204, byte miss ratio 0.0204
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size    50160, 612199280 req, miss ratio 0.0038, byte miss ratio 0.0038
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size   100320, 612199280 req, miss ratio 0.0014, byte miss ratio 0.0014
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size      501, 612199280 req, miss ratio 0.2753, byte miss ratio 0.2753
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     1504, 612199280 req, miss ratio 0.1687, byte miss ratio 0.1687
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     5016, 612199280 req, miss ratio 0.0773, byte miss ratio 0.0773
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    15048, 612199280 req, miss ratio 0.0229, byte miss ratio 0.0229
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    50160, 612199280 req, miss ratio 0.0042, byte miss ratio 0.0042
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   100320, 612199280 req, miss ratio 0.0016, byte miss ratio 0.0016
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size      501, 612199280 req, miss ratio 0.2953, byte miss ratio 0.2953
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size     1504, 612199280 req, miss ratio 0.1813, byte miss ratio 0.1813
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size     5016, 612199280 req, miss ratio 0.0826, byte miss ratio 0.0826
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size    15048, 612199280 req, miss ratio 0.0254, byte miss ratio 0.0254
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size    50160, 612199280 req, miss ratio 0.0048, byte miss ratio 0.0048
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   100320, 612199280 req, miss ratio 0.0018, byte miss ratio 0.0018
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size      501, 612199280 req, miss ratio 0.3046, byte miss ratio 0.3046
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size     1504, 612199280 req, miss ratio 0.1887, byte miss ratio 0.1887
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size     5016, 612199280 req, miss ratio 0.0870, byte miss ratio 0.0870
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size    15048, 612199280 req, miss ratio 0.0271, byte miss ratio 0.0271
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size    50160, 612199280 req, miss ratio 0.0052, byte miss ratio 0.0052
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   100320, 612199280 req, miss ratio 0.0018, byte miss ratio 0.0018
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   200640, 612199280 req, miss ratio 0.0010, byte miss ratio 0.0010
cluster51.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size      501, 612199280 req, miss ratio 0.2599, byte miss ratio 0.2599
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size     1504, 612199280 req, miss ratio 0.1558, byte miss ratio 0.1558
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size     5016, 612199280 req, miss ratio 0.0697, byte miss ratio 0.0697
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    15048, 612199280 req, miss ratio 0.0201, byte miss ratio 0.0201
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size    50160, 612199280 req, miss ratio 0.0037, byte miss ratio 0.0037
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size   100320, 612199280 req, miss ratio 0.0014, byte miss ratio 0.0014
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size      501, 612199280 req, miss ratio 0.3326, byte miss ratio 0.3326
