botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size  5761830, 958624046 req, miss ratio 0.2265, byte miss ratio 0.2265
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size 19206102, 958624046 req, miss ratio 0.2150, byte miss ratio 0.2150
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size 38412204, 958624046 req, miss ratio 0.2079, byte miss ratio 0.2079
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size 76824409, 958624046 req, miss ratio 0.2044, byte miss ratio 0.2044
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size 153648818, 958624046 req, miss ratio 0.2017, byte miss ratio 0.2017
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   192061, 958624046 req, miss ratio 0.2807, byte miss ratio 0.2807
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   576183, 958624046 req, miss ratio 0.2579, byte miss ratio 0.2579
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  1920610, 958624046 req, miss ratio 0.2373, byte miss ratio 0.2373
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  5761830, 958624046 req, miss ratio 0.2228, byte miss ratio 0.2228
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 19206102, 958624046 req, miss ratio 0.2124, byte miss ratio 0.2124
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 38412204, 958624046 req, miss ratio 0.2057, byte miss ratio 0.2057
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 76824409, 958624046 req, miss ratio 0.2030, byte miss ratio 0.2030
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   192061, 958624046 req, miss ratio 0.2793, byte miss ratio 0.2793
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   576183, 958624046 req, miss ratio 0.2568, byte miss ratio 0.2568
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size  1920610, 958624046 req, miss ratio 0.2362, byte miss ratio 0.2362
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size  5761830, 958624046 req, miss ratio 0.2219, byte miss ratio 0.2219
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size 19206102, 958624046 req, miss ratio 0.2117, byte miss ratio 0.2117
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size 38412204, 958624046 req, miss ratio 0.2053, byte miss ratio 0.2053
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size 76824409, 958624046 req, miss ratio 0.2028, byte miss ratio 0.2028
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size   192061, 958624046 req, miss ratio 0.2672, byte miss ratio 0.2672
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size   576183, 958624046 req, miss ratio 0.2462, byte miss ratio 0.2462
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size  1920610, 958624046 req, miss ratio 0.2268, byte miss ratio 0.2268
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size  5761830, 958624046 req, miss ratio 0.2152, byte miss ratio 0.2152
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size 19206102, 958624046 req, miss ratio 0.2075, byte miss ratio 0.2075
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size 38412204, 958624046 req, miss ratio 0.2033, byte miss ratio 0.2033
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size 76824409, 958624046 req, miss ratio 0.2023, byte miss ratio 0.2023
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size   192061, 958624046 req, miss ratio 0.2655, byte miss ratio 0.2655
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size   576183, 958624046 req, miss ratio 0.2446, byte miss ratio 0.2446
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size  1920610, 958624046 req, miss ratio 0.2255, byte miss ratio 0.2255
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size  5761830, 958624046 req, miss ratio 0.2143, byte miss ratio 0.2143
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size 19206102, 958624046 req, miss ratio 0.2071, byte miss ratio 0.2071
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size 38412204, 958624046 req, miss ratio 0.2032, byte miss ratio 0.2032
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size 76824409, 958624046 req, miss ratio 0.2023, byte miss ratio 0.2023
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   192061, 958624046 req, miss ratio 0.2705, byte miss ratio 0.2705
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   576183, 958624046 req, miss ratio 0.2494, byte miss ratio 0.2494
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size  1920610, 958624046 req, miss ratio 0.2293, byte miss ratio 0.2293
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size  5761830, 958624046 req, miss ratio 0.2171, byte miss ratio 0.2171
