prn_1.IQI.bin S3FIFO-0.9000-1.9000 cache size     6520, 11233411 req, miss ratio 0.7568, byte miss ratio 0.7568
prn_1.IQI.bin S3FIFO-0.9000-1.9000 cache size    21735, 11233411 req, miss ratio 0.7145, byte miss ratio 0.7145
prn_1.IQI.bin S3FIFO-0.9000-1.9000 cache size    65207, 11233411 req, miss ratio 0.6344, byte miss ratio 0.6344
prn_1.IQI.bin S3FIFO-0.9000-1.9000 cache size   217357, 11233411 req, miss ratio 0.4507, byte miss ratio 0.4507
prn_1.IQI.bin S3FIFO-0.9000-1.9000 cache size   434715, 11233411 req, miss ratio 0.3486, byte miss ratio 0.3486
prn_1.IQI.bin S3FIFO-0.9000-1.9000 cache size   869430, 11233411 req, miss ratio 0.2492, byte miss ratio 0.2492
prn_1.IQI.bin S3FIFO-0.9000-1.9000 cache size  1738860, 11233411 req, miss ratio 0.2246, byte miss ratio 0.2246
prn_1.IQI.bin S3FIFO-0.2500-1.9000 cache size     2173, 11233411 req, miss ratio 0.8012, byte miss ratio 0.8012
prn_1.IQI.bin S3FIFO-0.2500-1.9000 cache size     6520, 11233411 req, miss ratio 0.7499, byte miss ratio 0.7499
prn_1.IQI.bin S3FIFO-0.2500-1.9000 cache size    21735, 11233411 req, miss ratio 0.6910, byte miss ratio 0.6910
prn_1.IQI.bin S3FIFO-0.2500-1.9000 cache size    65207, 11233411 req, miss ratio 0.5836, byte miss ratio 0.5836
prn_1.IQI.bin S3FIFO-0.2500-1.9000 cache size   217357, 11233411 req, miss ratio 0.4023, byte miss ratio 0.4023
prn_1.IQI.bin S3FIFO-0.2500-1.9000 cache size   434715, 11233411 req, miss ratio 0.2746, byte miss ratio 0.2746
prn_1.IQI.bin S3FIFO-0.2500-1.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.2500-1.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.0500-0.9000 cache size     2173, 11233411 req, miss ratio 0.8277, byte miss ratio 0.8277
prn_1.IQI.bin S3FIFO-0.0500-0.9000 cache size     6520, 11233411 req, miss ratio 0.7774, byte miss ratio 0.7774
prn_1.IQI.bin S3FIFO-0.0500-0.9000 cache size    21735, 11233411 req, miss ratio 0.7061, byte miss ratio 0.7061
prn_1.IQI.bin S3FIFO-0.0500-0.9000 cache size    65207, 11233411 req, miss ratio 0.5528, byte miss ratio 0.5528
prn_1.IQI.bin S3FIFO-0.0500-0.9000 cache size   217357, 11233411 req, miss ratio 0.3849, byte miss ratio 0.3849
prn_1.IQI.bin S3FIFO-0.0500-0.9000 cache size   434715, 11233411 req, miss ratio 0.2369, byte miss ratio 0.2369
prn_1.IQI.bin S3FIFO-0.0500-0.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.0500-0.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.0010-0.9000 cache size     2173, 11233411 req, miss ratio 0.8608, byte miss ratio 0.8608
prn_1.IQI.bin S3FIFO-0.0010-0.9000 cache size     6520, 11233411 req, miss ratio 0.8076, byte miss ratio 0.8076
prn_1.IQI.bin S3FIFO-0.0010-0.9000 cache size    21735, 11233411 req, miss ratio 0.7508, byte miss ratio 0.7508
