cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     6070, 2252816 req, miss ratio 0.0227, byte miss ratio 0.0227
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    12141, 2252816 req, miss ratio 0.0179, byte miss ratio 0.0179
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    24282, 2252816 req, miss ratio 0.0138, byte miss ratio 0.0138
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size       30, 2252816 req, miss ratio 0.0839, byte miss ratio 0.0839
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size       91, 2252816 req, miss ratio 0.0687, byte miss ratio 0.0687
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size      303, 2252816 req, miss ratio 0.0540, byte miss ratio 0.0540
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size      910, 2252816 req, miss ratio 0.0424, byte miss ratio 0.0424
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     3035, 2252816 req, miss ratio 0.0339, byte miss ratio 0.0339
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     6070, 2252816 req, miss ratio 0.0269, byte miss ratio 0.0269
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size    12141, 2252816 req, miss ratio 0.0201, byte miss ratio 0.0201
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size    24282, 2252816 req, miss ratio 0.0145, byte miss ratio 0.0145
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size       30, 2252816 req, miss ratio 0.0851, byte miss ratio 0.0851
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size       91, 2252816 req, miss ratio 0.0699, byte miss ratio 0.0699
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size      303, 2252816 req, miss ratio 0.0548, byte miss ratio 0.0548
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size      910, 2252816 req, miss ratio 0.0431, byte miss ratio 0.0431
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size     3035, 2252816 req, miss ratio 0.0343, byte miss ratio 0.0343
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size     6070, 2252816 req, miss ratio 0.0274, byte miss ratio 0.0274
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size    12141, 2252816 req, miss ratio 0.0205, byte miss ratio 0.0205
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size    24282, 2252816 req, miss ratio 0.0146, byte miss ratio 0.0146
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size       30, 2252816 req, miss ratio 0.0835, byte miss ratio 0.0835
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size       91, 2252816 req, miss ratio 0.0686, byte miss ratio 0.0686
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size      303, 2252816 req, miss ratio 0.0538, byte miss ratio 0.0538
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size      910, 2252816 req, miss ratio 0.0419, byte miss ratio 0.0419
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size     3035, 2252816 req, miss ratio 0.0336, byte miss ratio 0.0336
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size     6070, 2252816 req, miss ratio 0.0265, byte miss ratio 0.0265
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size    12141, 2252816 req, miss ratio 0.0201, byte miss ratio 0.0201
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size    24282, 2252816 req, miss ratio 0.0145, byte miss ratio 0.0145
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size       30, 2252816 req, miss ratio 0.0777, byte miss ratio 0.0777
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size       91, 2252816 req, miss ratio 0.0664, byte miss ratio 0.0664
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size      303, 2252816 req, miss ratio 0.0500, byte miss ratio 0.0500
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size      910, 2252816 req, miss ratio 0.0390, byte miss ratio 0.0390
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size     3035, 2252816 req, miss ratio 0.0315, byte miss ratio 0.0315
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size     6070, 2252816 req, miss ratio 0.0244, byte miss ratio 0.0244
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size    12141, 2252816 req, miss ratio 0.0188, byte miss ratio 0.0188
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size    24282, 2252816 req, miss ratio 0.0139, byte miss ratio 0.0139
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size       30, 2252816 req, miss ratio 0.0785, byte miss ratio 0.0785
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size       91, 2252816 req, miss ratio 0.0666, byte miss ratio 0.0666
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size      303, 2252816 req, miss ratio 0.0508, byte miss ratio 0.0508
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size      910, 2252816 req, miss ratio 0.0393, byte miss ratio 0.0393
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size     3035, 2252816 req, miss ratio 0.0318, byte miss ratio 0.0318
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size     6070, 2252816 req, miss ratio 0.0249, byte miss ratio 0.0249
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    12141, 2252816 req, miss ratio 0.0189, byte miss ratio 0.0189
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    24282, 2252816 req, miss ratio 0.0141, byte miss ratio 0.0141
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size       30, 2252816 req, miss ratio 0.0781, byte miss ratio 0.0781
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size       91, 2252816 req, miss ratio 0.0650, byte miss ratio 0.0650
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size      303, 2252816 req, miss ratio 0.0452, byte miss ratio 0.0452
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size      910, 2252816 req, miss ratio 0.0385, byte miss ratio 0.0385
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size     3035, 2252816 req, miss ratio 0.0283, byte miss ratio 0.0283
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size     6070, 2252816 req, miss ratio 0.0227, byte miss ratio 0.0227
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size    12141, 2252816 req, miss ratio 0.0179, byte miss ratio 0.0179
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size    24282, 2252816 req, miss ratio 0.0138, byte miss ratio 0.0138
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size       30, 2252816 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size       91, 2252816 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size      303, 2252816 req, miss ratio 0.0461, byte miss ratio 0.0461
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size      910, 2252816 req, miss ratio 0.0382, byte miss ratio 0.0382
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     3035, 2252816 req, miss ratio 0.0285, byte miss ratio 0.0285
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     6070, 2252816 req, miss ratio 0.0228, byte miss ratio 0.0228
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    12141, 2252816 req, miss ratio 0.0178, byte miss ratio 0.0178
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    24282, 2252816 req, miss ratio 0.0138, byte miss ratio 0.0138
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size       30, 2252816 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size       91, 2252816 req, miss ratio 0.0672, byte miss ratio 0.0672
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size      303, 2252816 req, miss ratio 0.0451, byte miss ratio 0.0451
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size      910, 2252816 req, miss ratio 0.0382, byte miss ratio 0.0382
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     3035, 2252816 req, miss ratio 0.0286, byte miss ratio 0.0286
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     6070, 2252816 req, miss ratio 0.0227, byte miss ratio 0.0227
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    12141, 2252816 req, miss ratio 0.0177, byte miss ratio 0.0177
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    24282, 2252816 req, miss ratio 0.0138, byte miss ratio 0.0138
