cdn1_allcolo.ns1029 S3FIFO-0.7000-1.9000 cache size     1071, 4501951 req, miss ratio 0.2423, byte miss ratio 0.2423
cdn1_allcolo.ns1029 S3FIFO-0.0100-0.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0250-1.9000 cache size     1071, 4501951 req, miss ratio 0.2405, byte miss ratio 0.2405
cdn1_allcolo.ns1029 S3FIFO-0.0250-1.9000 cache size     3215, 4501951 req, miss ratio 0.2391, byte miss ratio 0.2391
cdn1_allcolo.ns1029 S3FIFO-0.0250-1.9000 cache size    10718, 4501951 req, miss ratio 0.2384, byte miss ratio 0.2384
cdn1_allcolo.ns1029 S3FIFO-0.0250-1.9000 cache size    32155, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.0250-1.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0250-1.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0250-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0250-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0100-1.9000 cache size     1071, 4501951 req, miss ratio 0.2405, byte miss ratio 0.2405
cdn1_allcolo.ns1029 S3FIFO-0.0100-1.9000 cache size     3215, 4501951 req, miss ratio 0.2391, byte miss ratio 0.2391
cdn1_allcolo.ns1029 S3FIFO-0.0100-1.9000 cache size    10718, 4501951 req, miss ratio 0.2384, byte miss ratio 0.2384
cdn1_allcolo.ns1029 S3FIFO-0.0100-1.9000 cache size    32155, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.0100-1.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0100-1.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0100-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0100-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.1000-1.9000 cache size     1071, 4501951 req, miss ratio 0.2406, byte miss ratio 0.2406
cdn1_allcolo.ns1029 S3FIFO-0.1000-1.9000 cache size     3215, 4501951 req, miss ratio 0.2392, byte miss ratio 0.2392
cdn1_allcolo.ns1029 S3FIFO-0.1000-1.9000 cache size    10718, 4501951 req, miss ratio 0.2384, byte miss ratio 0.2384
cdn1_allcolo.ns1029 S3FIFO-0.1000-1.9000 cache size    32155, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.1000-1.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.1000-1.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.1000-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.1000-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.6000-0.9000 cache size     1071, 4501951 req, miss ratio 0.2417, byte miss ratio 0.2417
cdn1_allcolo.ns1029 S3FIFO-0.6000-0.9000 cache size     3215, 4501951 req, miss ratio 0.2397, byte miss ratio 0.2397
cdn1_allcolo.ns1029 S3FIFO-0.6000-0.9000 cache size    10718, 4501951 req, miss ratio 0.2387, byte miss ratio 0.2387
cdn1_allcolo.ns1029 S3FIFO-0.6000-0.9000 cache size    32155, 4501951 req, miss ratio 0.2383, byte miss ratio 0.2383
cdn1_allcolo.ns1029 S3FIFO-0.6000-0.9000 cache size   107184, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.6000-0.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.6000-0.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.6000-0.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.2000-0.9000 cache size     1071, 4501951 req, miss ratio 0.2408, byte miss ratio 0.2408
cdn1_allcolo.ns1029 S3FIFO-0.2000-0.9000 cache size     3215, 4501951 req, miss ratio 0.2393, byte miss ratio 0.2393
cdn1_allcolo.ns1029 S3FIFO-0.2000-0.9000 cache size    10718, 4501951 req, miss ratio 0.2385, byte miss ratio 0.2385
cdn1_allcolo.ns1029 S3FIFO-0.2000-0.9000 cache size    32155, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.2000-0.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.2000-0.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.2000-0.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.2000-0.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.8000-1.9000 cache size     1071, 4501951 req, miss ratio 0.2431, byte miss ratio 0.2431
cdn1_allcolo.ns1029 S3FIFO-0.8000-1.9000 cache size     3215, 4501951 req, miss ratio 0.2403, byte miss ratio 0.2403
cdn1_allcolo.ns1029 S3FIFO-0.8000-1.9000 cache size    10718, 4501951 req, miss ratio 0.2389, byte miss ratio 0.2389
cdn1_allcolo.ns1029 S3FIFO-0.8000-1.9000 cache size    32155, 4501951 req, miss ratio 0.2384, byte miss ratio 0.2384
cdn1_allcolo.ns1029 S3FIFO-0.8000-1.9000 cache size   107184, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.8000-1.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.8000-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.8000-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.1000-0.9000 cache size     1071, 4501951 req, miss ratio 0.2406, byte miss ratio 0.2406
cdn1_allcolo.ns1029 S3FIFO-0.1000-0.9000 cache size     3215, 4501951 req, miss ratio 0.2392, byte miss ratio 0.2392
cdn1_allcolo.ns1029 S3FIFO-0.1000-0.9000 cache size    10718, 4501951 req, miss ratio 0.2384, byte miss ratio 0.2384
cdn1_allcolo.ns1029 S3FIFO-0.1000-0.9000 cache size    32155, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.1000-0.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.1000-0.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.1000-0.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.1000-0.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.9500-1.9000 cache size     1071, 4501951 req, miss ratio 0.2458, byte miss ratio 0.2458
cdn1_allcolo.ns1029 S3FIFO-0.9500-1.9000 cache size     3215, 4501951 req, miss ratio 0.2414, byte miss ratio 0.2414
cdn1_allcolo.ns1029 S3FIFO-0.9500-1.9000 cache size    10718, 4501951 req, miss ratio 0.2393, byte miss ratio 0.2393
cdn1_allcolo.ns1029 S3FIFO-0.9500-1.9000 cache size    32155, 4501951 req, miss ratio 0.2386, byte miss ratio 0.2386
cdn1_allcolo.ns1029 S3FIFO-0.9500-1.9000 cache size   107184, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.9500-1.9000 cache size   214369, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.9500-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.9500-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0250-0.9000 cache size     1071, 4501951 req, miss ratio 0.2405, byte miss ratio 0.2405
cdn1_allcolo.ns1029 S3FIFO-0.0250-0.9000 cache size     3215, 4501951 req, miss ratio 0.2391, byte miss ratio 0.2391
cdn1_allcolo.ns1029 S3FIFO-0.0250-0.9000 cache size    10718, 4501951 req, miss ratio 0.2384, byte miss ratio 0.2384
cdn1_allcolo.ns1029 S3FIFO-0.0250-0.9000 cache size    32155, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.0250-0.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0250-0.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0250-0.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0250-0.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.4500-0.9000 cache size     1071, 4501951 req, miss ratio 0.2413, byte miss ratio 0.2413
cdn1_allcolo.ns1029 S3FIFO-0.4500-0.9000 cache size     3215, 4501951 req, miss ratio 0.2395, byte miss ratio 0.2395
cdn1_allcolo.ns1029 S3FIFO-0.4500-0.9000 cache size    10718, 4501951 req, miss ratio 0.2386, byte miss ratio 0.2386
cdn1_allcolo.ns1029 S3FIFO-0.4500-0.9000 cache size    32155, 4501951 req, miss ratio 0.2383, byte miss ratio 0.2383
cdn1_allcolo.ns1029 S3FIFO-0.4500-0.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.4500-0.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.4500-0.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.4500-0.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.4000-1.9000 cache size     1071, 4501951 req, miss ratio 0.2411, byte miss ratio 0.2411
cdn1_allcolo.ns1029 S3FIFO-0.4000-1.9000 cache size     3215, 4501951 req, miss ratio 0.2395, byte miss ratio 0.2395
cdn1_allcolo.ns1029 S3FIFO-0.4000-1.9000 cache size    10718, 4501951 req, miss ratio 0.2385, byte miss ratio 0.2385
cdn1_allcolo.ns1029 S3FIFO-0.4000-1.9000 cache size    32155, 4501951 req, miss ratio 0.2383, byte miss ratio 0.2383
cdn1_allcolo.ns1029 S3FIFO-0.4000-1.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.4000-1.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.4000-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.4000-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.3000-0.9000 cache size     1071, 4501951 req, miss ratio 0.2409, byte miss ratio 0.2409
cdn1_allcolo.ns1029 S3FIFO-0.3000-0.9000 cache size     3215, 4501951 req, miss ratio 0.2394, byte miss ratio 0.2394
cdn1_allcolo.ns1029 S3FIFO-0.3000-0.9000 cache size    10718, 4501951 req, miss ratio 0.2385, byte miss ratio 0.2385
cdn1_allcolo.ns1029 S3FIFO-0.3000-0.9000 cache size    32155, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.3000-0.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.3000-0.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.3000-0.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.3000-0.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.6000-1.9000 cache size     1071, 4501951 req, miss ratio 0.2417, byte miss ratio 0.2417
cdn1_allcolo.ns1029 S3FIFO-0.6000-1.9000 cache size     3215, 4501951 req, miss ratio 0.2397, byte miss ratio 0.2397
cdn1_allcolo.ns1029 S3FIFO-0.6000-1.9000 cache size    10718, 4501951 req, miss ratio 0.2387, byte miss ratio 0.2387
cdn1_allcolo.ns1029 S3FIFO-0.6000-1.9000 cache size    32155, 4501951 req, miss ratio 0.2383, byte miss ratio 0.2383
cdn1_allcolo.ns1029 S3FIFO-0.6000-1.9000 cache size   107184, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.6000-1.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.6000-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.6000-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.9000-0.9000 cache size     1071, 4501951 req, miss ratio 0.2446, byte miss ratio 0.2446
cdn1_allcolo.ns1029 S3FIFO-0.9000-0.9000 cache size     3215, 4501951 req, miss ratio 0.2408, byte miss ratio 0.2408
cdn1_allcolo.ns1029 S3FIFO-0.9000-0.9000 cache size    10718, 4501951 req, miss ratio 0.2391, byte miss ratio 0.2391
cdn1_allcolo.ns1029 S3FIFO-0.9000-0.9000 cache size    32155, 4501951 req, miss ratio 0.2385, byte miss ratio 0.2385
cdn1_allcolo.ns1029 S3FIFO-0.9000-0.9000 cache size   107184, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.9000-0.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.9000-0.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.9000-0.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.8500-0.9000 cache size     1071, 4501951 req, miss ratio 0.2438, byte miss ratio 0.2438
cdn1_allcolo.ns1029 S3FIFO-0.8500-0.9000 cache size     3215, 4501951 req, miss ratio 0.2405, byte miss ratio 0.2405
cdn1_allcolo.ns1029 S3FIFO-0.8500-0.9000 cache size    10718, 4501951 req, miss ratio 0.2390, byte miss ratio 0.2390
cdn1_allcolo.ns1029 S3FIFO-0.8500-0.9000 cache size    32155, 4501951 req, miss ratio 0.2384, byte miss ratio 0.2384
cdn1_allcolo.ns1029 S3FIFO-0.8500-0.9000 cache size   107184, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.8500-0.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.8500-0.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.8500-0.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.6500-1.9000 cache size     1071, 4501951 req, miss ratio 0.2420, byte miss ratio 0.2420
cdn1_allcolo.ns1029 S3FIFO-0.6500-1.9000 cache size     3215, 4501951 req, miss ratio 0.2399, byte miss ratio 0.2399
cdn1_allcolo.ns1029 S3FIFO-0.6500-1.9000 cache size    10718, 4501951 req, miss ratio 0.2387, byte miss ratio 0.2387
cdn1_allcolo.ns1029 S3FIFO-0.6500-1.9000 cache size    32155, 4501951 req, miss ratio 0.2383, byte miss ratio 0.2383
cdn1_allcolo.ns1029 S3FIFO-0.6500-1.9000 cache size   107184, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.6500-1.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.6500-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.6500-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0500-1.9000 cache size     1071, 4501951 req, miss ratio 0.2405, byte miss ratio 0.2405
cdn1_allcolo.ns1029 S3FIFO-0.0500-1.9000 cache size     3215, 4501951 req, miss ratio 0.2392, byte miss ratio 0.2392
cdn1_allcolo.ns1029 S3FIFO-0.0500-1.9000 cache size    10718, 4501951 req, miss ratio 0.2384, byte miss ratio 0.2384
cdn1_allcolo.ns1029 S3FIFO-0.0500-1.9000 cache size    32155, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.0500-1.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0500-1.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0500-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0500-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.4000-0.9000 cache size     1071, 4501951 req, miss ratio 0.2411, byte miss ratio 0.2411
cdn1_allcolo.ns1029 S3FIFO-0.4000-0.9000 cache size     3215, 4501951 req, miss ratio 0.2395, byte miss ratio 0.2395
cdn1_allcolo.ns1029 S3FIFO-0.4000-0.9000 cache size    10718, 4501951 req, miss ratio 0.2385, byte miss ratio 0.2385
cdn1_allcolo.ns1029 S3FIFO-0.4000-0.9000 cache size    32155, 4501951 req, miss ratio 0.2383, byte miss ratio 0.2383
cdn1_allcolo.ns1029 S3FIFO-0.4000-0.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.4000-0.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.4000-0.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
