cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size        6, 5102234 req, miss ratio 0.1748, byte miss ratio 0.1748
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size       19, 5102234 req, miss ratio 0.0101, byte miss ratio 0.0101
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size       64, 5102234 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size      193, 5102234 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size        6, 5102234 req, miss ratio 0.1961, byte miss ratio 0.1961
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size       19, 5102234 req, miss ratio 0.0146, byte miss ratio 0.0146
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size       64, 5102234 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      193, 5102234 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      644, 5102234 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     1288, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size        6, 5102234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size       19, 5102234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size       64, 5102234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size      193, 5102234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size        6, 5102234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size       19, 5102234 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size       64, 5102234 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size      193, 5102234 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size        6, 5102234 req, miss ratio 0.1844, byte miss ratio 0.1844
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size       19, 5102234 req, miss ratio 0.0117, byte miss ratio 0.0117
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size       64, 5102234 req, miss ratio 0.0026, byte miss ratio 0.0026
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size      193, 5102234 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size        6, 5102234 req, miss ratio 0.1646, byte miss ratio 0.1646
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size       19, 5102234 req, miss ratio 0.0090, byte miss ratio 0.0090
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size       64, 5102234 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size      193, 5102234 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
