io_traces.ns659 S3FIFO-0.2000-1.9000 cache size      139, 2200000 req, miss ratio 0.4952, byte miss ratio 0.4952
io_traces.ns659 S3FIFO-0.2000-1.9000 cache size      419, 2200000 req, miss ratio 0.4900, byte miss ratio 0.4900
io_traces.ns659 S3FIFO-0.2000-1.9000 cache size     1397, 2200000 req, miss ratio 0.4572, byte miss ratio 0.4572
io_traces.ns659 S3FIFO-0.2000-1.9000 cache size     4191, 2200000 req, miss ratio 0.4391, byte miss ratio 0.4391
io_traces.ns659 S3FIFO-0.2000-1.9000 cache size    13971, 2200000 req, miss ratio 0.3943, byte miss ratio 0.3943
io_traces.ns659 S3FIFO-0.2000-1.9000 cache size    27943, 2200000 req, miss ratio 0.3339, byte miss ratio 0.3339
io_traces.ns659 S3FIFO-0.2000-1.9000 cache size    55886, 2200000 req, miss ratio 0.1430, byte miss ratio 0.1430
io_traces.ns659 S3FIFO-0.2000-1.9000 cache size   111773, 2200000 req, miss ratio 0.0698, byte miss ratio 0.0698
io_traces.ns659 S3FIFO-0.4500-0.9000 cache size      139, 2200000 req, miss ratio 0.4949, byte miss ratio 0.4949
io_traces.ns659 S3FIFO-0.4500-0.9000 cache size      419, 2200000 req, miss ratio 0.4913, byte miss ratio 0.4913
io_traces.ns659 S3FIFO-0.4500-0.9000 cache size     1397, 2200000 req, miss ratio 0.4746, byte miss ratio 0.4746
io_traces.ns659 S3FIFO-0.4500-0.9000 cache size     4191, 2200000 req, miss ratio 0.4480, byte miss ratio 0.4480
io_traces.ns659 S3FIFO-0.4500-0.9000 cache size    13971, 2200000 req, miss ratio 0.4298, byte miss ratio 0.4298
io_traces.ns659 S3FIFO-0.4500-0.9000 cache size    27943, 2200000 req, miss ratio 0.3252, byte miss ratio 0.3252
io_traces.ns659 S3FIFO-0.4500-0.9000 cache size    55886, 2200000 req, miss ratio 0.1586, byte miss ratio 0.1586
io_traces.ns659 S3FIFO-0.4500-0.9000 cache size   111773, 2200000 req, miss ratio 0.0699, byte miss ratio 0.0699
io_traces.ns659 S3FIFO-0.1500-0.9000 cache size      139, 2200000 req, miss ratio 0.4972, byte miss ratio 0.4972
io_traces.ns659 S3FIFO-0.1500-0.9000 cache size      419, 2200000 req, miss ratio 0.4904, byte miss ratio 0.4904
io_traces.ns659 S3FIFO-0.1500-0.9000 cache size     1397, 2200000 req, miss ratio 0.4738, byte miss ratio 0.4738
io_traces.ns659 S3FIFO-0.1500-0.9000 cache size     4191, 2200000 req, miss ratio 0.4410, byte miss ratio 0.4410
io_traces.ns659 S3FIFO-0.1500-0.9000 cache size    13971, 2200000 req, miss ratio 0.3863, byte miss ratio 0.3863
io_traces.ns659 S3FIFO-0.1500-0.9000 cache size    27943, 2200000 req, miss ratio 0.3177, byte miss ratio 0.3177
io_traces.ns659 S3FIFO-0.1500-0.9000 cache size    55886, 2200000 req, miss ratio 0.1401, byte miss ratio 0.1401
io_traces.ns659 S3FIFO-0.1500-0.9000 cache size   111773, 2200000 req, miss ratio 0.0698, byte miss ratio 0.0698
io_traces.ns659 S3FIFO-0.9900-0.9000 cache size      139, 2200000 req, miss ratio 0.5577, byte miss ratio 0.5577
io_traces.ns659 S3FIFO-0.9900-0.9000 cache size      419, 2200000 req, miss ratio 0.5133, byte miss ratio 0.5133
