pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.8000 cache size     4250, 184017803 req, miss ratio 0.5385, byte miss ratio 0.5385
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.8000 cache size    14168, 184017803 req, miss ratio 0.5104, byte miss ratio 0.5104
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.8000 cache size    42504, 184017803 req, miss ratio 0.4801, byte miss ratio 0.4801
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.8000 cache size   141681, 184017803 req, miss ratio 0.3586, byte miss ratio 0.3586
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.8000 cache size   283362, 184017803 req, miss ratio 0.1700, byte miss ratio 0.1700
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.8000 cache size   566724, 184017803 req, miss ratio 0.0906, byte miss ratio 0.0906
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.8000 cache size  1133448, 184017803 req, miss ratio 0.0107, byte miss ratio 0.0107
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.2000 cache size     1416, 184017803 req, miss ratio 0.5814, byte miss ratio 0.5814
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.2000 cache size     4250, 184017803 req, miss ratio 0.5497, byte miss ratio 0.5497
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.2000 cache size    14168, 184017803 req, miss ratio 0.5199, byte miss ratio 0.5199
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.2000 cache size    42504, 184017803 req, miss ratio 0.4920, byte miss ratio 0.4920
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.2000 cache size   141681, 184017803 req, miss ratio 0.4317, byte miss ratio 0.4317
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.2000 cache size   283362, 184017803 req, miss ratio 0.2165, byte miss ratio 0.2165
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.2000 cache size   566724, 184017803 req, miss ratio 0.0993, byte miss ratio 0.0993
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.2000 cache size  1133448, 184017803 req, miss ratio 0.0145, byte miss ratio 0.0145
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.4000 cache size     1416, 184017803 req, miss ratio 0.6276, byte miss ratio 0.6276
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.4000 cache size     4250, 184017803 req, miss ratio 0.5879, byte miss ratio 0.5879
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.4000 cache size    14168, 184017803 req, miss ratio 0.5504, byte miss ratio 0.5504
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.4000 cache size    42504, 184017803 req, miss ratio 0.5161, byte miss ratio 0.5161
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.4000 cache size   141681, 184017803 req, miss ratio 0.3783, byte miss ratio 0.3783
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.4000 cache size   283362, 184017803 req, miss ratio 0.2295, byte miss ratio 0.2295
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.4000 cache size   566724, 184017803 req, miss ratio 0.1119, byte miss ratio 0.1119
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.4000 cache size  1133448, 184017803 req, miss ratio 0.0184, byte miss ratio 0.0184
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size     1416, 184017803 req, miss ratio 0.5727, byte miss ratio 0.5727
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size     4250, 184017803 req, miss ratio 0.5424, byte miss ratio 0.5424
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-1.5000 cache size    14168, 184017803 req, miss ratio 0.5140, byte miss ratio 0.5140
