tencentBlock.ns3027 S3FIFO-0.1000-0.9000 cache size     2358, 50848776 req, miss ratio 0.7652, byte miss ratio 0.7652
tencentBlock.ns3027 S3FIFO-0.1000-0.9000 cache size     7076, 50848776 req, miss ratio 0.6580, byte miss ratio 0.6580
tencentBlock.ns3027 S3FIFO-0.1000-0.9000 cache size    23587, 50848776 req, miss ratio 0.5180, byte miss ratio 0.5180
tencentBlock.ns3027 S3FIFO-0.1000-0.9000 cache size    70762, 50848776 req, miss ratio 0.3828, byte miss ratio 0.3828
tencentBlock.ns3027 S3FIFO-0.1000-0.9000 cache size   235876, 50848776 req, miss ratio 0.1937, byte miss ratio 0.1937
tencentBlock.ns3027 S3FIFO-0.1000-0.9000 cache size   471752, 50848776 req, miss ratio 0.1054, byte miss ratio 0.1054
tencentBlock.ns3027 S3FIFO-0.1000-0.9000 cache size   943504, 50848776 req, miss ratio 0.0623, byte miss ratio 0.0623
tencentBlock.ns3027 S3FIFO-0.1000-0.9000 cache size  1887008, 50848776 req, miss ratio 0.0482, byte miss ratio 0.0482
tencentBlock.ns3027 S3FIFO-0.4500-0.9000 cache size     2358, 50848776 req, miss ratio 0.7578, byte miss ratio 0.7578
tencentBlock.ns3027 S3FIFO-0.4500-0.9000 cache size     7076, 50848776 req, miss ratio 0.6346, byte miss ratio 0.6346
tencentBlock.ns3027 S3FIFO-0.4500-0.9000 cache size    23587, 50848776 req, miss ratio 0.5128, byte miss ratio 0.5128
tencentBlock.ns3027 S3FIFO-0.4500-0.9000 cache size    70762, 50848776 req, miss ratio 0.3980, byte miss ratio 0.3980
tencentBlock.ns3027 S3FIFO-0.4500-0.9000 cache size   235876, 50848776 req, miss ratio 0.2069, byte miss ratio 0.2069
tencentBlock.ns3027 S3FIFO-0.4500-0.9000 cache size   471752, 50848776 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns3027 S3FIFO-0.4500-0.9000 cache size   943504, 50848776 req, miss ratio 0.0658, byte miss ratio 0.0658
tencentBlock.ns3027 S3FIFO-0.4500-0.9000 cache size  1887008, 50848776 req, miss ratio 0.0482, byte miss ratio 0.0482
tencentBlock.ns3027 S3FIFO-0.0500-1.9000 cache size     2358, 50848776 req, miss ratio 0.7594, byte miss ratio 0.7594
tencentBlock.ns3027 S3FIFO-0.0500-1.9000 cache size     7076, 50848776 req, miss ratio 0.6637, byte miss ratio 0.6637
tencentBlock.ns3027 S3FIFO-0.0500-1.9000 cache size    23587, 50848776 req, miss ratio 0.5290, byte miss ratio 0.5290
tencentBlock.ns3027 S3FIFO-0.0500-1.9000 cache size    70762, 50848776 req, miss ratio 0.3871, byte miss ratio 0.3871
tencentBlock.ns3027 S3FIFO-0.0500-1.9000 cache size   235876, 50848776 req, miss ratio 0.1942, byte miss ratio 0.1942
tencentBlock.ns3027 S3FIFO-0.0500-1.9000 cache size   471752, 50848776 req, miss ratio 0.1051, byte miss ratio 0.1051
tencentBlock.ns3027 S3FIFO-0.0500-1.9000 cache size   943504, 50848776 req, miss ratio 0.0622, byte miss ratio 0.0622
tencentBlock.ns3027 S3FIFO-0.0500-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0482, byte miss ratio 0.0482
tencentBlock.ns3027 S3FIFO-0.5500-0.9000 cache size     2358, 50848776 req, miss ratio 0.7586, byte miss ratio 0.7586
tencentBlock.ns3027 S3FIFO-0.5500-0.9000 cache size     7076, 50848776 req, miss ratio 0.6373, byte miss ratio 0.6373
tencentBlock.ns3027 S3FIFO-0.5500-0.9000 cache size    23587, 50848776 req, miss ratio 0.5181, byte miss ratio 0.5181
tencentBlock.ns3027 S3FIFO-0.5500-0.9000 cache size    70762, 50848776 req, miss ratio 0.4026, byte miss ratio 0.4026
tencentBlock.ns3027 S3FIFO-0.5500-0.9000 cache size   235876, 50848776 req, miss ratio 0.2127, byte miss ratio 0.2127
tencentBlock.ns3027 S3FIFO-0.5500-0.9000 cache size   471752, 50848776 req, miss ratio 0.1232, byte miss ratio 0.1232
tencentBlock.ns3027 S3FIFO-0.5500-0.9000 cache size   943504, 50848776 req, miss ratio 0.0674, byte miss ratio 0.0674
tencentBlock.ns3027 S3FIFO-0.5500-0.9000 cache size  1887008, 50848776 req, miss ratio 0.0488, byte miss ratio 0.0488
tencentBlock.ns3027 S3FIFO-0.5000-0.9000 cache size     2358, 50848776 req, miss ratio 0.7580, byte miss ratio 0.7580
tencentBlock.ns3027 S3FIFO-0.5000-0.9000 cache size     7076, 50848776 req, miss ratio 0.6356, byte miss ratio 0.6356
tencentBlock.ns3027 S3FIFO-0.5000-0.9000 cache size    23587, 50848776 req, miss ratio 0.5153, byte miss ratio 0.5153
tencentBlock.ns3027 S3FIFO-0.5000-0.9000 cache size    70762, 50848776 req, miss ratio 0.4004, byte miss ratio 0.4004
tencentBlock.ns3027 S3FIFO-0.5000-0.9000 cache size   235876, 50848776 req, miss ratio 0.2098, byte miss ratio 0.2098
tencentBlock.ns3027 S3FIFO-0.5000-0.9000 cache size   471752, 50848776 req, miss ratio 0.1207, byte miss ratio 0.1207
tencentBlock.ns3027 S3FIFO-0.5000-0.9000 cache size   943504, 50848776 req, miss ratio 0.0662, byte miss ratio 0.0662
tencentBlock.ns3027 S3FIFO-0.5000-0.9000 cache size  1887008, 50848776 req, miss ratio 0.0482, byte miss ratio 0.0482
tencentBlock.ns3027 S3FIFO-0.3500-0.9000 cache size     2358, 50848776 req, miss ratio 0.7586, byte miss ratio 0.7586
tencentBlock.ns3027 S3FIFO-0.3500-0.9000 cache size     7076, 50848776 req, miss ratio 0.6349, byte miss ratio 0.6349
tencentBlock.ns3027 S3FIFO-0.3500-0.9000 cache size    23587, 50848776 req, miss ratio 0.5093, byte miss ratio 0.5093
tencentBlock.ns3027 S3FIFO-0.3500-0.9000 cache size    70762, 50848776 req, miss ratio 0.3933, byte miss ratio 0.3933
tencentBlock.ns3027 S3FIFO-0.3500-0.9000 cache size   235876, 50848776 req, miss ratio 0.2018, byte miss ratio 0.2018
tencentBlock.ns3027 S3FIFO-0.3500-0.9000 cache size   471752, 50848776 req, miss ratio 0.1132, byte miss ratio 0.1132
tencentBlock.ns3027 S3FIFO-0.3500-0.9000 cache size   943504, 50848776 req, miss ratio 0.0641, byte miss ratio 0.0641
tencentBlock.ns3027 S3FIFO-0.3500-0.9000 cache size  1887008, 50848776 req, miss ratio 0.0481, byte miss ratio 0.0481
tencentBlock.ns3027 S3FIFO-0.2500-0.9000 cache size     2358, 50848776 req, miss ratio 0.7608, byte miss ratio 0.7608
tencentBlock.ns3027 S3FIFO-0.2500-0.9000 cache size     7076, 50848776 req, miss ratio 0.6391, byte miss ratio 0.6391
tencentBlock.ns3027 S3FIFO-0.2500-0.9000 cache size    23587, 50848776 req, miss ratio 0.5084, byte miss ratio 0.5084
tencentBlock.ns3027 S3FIFO-0.2500-0.9000 cache size    70762, 50848776 req, miss ratio 0.3884, byte miss ratio 0.3884
tencentBlock.ns3027 S3FIFO-0.2500-0.9000 cache size   235876, 50848776 req, miss ratio 0.1976, byte miss ratio 0.1976
tencentBlock.ns3027 S3FIFO-0.2500-0.9000 cache size   471752, 50848776 req, miss ratio 0.1100, byte miss ratio 0.1100
tencentBlock.ns3027 S3FIFO-0.2500-0.9000 cache size   943504, 50848776 req, miss ratio 0.0642, byte miss ratio 0.0642
tencentBlock.ns3027 S3FIFO-0.2500-0.9000 cache size  1887008, 50848776 req, miss ratio 0.0481, byte miss ratio 0.0481
tencentBlock.ns3027 S3FIFO-0.0500-0.9000 cache size     2358, 50848776 req, miss ratio 0.7671, byte miss ratio 0.7671
tencentBlock.ns3027 S3FIFO-0.0500-0.9000 cache size     7076, 50848776 req, miss ratio 0.6678, byte miss ratio 0.6678
tencentBlock.ns3027 S3FIFO-0.0500-0.9000 cache size    23587, 50848776 req, miss ratio 0.5310, byte miss ratio 0.5310
tencentBlock.ns3027 S3FIFO-0.0500-0.9000 cache size    70762, 50848776 req, miss ratio 0.3856, byte miss ratio 0.3856
