io_traces.ns538 S3FIFO-0.3000-0.9000 cache size   182364, 14200000 req, miss ratio 0.6963, byte miss ratio 0.6963
io_traces.ns538 S3FIFO-0.3000-0.9000 cache size   607881, 14200000 req, miss ratio 0.5262, byte miss ratio 0.5262
io_traces.ns538 S3FIFO-0.3000-0.9000 cache size  1215762, 14200000 req, miss ratio 0.4841, byte miss ratio 0.4841
io_traces.ns538 S3FIFO-0.3000-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.3000-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.1500-0.9000 cache size     6078, 14200000 req, miss ratio 0.9542, byte miss ratio 0.9542
io_traces.ns538 S3FIFO-0.1500-0.9000 cache size    18236, 14200000 req, miss ratio 0.9478, byte miss ratio 0.9478
io_traces.ns538 S3FIFO-0.1500-0.9000 cache size    60788, 14200000 req, miss ratio 0.8816, byte miss ratio 0.8816
io_traces.ns538 S3FIFO-0.1500-0.9000 cache size   182364, 14200000 req, miss ratio 0.6754, byte miss ratio 0.6754
io_traces.ns538 S3FIFO-0.1500-0.9000 cache size   607881, 14200000 req, miss ratio 0.5245, byte miss ratio 0.5245
io_traces.ns538 S3FIFO-0.1500-0.9000 cache size  1215762, 14200000 req, miss ratio 0.4835, byte miss ratio 0.4835
io_traces.ns538 S3FIFO-0.1500-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.1500-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.7000-1.9000 cache size     6078, 14200000 req, miss ratio 0.9578, byte miss ratio 0.9578
io_traces.ns538 S3FIFO-0.7000-1.9000 cache size    18236, 14200000 req, miss ratio 0.9462, byte miss ratio 0.9462
io_traces.ns538 S3FIFO-0.7000-1.9000 cache size    60788, 14200000 req, miss ratio 0.9275, byte miss ratio 0.9275
io_traces.ns538 S3FIFO-0.7000-1.9000 cache size   182364, 14200000 req, miss ratio 0.8540, byte miss ratio 0.8540
io_traces.ns538 S3FIFO-0.7000-1.9000 cache size   607881, 14200000 req, miss ratio 0.5885, byte miss ratio 0.5885
io_traces.ns538 S3FIFO-0.7000-1.9000 cache size  1215762, 14200000 req, miss ratio 0.5088, byte miss ratio 0.5088
io_traces.ns538 S3FIFO-0.7000-1.9000 cache size  2431524, 14200000 req, miss ratio 0.4605, byte miss ratio 0.4605
io_traces.ns538 S3FIFO-0.7000-1.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.7500-0.9000 cache size     6078, 14200000 req, miss ratio 0.9584, byte miss ratio 0.9584
io_traces.ns538 S3FIFO-0.7500-0.9000 cache size    18236, 14200000 req, miss ratio 0.9485, byte miss ratio 0.9485
io_traces.ns538 S3FIFO-0.7500-0.9000 cache size    60788, 14200000 req, miss ratio 0.9198, byte miss ratio 0.9198
io_traces.ns538 S3FIFO-0.7500-0.9000 cache size   182364, 14200000 req, miss ratio 0.8500, byte miss ratio 0.8500
io_traces.ns538 S3FIFO-0.7500-0.9000 cache size   607881, 14200000 req, miss ratio 0.5971, byte miss ratio 0.5971
io_traces.ns538 S3FIFO-0.7500-0.9000 cache size  1215762, 14200000 req, miss ratio 0.5146, byte miss ratio 0.5146
io_traces.ns538 S3FIFO-0.7500-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4629, byte miss ratio 0.4629
io_traces.ns538 S3FIFO-0.7500-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
