cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   253336, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size      633, 2439185 req, miss ratio 0.2947, byte miss ratio 0.2947
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     1900, 2439185 req, miss ratio 0.2785, byte miss ratio 0.2785
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     6333, 2439185 req, miss ratio 0.2687, byte miss ratio 0.2687
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    19000, 2439185 req, miss ratio 0.2635, byte miss ratio 0.2635
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    63334, 2439185 req, miss ratio 0.2606, byte miss ratio 0.2606
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   253336, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size      633, 2439185 req, miss ratio 0.2706, byte miss ratio 0.2706
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size     1900, 2439185 req, miss ratio 0.2643, byte miss ratio 0.2643
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size     6333, 2439185 req, miss ratio 0.2610, byte miss ratio 0.2610
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    19000, 2439185 req, miss ratio 0.2601, byte miss ratio 0.2601
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    63334, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   253336, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size      633, 2439185 req, miss ratio 0.2639, byte miss ratio 0.2639
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size     1900, 2439185 req, miss ratio 0.2605, byte miss ratio 0.2605
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size     6333, 2439185 req, miss ratio 0.2599, byte miss ratio 0.2599
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size    19000, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size    63334, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   253336, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size      633, 2439185 req, miss ratio 0.2697, byte miss ratio 0.2697
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size     1900, 2439185 req, miss ratio 0.2620, byte miss ratio 0.2620
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size     6333, 2439185 req, miss ratio 0.2602, byte miss ratio 0.2602
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size    19000, 2439185 req, miss ratio 0.2600, byte miss ratio 0.2600
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size    63334, 2439185 req, miss ratio 0.2599, byte miss ratio 0.2599
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   253336, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size      633, 2439185 req, miss ratio 0.2648, byte miss ratio 0.2648
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size     1900, 2439185 req, miss ratio 0.2604, byte miss ratio 0.2604
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size     6333, 2439185 req, miss ratio 0.2600, byte miss ratio 0.2600
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size    19000, 2439185 req, miss ratio 0.2599, byte miss ratio 0.2599
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size    63334, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   253336, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size      633, 2439185 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size     1900, 2439185 req, miss ratio 0.3122, byte miss ratio 0.3122
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size     6333, 2439185 req, miss ratio 0.2824, byte miss ratio 0.2824
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size    19000, 2439185 req, miss ratio 0.2711, byte miss ratio 0.2711
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size    63334, 2439185 req, miss ratio 0.2638, byte miss ratio 0.2638
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size   126668, 2439185 req, miss ratio 0.2606, byte miss ratio 0.2606
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size   253336, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size      633, 2439185 req, miss ratio 0.2651, byte miss ratio 0.2651
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size     1900, 2439185 req, miss ratio 0.2609, byte miss ratio 0.2609
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size     6333, 2439185 req, miss ratio 0.2601, byte miss ratio 0.2601
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size    19000, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size    63334, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size   253336, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size      633, 2439185 req, miss ratio 0.2642, byte miss ratio 0.2642
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     1900, 2439185 req, miss ratio 0.2606, byte miss ratio 0.2606
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     6333, 2439185 req, miss ratio 0.2600, byte miss ratio 0.2600
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size    19000, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size    63334, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size   253336, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size      633, 2439185 req, miss ratio 0.2639, byte miss ratio 0.2639
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     1900, 2439185 req, miss ratio 0.2605, byte miss ratio 0.2605
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     6333, 2439185 req, miss ratio 0.2599, byte miss ratio 0.2599
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size    19000, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size    63334, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size   253336, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size      633, 2439185 req, miss ratio 0.2664, byte miss ratio 0.2664
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     1900, 2439185 req, miss ratio 0.2606, byte miss ratio 0.2606
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     6333, 2439185 req, miss ratio 0.2600, byte miss ratio 0.2600
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size    19000, 2439185 req, miss ratio 0.2599, byte miss ratio 0.2599
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size    63334, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   253336, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size      633, 2439185 req, miss ratio 0.2751, byte miss ratio 0.2751
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size     1900, 2439185 req, miss ratio 0.2671, byte miss ratio 0.2671
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size     6333, 2439185 req, miss ratio 0.2623, byte miss ratio 0.2623
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size    19000, 2439185 req, miss ratio 0.2604, byte miss ratio 0.2604
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size    63334, 2439185 req, miss ratio 0.2599, byte miss ratio 0.2599
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size   253336, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size      633, 2439185 req, miss ratio 0.2639, byte miss ratio 0.2639
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size     1900, 2439185 req, miss ratio 0.2605, byte miss ratio 0.2605
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size     6333, 2439185 req, miss ratio 0.2599, byte miss ratio 0.2599
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    19000, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    63334, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   253336, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
