onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.0000 cache size    76870, 1446577592 req, miss ratio 0.6921, byte miss ratio 0.6921
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.0000 cache size   230610, 1446577592 req, miss ratio 0.6469, byte miss ratio 0.6469
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.0000 cache size   768702, 1446577592 req, miss ratio 0.6145, byte miss ratio 0.6145
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.0000 cache size  2306108, 1446577592 req, miss ratio 0.5747, byte miss ratio 0.5747
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.0000 cache size  7687029, 1446577592 req, miss ratio 0.4239, byte miss ratio 0.4239
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.0000 cache size 15374058, 1446577592 req, miss ratio 0.2475, byte miss ratio 0.2475
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.0000 cache size 30748116, 1446577592 req, miss ratio 0.1075, byte miss ratio 0.1075
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.0000 cache size 61496233, 1446577592 req, miss ratio 0.0581, byte miss ratio 0.0581
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size    76870, 1446577592 req, miss ratio 0.7018, byte miss ratio 0.7018
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size   230610, 1446577592 req, miss ratio 0.6560, byte miss ratio 0.6560
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size   768702, 1446577592 req, miss ratio 0.6191, byte miss ratio 0.6191
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size  2306108, 1446577592 req, miss ratio 0.5882, byte miss ratio 0.5882
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size  7687029, 1446577592 req, miss ratio 0.4429, byte miss ratio 0.4429
