io_traces.ns333 S3FIFO-0.7000-0.9000 cache size      112, 1200000 req, miss ratio 0.2480, byte miss ratio 0.2480
io_traces.ns333 S3FIFO-0.7000-0.9000 cache size      376, 1200000 req, miss ratio 0.1827, byte miss ratio 0.1827
io_traces.ns333 S3FIFO-0.7000-0.9000 cache size     1128, 1200000 req, miss ratio 0.1581, byte miss ratio 0.1581
io_traces.ns333 S3FIFO-0.7000-0.9000 cache size     3760, 1200000 req, miss ratio 0.1453, byte miss ratio 0.1453
io_traces.ns333 S3FIFO-0.7000-0.9000 cache size     7521, 1200000 req, miss ratio 0.1141, byte miss ratio 0.1141
io_traces.ns333 S3FIFO-0.7000-0.9000 cache size    15042, 1200000 req, miss ratio 0.0699, byte miss ratio 0.0699
io_traces.ns333 S3FIFO-0.7000-0.9000 cache size    30084, 1200000 req, miss ratio 0.0362, byte miss ratio 0.0362
io_traces.ns333 S3FIFO-0.4000-0.9000 cache size       37, 1200000 req, miss ratio 0.3628, byte miss ratio 0.3628
io_traces.ns333 S3FIFO-0.4000-0.9000 cache size      112, 1200000 req, miss ratio 0.2165, byte miss ratio 0.2165
io_traces.ns333 S3FIFO-0.4000-0.9000 cache size      376, 1200000 req, miss ratio 0.1711, byte miss ratio 0.1711
io_traces.ns333 S3FIFO-0.4000-0.9000 cache size     1128, 1200000 req, miss ratio 0.1500, byte miss ratio 0.1500
io_traces.ns333 S3FIFO-0.4000-0.9000 cache size     3760, 1200000 req, miss ratio 0.1352, byte miss ratio 0.1352
io_traces.ns333 S3FIFO-0.4000-0.9000 cache size     7521, 1200000 req, miss ratio 0.1047, byte miss ratio 0.1047
io_traces.ns333 S3FIFO-0.4000-0.9000 cache size    15042, 1200000 req, miss ratio 0.0655, byte miss ratio 0.0655
io_traces.ns333 S3FIFO-0.4000-0.9000 cache size    30084, 1200000 req, miss ratio 0.0331, byte miss ratio 0.0331
io_traces.ns333 S3FIFO-0.0500-1.9000 cache size       37, 1200000 req, miss ratio 0.3165, byte miss ratio 0.3165
io_traces.ns333 S3FIFO-0.0500-1.9000 cache size      112, 1200000 req, miss ratio 0.2145, byte miss ratio 0.2145
io_traces.ns333 S3FIFO-0.0500-1.9000 cache size      376, 1200000 req, miss ratio 0.1696, byte miss ratio 0.1696
io_traces.ns333 S3FIFO-0.0500-1.9000 cache size     1128, 1200000 req, miss ratio 0.1463, byte miss ratio 0.1463
io_traces.ns333 S3FIFO-0.0500-1.9000 cache size     3760, 1200000 req, miss ratio 0.1252, byte miss ratio 0.1252
io_traces.ns333 S3FIFO-0.0500-1.9000 cache size     7521, 1200000 req, miss ratio 0.1045, byte miss ratio 0.1045
io_traces.ns333 S3FIFO-0.0500-1.9000 cache size    15042, 1200000 req, miss ratio 0.0596, byte miss ratio 0.0596
io_traces.ns333 S3FIFO-0.0500-1.9000 cache size    30084, 1200000 req, miss ratio 0.0324, byte miss ratio 0.0324
io_traces.ns333 S3FIFO-0.0100-0.9000 cache size       37, 1200000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns333 S3FIFO-0.0100-0.9000 cache size      112, 1200000 req, miss ratio 0.2231, byte miss ratio 0.2231
io_traces.ns333 S3FIFO-0.0100-0.9000 cache size      376, 1200000 req, miss ratio 0.1785, byte miss ratio 0.1785
io_traces.ns333 S3FIFO-0.0100-0.9000 cache size     1128, 1200000 req, miss ratio 0.1516, byte miss ratio 0.1516
io_traces.ns333 S3FIFO-0.0100-0.9000 cache size     3760, 1200000 req, miss ratio 0.1280, byte miss ratio 0.1280
io_traces.ns333 S3FIFO-0.0100-0.9000 cache size     7521, 1200000 req, miss ratio 0.1022, byte miss ratio 0.1022
io_traces.ns333 S3FIFO-0.0100-0.9000 cache size    15042, 1200000 req, miss ratio 0.0580, byte miss ratio 0.0580
io_traces.ns333 S3FIFO-0.0100-0.9000 cache size    30084, 1200000 req, miss ratio 0.0324, byte miss ratio 0.0324
io_traces.ns333 S3FIFO-0.5500-0.9000 cache size       37, 1200000 req, miss ratio 0.3921, byte miss ratio 0.3921
io_traces.ns333 S3FIFO-0.5500-0.9000 cache size      112, 1200000 req, miss ratio 0.2283, byte miss ratio 0.2283
io_traces.ns333 S3FIFO-0.5500-0.9000 cache size      376, 1200000 req, miss ratio 0.1750, byte miss ratio 0.1750
io_traces.ns333 S3FIFO-0.5500-0.9000 cache size     1128, 1200000 req, miss ratio 0.1532, byte miss ratio 0.1532
io_traces.ns333 S3FIFO-0.5500-0.9000 cache size     3760, 1200000 req, miss ratio 0.1414, byte miss ratio 0.1414
io_traces.ns333 S3FIFO-0.5500-0.9000 cache size     7521, 1200000 req, miss ratio 0.1112, byte miss ratio 0.1112
io_traces.ns333 S3FIFO-0.5500-0.9000 cache size    15042, 1200000 req, miss ratio 0.0678, byte miss ratio 0.0678
