tencentBlock.ns23479 S3FIFO-0.5500-0.9000 cache size       30, 12757218 req, miss ratio 0.7313, byte miss ratio 0.7313
tencentBlock.ns23479 S3FIFO-0.5500-0.9000 cache size       92, 12757218 req, miss ratio 0.4322, byte miss ratio 0.4322
tencentBlock.ns23479 S3FIFO-0.5500-0.9000 cache size      306, 12757218 req, miss ratio 0.0190, byte miss ratio 0.0190
tencentBlock.ns23479 S3FIFO-0.5500-0.9000 cache size      613, 12757218 req, miss ratio 0.0068, byte miss ratio 0.0068
tencentBlock.ns23479 S3FIFO-0.5500-0.9000 cache size     1227, 12757218 req, miss ratio 0.0055, byte miss ratio 0.0055
tencentBlock.ns23479 S3FIFO-0.5500-0.9000 cache size     2455, 12757218 req, miss ratio 0.0021, byte miss ratio 0.0021
tencentBlock.ns23479 S3FIFO-0.2500-0.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.2500-0.9000 cache size       30, 12757218 req, miss ratio 0.7246, byte miss ratio 0.7246
tencentBlock.ns23479 S3FIFO-0.2500-0.9000 cache size       92, 12757218 req, miss ratio 0.3376, byte miss ratio 0.3376
tencentBlock.ns23479 S3FIFO-0.2500-0.9000 cache size      306, 12757218 req, miss ratio 0.0174, byte miss ratio 0.0174
tencentBlock.ns23479 S3FIFO-0.2500-0.9000 cache size      613, 12757218 req, miss ratio 0.0069, byte miss ratio 0.0069
tencentBlock.ns23479 S3FIFO-0.2500-0.9000 cache size     1227, 12757218 req, miss ratio 0.0052, byte miss ratio 0.0052
tencentBlock.ns23479 S3FIFO-0.2500-0.9000 cache size     2455, 12757218 req, miss ratio 0.0018, byte miss ratio 0.0018
tencentBlock.ns23479 S3FIFO-0.6000-1.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.6000-1.9000 cache size       30, 12757218 req, miss ratio 0.7324, byte miss ratio 0.7324
tencentBlock.ns23479 S3FIFO-0.6000-1.9000 cache size       92, 12757218 req, miss ratio 0.4549, byte miss ratio 0.4549
tencentBlock.ns23479 S3FIFO-0.6000-1.9000 cache size      306, 12757218 req, miss ratio 0.0194, byte miss ratio 0.0194
tencentBlock.ns23479 S3FIFO-0.6000-1.9000 cache size      613, 12757218 req, miss ratio 0.0069, byte miss ratio 0.0069
tencentBlock.ns23479 S3FIFO-0.6000-1.9000 cache size     1227, 12757218 req, miss ratio 0.0056, byte miss ratio 0.0056
tencentBlock.ns23479 S3FIFO-0.6000-1.9000 cache size     2455, 12757218 req, miss ratio 0.0022, byte miss ratio 0.0022
tencentBlock.ns23479 S3FIFO-0.8500-1.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.8500-1.9000 cache size       30, 12757218 req, miss ratio 0.7328, byte miss ratio 0.7328
tencentBlock.ns23479 S3FIFO-0.8500-1.9000 cache size       92, 12757218 req, miss ratio 0.4629, byte miss ratio 0.4629
tencentBlock.ns23479 S3FIFO-0.8500-1.9000 cache size      306, 12757218 req, miss ratio 0.0208, byte miss ratio 0.0208
tencentBlock.ns23479 S3FIFO-0.8500-1.9000 cache size      613, 12757218 req, miss ratio 0.0076, byte miss ratio 0.0076
tencentBlock.ns23479 S3FIFO-0.8500-1.9000 cache size     1227, 12757218 req, miss ratio 0.0058, byte miss ratio 0.0058
tencentBlock.ns23479 S3FIFO-0.8500-1.9000 cache size     2455, 12757218 req, miss ratio 0.0025, byte miss ratio 0.0025
tencentBlock.ns23479 S3FIFO-0.1500-0.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.1500-0.9000 cache size       30, 12757218 req, miss ratio 0.7217, byte miss ratio 0.7217
tencentBlock.ns23479 S3FIFO-0.1500-0.9000 cache size       92, 12757218 req, miss ratio 0.3342, byte miss ratio 0.3342
tencentBlock.ns23479 S3FIFO-0.1500-0.9000 cache size      306, 12757218 req, miss ratio 0.0170, byte miss ratio 0.0170
tencentBlock.ns23479 S3FIFO-0.1500-0.9000 cache size      613, 12757218 req, miss ratio 0.0069, byte miss ratio 0.0069
tencentBlock.ns23479 S3FIFO-0.1500-0.9000 cache size     1227, 12757218 req, miss ratio 0.0052, byte miss ratio 0.0052
tencentBlock.ns23479 S3FIFO-0.1500-0.9000 cache size     2455, 12757218 req, miss ratio 0.0018, byte miss ratio 0.0018
tencentBlock.ns23479 S3FIFO-0.1000-1.9000 cache size        9, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.1000-1.9000 cache size       30, 12757218 req, miss ratio 0.7250, byte miss ratio 0.7250
tencentBlock.ns23479 S3FIFO-0.1000-1.9000 cache size       92, 12757218 req, miss ratio 0.3306, byte miss ratio 0.3306
tencentBlock.ns23479 S3FIFO-0.1000-1.9000 cache size      306, 12757218 req, miss ratio 0.0168, byte miss ratio 0.0168
tencentBlock.ns23479 S3FIFO-0.1000-1.9000 cache size      613, 12757218 req, miss ratio 0.0069, byte miss ratio 0.0069
tencentBlock.ns23479 S3FIFO-0.1000-1.9000 cache size     1227, 12757218 req, miss ratio 0.0052, byte miss ratio 0.0052
tencentBlock.ns23479 S3FIFO-0.1000-1.9000 cache size     2455, 12757218 req, miss ratio 0.0016, byte miss ratio 0.0016
tencentBlock.ns23479 S3FIFO-0.5000-0.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.5000-0.9000 cache size       30, 12757218 req, miss ratio 0.7311, byte miss ratio 0.7311
tencentBlock.ns23479 S3FIFO-0.5000-0.9000 cache size       92, 12757218 req, miss ratio 0.4150, byte miss ratio 0.4150
tencentBlock.ns23479 S3FIFO-0.5000-0.9000 cache size      306, 12757218 req, miss ratio 0.0186, byte miss ratio 0.0186
tencentBlock.ns23479 S3FIFO-0.5000-0.9000 cache size      613, 12757218 req, miss ratio 0.0068, byte miss ratio 0.0068
tencentBlock.ns23479 S3FIFO-0.5000-0.9000 cache size     1227, 12757218 req, miss ratio 0.0055, byte miss ratio 0.0055
tencentBlock.ns23479 S3FIFO-0.5000-0.9000 cache size     2455, 12757218 req, miss ratio 0.0020, byte miss ratio 0.0020
tencentBlock.ns23479 S3FIFO-0.9000-1.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.9000-1.9000 cache size       30, 12757218 req, miss ratio 0.7328, byte miss ratio 0.7328
tencentBlock.ns23479 S3FIFO-0.9000-1.9000 cache size       92, 12757218 req, miss ratio 0.4526, byte miss ratio 0.4526
tencentBlock.ns23479 S3FIFO-0.9000-1.9000 cache size      306, 12757218 req, miss ratio 0.0211, byte miss ratio 0.0211
tencentBlock.ns23479 S3FIFO-0.9000-1.9000 cache size      613, 12757218 req, miss ratio 0.0077, byte miss ratio 0.0077
tencentBlock.ns23479 S3FIFO-0.9000-1.9000 cache size     1227, 12757218 req, miss ratio 0.0058, byte miss ratio 0.0058
tencentBlock.ns23479 S3FIFO-0.9000-1.9000 cache size     2455, 12757218 req, miss ratio 0.0025, byte miss ratio 0.0025
tencentBlock.ns23479 S3FIFO-0.3500-1.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.3500-1.9000 cache size       30, 12757218 req, miss ratio 0.7301, byte miss ratio 0.7301
tencentBlock.ns23479 S3FIFO-0.3500-1.9000 cache size       92, 12757218 req, miss ratio 0.3548, byte miss ratio 0.3548
tencentBlock.ns23479 S3FIFO-0.3500-1.9000 cache size      306, 12757218 req, miss ratio 0.0177, byte miss ratio 0.0177
tencentBlock.ns23479 S3FIFO-0.3500-1.9000 cache size      613, 12757218 req, miss ratio 0.0068, byte miss ratio 0.0068
tencentBlock.ns23479 S3FIFO-0.3500-1.9000 cache size     1227, 12757218 req, miss ratio 0.0054, byte miss ratio 0.0054
tencentBlock.ns23479 S3FIFO-0.3500-1.9000 cache size     2455, 12757218 req, miss ratio 0.0019, byte miss ratio 0.0019
tencentBlock.ns23479 S3FIFO-0.0250-1.9000 cache size        9, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.0250-1.9000 cache size       30, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.0250-1.9000 cache size       92, 12757218 req, miss ratio 0.2994, byte miss ratio 0.2994
tencentBlock.ns23479 S3FIFO-0.0250-1.9000 cache size      306, 12757218 req, miss ratio 0.0165, byte miss ratio 0.0165
tencentBlock.ns23479 S3FIFO-0.0250-1.9000 cache size      613, 12757218 req, miss ratio 0.0071, byte miss ratio 0.0071
tencentBlock.ns23479 S3FIFO-0.0250-1.9000 cache size     1227, 12757218 req, miss ratio 0.0053, byte miss ratio 0.0053
tencentBlock.ns23479 S3FIFO-0.0250-1.9000 cache size     2455, 12757218 req, miss ratio 0.0013, byte miss ratio 0.0013
tencentBlock.ns23479 S3FIFO-0.6500-1.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.6500-1.9000 cache size       30, 12757218 req, miss ratio 0.7325, byte miss ratio 0.7325
tencentBlock.ns23479 S3FIFO-0.6500-1.9000 cache size       92, 12757218 req, miss ratio 0.4664, byte miss ratio 0.4664
tencentBlock.ns23479 S3FIFO-0.6500-1.9000 cache size      306, 12757218 req, miss ratio 0.0197, byte miss ratio 0.0197
tencentBlock.ns23479 S3FIFO-0.6500-1.9000 cache size      613, 12757218 req, miss ratio 0.0070, byte miss ratio 0.0070
tencentBlock.ns23479 S3FIFO-0.6500-1.9000 cache size     1227, 12757218 req, miss ratio 0.0056, byte miss ratio 0.0056
tencentBlock.ns23479 S3FIFO-0.6500-1.9000 cache size     2455, 12757218 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23479 S3FIFO-0.5000-1.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.5000-1.9000 cache size       30, 12757218 req, miss ratio 0.7317, byte miss ratio 0.7317
tencentBlock.ns23479 S3FIFO-0.5000-1.9000 cache size       92, 12757218 req, miss ratio 0.4182, byte miss ratio 0.4182
tencentBlock.ns23479 S3FIFO-0.5000-1.9000 cache size      306, 12757218 req, miss ratio 0.0187, byte miss ratio 0.0187
tencentBlock.ns23479 S3FIFO-0.5000-1.9000 cache size      613, 12757218 req, miss ratio 0.0068, byte miss ratio 0.0068
tencentBlock.ns23479 S3FIFO-0.5000-1.9000 cache size     1227, 12757218 req, miss ratio 0.0055, byte miss ratio 0.0055
tencentBlock.ns23479 S3FIFO-0.5000-1.9000 cache size     2455, 12757218 req, miss ratio 0.0020, byte miss ratio 0.0020
tencentBlock.ns23479 S3FIFO-0.4000-0.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.4000-0.9000 cache size       30, 12757218 req, miss ratio 0.7301, byte miss ratio 0.7301
tencentBlock.ns23479 S3FIFO-0.4000-0.9000 cache size       92, 12757218 req, miss ratio 0.3535, byte miss ratio 0.3535
tencentBlock.ns23479 S3FIFO-0.4000-0.9000 cache size      306, 12757218 req, miss ratio 0.0179, byte miss ratio 0.0179
tencentBlock.ns23479 S3FIFO-0.4000-0.9000 cache size      613, 12757218 req, miss ratio 0.0068, byte miss ratio 0.0068
tencentBlock.ns23479 S3FIFO-0.4000-0.9000 cache size     1227, 12757218 req, miss ratio 0.0055, byte miss ratio 0.0055
tencentBlock.ns23479 S3FIFO-0.4000-0.9000 cache size     2455, 12757218 req, miss ratio 0.0019, byte miss ratio 0.0019
tencentBlock.ns23479 S3FIFO-0.0050-0.9000 cache size        9, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.0050-0.9000 cache size       30, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.0050-0.9000 cache size       92, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.0050-0.9000 cache size      306, 12757218 req, miss ratio 0.0162, byte miss ratio 0.0162
tencentBlock.ns23479 S3FIFO-0.0050-0.9000 cache size      613, 12757218 req, miss ratio 0.0071, byte miss ratio 0.0071
tencentBlock.ns23479 S3FIFO-0.0050-0.9000 cache size     1227, 12757218 req, miss ratio 0.0050, byte miss ratio 0.0050
tencentBlock.ns23479 S3FIFO-0.0050-0.9000 cache size     2455, 12757218 req, miss ratio 0.0012, byte miss ratio 0.0012
tencentBlock.ns23479 S3FIFO-0.0500-0.9000 cache size        9, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.0500-0.9000 cache size       30, 12757218 req, miss ratio 0.7118, byte miss ratio 0.7118
tencentBlock.ns23479 S3FIFO-0.0500-0.9000 cache size       92, 12757218 req, miss ratio 0.3021, byte miss ratio 0.3021
tencentBlock.ns23479 S3FIFO-0.0500-0.9000 cache size      306, 12757218 req, miss ratio 0.0165, byte miss ratio 0.0165
tencentBlock.ns23479 S3FIFO-0.0500-0.9000 cache size      613, 12757218 req, miss ratio 0.0070, byte miss ratio 0.0070
tencentBlock.ns23479 S3FIFO-0.0500-0.9000 cache size     1227, 12757218 req, miss ratio 0.0051, byte miss ratio 0.0051
tencentBlock.ns23479 S3FIFO-0.0500-0.9000 cache size     2455, 12757218 req, miss ratio 0.0014, byte miss ratio 0.0014
tencentBlock.ns23479 S3FIFO-0.0100-1.9000 cache size        9, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.0100-1.9000 cache size       30, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.0100-1.9000 cache size       92, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.0100-1.9000 cache size      306, 12757218 req, miss ratio 0.0165, byte miss ratio 0.0165
tencentBlock.ns23479 S3FIFO-0.0100-1.9000 cache size      613, 12757218 req, miss ratio 0.0072, byte miss ratio 0.0072
