media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.4000 cache size   479670, 282251551 req, miss ratio 0.0064, byte miss ratio 0.0064
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.4000 cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.5000 cache size     1199, 282251551 req, miss ratio 0.3007, byte miss ratio 0.3007
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.5000 cache size     3597, 282251551 req, miss ratio 0.1823, byte miss ratio 0.1823
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.5000 cache size    11991, 282251551 req, miss ratio 0.0912, byte miss ratio 0.0912
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.5000 cache size    35975, 282251551 req, miss ratio 0.0443, byte miss ratio 0.0443
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.5000 cache size   119917, 282251551 req, miss ratio 0.0197, byte miss ratio 0.0197
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.5000 cache size   239835, 282251551 req, miss ratio 0.0126, byte miss ratio 0.0126
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.5000 cache size   479670, 282251551 req, miss ratio 0.0081, byte miss ratio 0.0081
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.5000 cache size   959340, 282251551 req, miss ratio 0.0050, byte miss ratio 0.0050
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size     1199, 282251551 req, miss ratio 0.2496, byte miss ratio 0.2496
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size     3597, 282251551 req, miss ratio 0.1479, byte miss ratio 0.1479
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size    11991, 282251551 req, miss ratio 0.0725, byte miss ratio 0.0725
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size    35975, 282251551 req, miss ratio 0.0349, byte miss ratio 0.0349
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size   119917, 282251551 req, miss ratio 0.0157, byte miss ratio 0.0157
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size   239835, 282251551 req, miss ratio 0.0101, byte miss ratio 0.0101
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size   479670, 282251551 req, miss ratio 0.0067, byte miss ratio 0.0067
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.4000 cache size     1199, 282251551 req, miss ratio 0.2449, byte miss ratio 0.2449
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.4000 cache size     3597, 282251551 req, miss ratio 0.1384, byte miss ratio 0.1384
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.4000 cache size    11991, 282251551 req, miss ratio 0.0649, byte miss ratio 0.0649
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.4000 cache size    35975, 282251551 req, miss ratio 0.0308, byte miss ratio 0.0308
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.4000 cache size   119917, 282251551 req, miss ratio 0.0140, byte miss ratio 0.0140
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.4000 cache size   239835, 282251551 req, miss ratio 0.0090, byte miss ratio 0.0090
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.4000 cache size   479670, 282251551 req, miss ratio 0.0063, byte miss ratio 0.0063
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.4000 cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size     1199, 282251551 req, miss ratio 0.3074, byte miss ratio 0.3074
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size     3597, 282251551 req, miss ratio 0.1871, byte miss ratio 0.1871
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size    11991, 282251551 req, miss ratio 0.0942, byte miss ratio 0.0942
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size    35975, 282251551 req, miss ratio 0.0459, byte miss ratio 0.0459
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size   119917, 282251551 req, miss ratio 0.0203, byte miss ratio 0.0203
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size   239835, 282251551 req, miss ratio 0.0129, byte miss ratio 0.0129
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size   479670, 282251551 req, miss ratio 0.0082, byte miss ratio 0.0082
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size   959340, 282251551 req, miss ratio 0.0051, byte miss ratio 0.0051
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.3000 cache size     1199, 282251551 req, miss ratio 0.2287, byte miss ratio 0.2287
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.3000 cache size     3597, 282251551 req, miss ratio 0.1342, byte miss ratio 0.1342
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.3000 cache size    11991, 282251551 req, miss ratio 0.0655, byte miss ratio 0.0655
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.3000 cache size    35975, 282251551 req, miss ratio 0.0316, byte miss ratio 0.0316
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.3000 cache size   119917, 282251551 req, miss ratio 0.0145, byte miss ratio 0.0145
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.3000 cache size   239835, 282251551 req, miss ratio 0.0095, byte miss ratio 0.0095
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.3000 cache size   479670, 282251551 req, miss ratio 0.0065, byte miss ratio 0.0065
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.3000 cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.5000 cache size     1199, 282251551 req, miss ratio 0.2947, byte miss ratio 0.2947
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.5000 cache size     3597, 282251551 req, miss ratio 0.1780, byte miss ratio 0.1780
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.5000 cache size    11991, 282251551 req, miss ratio 0.0888, byte miss ratio 0.0888
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.5000 cache size    35975, 282251551 req, miss ratio 0.0431, byte miss ratio 0.0431
