gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.4000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.2000 cache size      655, 814062339 req, miss ratio 0.1723, byte miss ratio 0.1723
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.2000 cache size     1966, 814062339 req, miss ratio 0.0885, byte miss ratio 0.0885
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.2000 cache size     6553, 814062339 req, miss ratio 0.0402, byte miss ratio 0.0402
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.2000 cache size    19660, 814062339 req, miss ratio 0.0197, byte miss ratio 0.0197
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.2000 cache size    65535, 814062339 req, miss ratio 0.0054, byte miss ratio 0.0054
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.2000 cache size   131071, 814062339 req, miss ratio 0.0021, byte miss ratio 0.0021
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.2000 cache size   262143, 814062339 req, miss ratio 0.0013, byte miss ratio 0.0013
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.2000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size      655, 814062339 req, miss ratio 0.1899, byte miss ratio 0.1899
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size     1966, 814062339 req, miss ratio 0.1042, byte miss ratio 0.1042
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size     6553, 814062339 req, miss ratio 0.0488, byte miss ratio 0.0488
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size    19660, 814062339 req, miss ratio 0.0238, byte miss ratio 0.0238
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size    65535, 814062339 req, miss ratio 0.0082, byte miss ratio 0.0082
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size   131071, 814062339 req, miss ratio 0.0030, byte miss ratio 0.0030
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size   262143, 814062339 req, miss ratio 0.0015, byte miss ratio 0.0015
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size      655, 814062339 req, miss ratio 0.1917, byte miss ratio 0.1917
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size     1966, 814062339 req, miss ratio 0.1049, byte miss ratio 0.1049
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size     6553, 814062339 req, miss ratio 0.0490, byte miss ratio 0.0490
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size    19660, 814062339 req, miss ratio 0.0238, byte miss ratio 0.0238
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size    65535, 814062339 req, miss ratio 0.0081, byte miss ratio 0.0081
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size   131071, 814062339 req, miss ratio 0.0029, byte miss ratio 0.0029
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size   262143, 814062339 req, miss ratio 0.0015, byte miss ratio 0.0015
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.5000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size      655, 814062339 req, miss ratio 0.1729, byte miss ratio 0.1729
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size     1966, 814062339 req, miss ratio 0.0921, byte miss ratio 0.0921
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size     6553, 814062339 req, miss ratio 0.0424, byte miss ratio 0.0424
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size    19660, 814062339 req, miss ratio 0.0207, byte miss ratio 0.0207
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size    65535, 814062339 req, miss ratio 0.0068, byte miss ratio 0.0068
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size   131071, 814062339 req, miss ratio 0.0024, byte miss ratio 0.0024
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.0000 cache size   262143, 814062339 req, miss ratio 0.0014, byte miss ratio 0.0014
