cdn1_colo28.ns975 S3FIFO-0.5000-1.9000 cache size     6578, 2315384 req, miss ratio 0.0624, byte miss ratio 0.0624
cdn1_colo28.ns975 S3FIFO-0.5000-1.9000 cache size    13156, 2315384 req, miss ratio 0.0308, byte miss ratio 0.0308
cdn1_colo28.ns975 S3FIFO-0.5000-1.9000 cache size    26313, 2315384 req, miss ratio 0.0155, byte miss ratio 0.0155
cdn1_colo28.ns975 S3FIFO-0.8000-0.9000 cache size       32, 2315384 req, miss ratio 0.6616, byte miss ratio 0.6616
cdn1_colo28.ns975 S3FIFO-0.8000-0.9000 cache size       98, 2315384 req, miss ratio 0.4981, byte miss ratio 0.4981
cdn1_colo28.ns975 S3FIFO-0.8000-0.9000 cache size      328, 2315384 req, miss ratio 0.3986, byte miss ratio 0.3986
cdn1_colo28.ns975 S3FIFO-0.8000-0.9000 cache size      986, 2315384 req, miss ratio 0.2888, byte miss ratio 0.2888
cdn1_colo28.ns975 S3FIFO-0.8000-0.9000 cache size     3289, 2315384 req, miss ratio 0.1399, byte miss ratio 0.1399
cdn1_colo28.ns975 S3FIFO-0.8000-0.9000 cache size     6578, 2315384 req, miss ratio 0.0749, byte miss ratio 0.0749
cdn1_colo28.ns975 S3FIFO-0.8000-0.9000 cache size    13156, 2315384 req, miss ratio 0.0361, byte miss ratio 0.0361
cdn1_colo28.ns975 S3FIFO-0.8000-0.9000 cache size    26313, 2315384 req, miss ratio 0.0173, byte miss ratio 0.0173
cdn1_colo28.ns975 S3FIFO-0.9000-1.9000 cache size       32, 2315384 req, miss ratio 0.7029, byte miss ratio 0.7029
cdn1_colo28.ns975 S3FIFO-0.9000-1.9000 cache size       98, 2315384 req, miss ratio 0.5337, byte miss ratio 0.5337
cdn1_colo28.ns975 S3FIFO-0.9000-1.9000 cache size      328, 2315384 req, miss ratio 0.4138, byte miss ratio 0.4138
cdn1_colo28.ns975 S3FIFO-0.9000-1.9000 cache size      986, 2315384 req, miss ratio 0.2975, byte miss ratio 0.2975
cdn1_colo28.ns975 S3FIFO-0.9000-1.9000 cache size     3289, 2315384 req, miss ratio 0.1437, byte miss ratio 0.1437
cdn1_colo28.ns975 S3FIFO-0.9000-1.9000 cache size     6578, 2315384 req, miss ratio 0.0778, byte miss ratio 0.0778
