cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size     1185, 1994940 req, miss ratio 0.6359, byte miss ratio 0.6359
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size     3555, 1994940 req, miss ratio 0.6181, byte miss ratio 0.6181
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    11851, 1994940 req, miss ratio 0.6040, byte miss ratio 0.6040
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    35553, 1994940 req, miss ratio 0.5950, byte miss ratio 0.5950
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   118510, 1994940 req, miss ratio 0.5944, byte miss ratio 0.5944
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     1185, 1994940 req, miss ratio 0.6083, byte miss ratio 0.6083
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     3555, 1994940 req, miss ratio 0.5969, byte miss ratio 0.5969
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size    11851, 1994940 req, miss ratio 0.5955, byte miss ratio 0.5955
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size    35553, 1994940 req, miss ratio 0.5946, byte miss ratio 0.5946
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     1185, 1994940 req, miss ratio 0.6669, byte miss ratio 0.6669
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     3555, 1994940 req, miss ratio 0.6442, byte miss ratio 0.6442
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    11851, 1994940 req, miss ratio 0.6201, byte miss ratio 0.6201
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    35553, 1994940 req, miss ratio 0.6071, byte miss ratio 0.6071
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   118510, 1994940 req, miss ratio 0.5947, byte miss ratio 0.5947
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size     1185, 1994940 req, miss ratio 0.6082, byte miss ratio 0.6082
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size     3555, 1994940 req, miss ratio 0.5968, byte miss ratio 0.5968
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size    11851, 1994940 req, miss ratio 0.5955, byte miss ratio 0.5955
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size    35553, 1994940 req, miss ratio 0.5945, byte miss ratio 0.5945
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size     1185, 1994940 req, miss ratio 0.6147, byte miss ratio 0.6147
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size     3555, 1994940 req, miss ratio 0.5992, byte miss ratio 0.5992
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size    11851, 1994940 req, miss ratio 0.5954, byte miss ratio 0.5954
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size    35553, 1994940 req, miss ratio 0.5949, byte miss ratio 0.5949
