guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.2000 cache size   135924, 15433112 req, miss ratio 0.0932, byte miss ratio 0.0932
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.2000 cache size   271848, 15433112 req, miss ratio 0.0907, byte miss ratio 0.0907
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.2000 cache size   543696, 15433112 req, miss ratio 0.0893, byte miss ratio 0.0893
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.2000 cache size  1087392, 15433112 req, miss ratio 0.0882, byte miss ratio 0.0882
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.5000 cache size     1359, 15433112 req, miss ratio 0.3587, byte miss ratio 0.3587
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.5000 cache size     4077, 15433112 req, miss ratio 0.1984, byte miss ratio 0.1984
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.5000 cache size    13592, 15433112 req, miss ratio 0.1295, byte miss ratio 0.1295
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.5000 cache size    40777, 15433112 req, miss ratio 0.1030, byte miss ratio 0.1030
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.5000 cache size   135924, 15433112 req, miss ratio 0.0906, byte miss ratio 0.0906
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.5000 cache size   271848, 15433112 req, miss ratio 0.0887, byte miss ratio 0.0887
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.5000 cache size   543696, 15433112 req, miss ratio 0.0882, byte miss ratio 0.0882
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.5000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size     1359, 15433112 req, miss ratio 0.3769, byte miss ratio 0.3769
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size     4077, 15433112 req, miss ratio 0.2199, byte miss ratio 0.2199
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size    13592, 15433112 req, miss ratio 0.1358, byte miss ratio 0.1358
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size    40777, 15433112 req, miss ratio 0.1045, byte miss ratio 0.1045
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   135924, 15433112 req, miss ratio 0.0923, byte miss ratio 0.0923
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   271848, 15433112 req, miss ratio 0.0900, byte miss ratio 0.0900
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   543696, 15433112 req, miss ratio 0.0889, byte miss ratio 0.0889
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size     1359, 15433112 req, miss ratio 0.3682, byte miss ratio 0.3682
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size     4077, 15433112 req, miss ratio 0.2078, byte miss ratio 0.2078
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size    13592, 15433112 req, miss ratio 0.1357, byte miss ratio 0.1357
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size    40777, 15433112 req, miss ratio 0.1055, byte miss ratio 0.1055
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size   135924, 15433112 req, miss ratio 0.0895, byte miss ratio 0.0895
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size   271848, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size   543696, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-1.3000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size     1359, 15433112 req, miss ratio 0.3597, byte miss ratio 0.3597
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size     4077, 15433112 req, miss ratio 0.1985, byte miss ratio 0.1985
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size    13592, 15433112 req, miss ratio 0.1318, byte miss ratio 0.1318
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size    40777, 15433112 req, miss ratio 0.1038, byte miss ratio 0.1038
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size   135924, 15433112 req, miss ratio 0.0896, byte miss ratio 0.0896
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size   271848, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size   543696, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size     1359, 15433112 req, miss ratio 0.4053, byte miss ratio 0.4053
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size     4077, 15433112 req, miss ratio 0.2551, byte miss ratio 0.2551
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    13592, 15433112 req, miss ratio 0.1653, byte miss ratio 0.1653
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    40777, 15433112 req, miss ratio 0.1171, byte miss ratio 0.1171
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   135924, 15433112 req, miss ratio 0.0964, byte miss ratio 0.0964
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   271848, 15433112 req, miss ratio 0.0928, byte miss ratio 0.0928
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   543696, 15433112 req, miss ratio 0.0903, byte miss ratio 0.0903
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  1087392, 15433112 req, miss ratio 0.0883, byte miss ratio 0.0883
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.0000 cache size     1359, 15433112 req, miss ratio 0.3832, byte miss ratio 0.3832
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.0000 cache size     4077, 15433112 req, miss ratio 0.2238, byte miss ratio 0.2238
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.0000 cache size    13592, 15433112 req, miss ratio 0.1434, byte miss ratio 0.1434
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.0000 cache size    40777, 15433112 req, miss ratio 0.1089, byte miss ratio 0.1089
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.0000 cache size   135924, 15433112 req, miss ratio 0.0901, byte miss ratio 0.0901
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.0000 cache size   271848, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.0000 cache size   543696, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.0000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size     1359, 15433112 req, miss ratio 0.3582, byte miss ratio 0.3582
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size     4077, 15433112 req, miss ratio 0.1960, byte miss ratio 0.1960
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    13592, 15433112 req, miss ratio 0.1293, byte miss ratio 0.1293
