query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    22312, 63962758 req, miss ratio 0.0832, byte miss ratio 0.0832
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    74374, 63962758 req, miss ratio 0.0557, byte miss ratio 0.0557
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   148748, 63962758 req, miss ratio 0.0394, byte miss ratio 0.0394
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   297497, 63962758 req, miss ratio 0.0225, byte miss ratio 0.0225
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   594994, 63962758 req, miss ratio 0.0129, byte miss ratio 0.0129
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size      743, 63962758 req, miss ratio 0.4334, byte miss ratio 0.4334
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size     2231, 63962758 req, miss ratio 0.1828, byte miss ratio 0.1828
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size     7437, 63962758 req, miss ratio 0.1149, byte miss ratio 0.1149
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    22312, 63962758 req, miss ratio 0.0831, byte miss ratio 0.0831
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    74374, 63962758 req, miss ratio 0.0555, byte miss ratio 0.0555
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   148748, 63962758 req, miss ratio 0.0389, byte miss ratio 0.0389
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   297497, 63962758 req, miss ratio 0.0221, byte miss ratio 0.0221
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   594994, 63962758 req, miss ratio 0.0129, byte miss ratio 0.0129
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size      743, 63962758 req, miss ratio 0.4338, byte miss ratio 0.4338
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size     2231, 63962758 req, miss ratio 0.1828, byte miss ratio 0.1828
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size     7437, 63962758 req, miss ratio 0.1149, byte miss ratio 0.1149
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size    22312, 63962758 req, miss ratio 0.0831, byte miss ratio 0.0831
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size    74374, 63962758 req, miss ratio 0.0555, byte miss ratio 0.0555
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size   148748, 63962758 req, miss ratio 0.0389, byte miss ratio 0.0389
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size   297497, 63962758 req, miss ratio 0.0221, byte miss ratio 0.0221
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size   594994, 63962758 req, miss ratio 0.0129, byte miss ratio 0.0129
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size      743, 63962758 req, miss ratio 0.4689, byte miss ratio 0.4689
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size     2231, 63962758 req, miss ratio 0.3116, byte miss ratio 0.3116
