cdn1_colo28.ns19 S3FIFO-0.4000-1.9000 cache size    15108, 120746519 req, miss ratio 0.3378, byte miss ratio 0.3378
cdn1_colo28.ns19 S3FIFO-0.4000-1.9000 cache size    45324, 120746519 req, miss ratio 0.1867, byte miss ratio 0.1867
cdn1_colo28.ns19 S3FIFO-0.4000-1.9000 cache size   151083, 120746519 req, miss ratio 0.1315, byte miss ratio 0.1315
cdn1_colo28.ns19 S3FIFO-0.4000-1.9000 cache size   453249, 120746519 req, miss ratio 0.1253, byte miss ratio 0.1253
cdn1_colo28.ns19 S3FIFO-0.4000-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.4000-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.4000-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.4000-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.1500-1.9000 cache size    15108, 120746519 req, miss ratio 0.3137, byte miss ratio 0.3137
cdn1_colo28.ns19 S3FIFO-0.1500-1.9000 cache size    45324, 120746519 req, miss ratio 0.1881, byte miss ratio 0.1881
cdn1_colo28.ns19 S3FIFO-0.1500-1.9000 cache size   151083, 120746519 req, miss ratio 0.1444, byte miss ratio 0.1444
cdn1_colo28.ns19 S3FIFO-0.1500-1.9000 cache size   453249, 120746519 req, miss ratio 0.1294, byte miss ratio 0.1294
cdn1_colo28.ns19 S3FIFO-0.1500-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.1500-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.1500-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.1500-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.5000-1.9000 cache size    15108, 120746519 req, miss ratio 0.3505, byte miss ratio 0.3505
cdn1_colo28.ns19 S3FIFO-0.5000-1.9000 cache size    45324, 120746519 req, miss ratio 0.1897, byte miss ratio 0.1897
cdn1_colo28.ns19 S3FIFO-0.5000-1.9000 cache size   151083, 120746519 req, miss ratio 0.1293, byte miss ratio 0.1293
cdn1_colo28.ns19 S3FIFO-0.5000-1.9000 cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.5000-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.5000-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.5000-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.5000-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.9900-0.9000 cache size    15108, 120746519 req, miss ratio 0.4363, byte miss ratio 0.4363
cdn1_colo28.ns19 S3FIFO-0.9900-0.9000 cache size    45324, 120746519 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_colo28.ns19 S3FIFO-0.9900-0.9000 cache size   151083, 120746519 req, miss ratio 0.1329, byte miss ratio 0.1329
cdn1_colo28.ns19 S3FIFO-0.9900-0.9000 cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.9900-0.9000 cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.9900-0.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.9900-0.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.9900-0.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.0250-1.9000 cache size    15108, 120746519 req, miss ratio 0.3089, byte miss ratio 0.3089
cdn1_colo28.ns19 S3FIFO-0.0250-1.9000 cache size    45324, 120746519 req, miss ratio 0.1996, byte miss ratio 0.1996
cdn1_colo28.ns19 S3FIFO-0.0250-1.9000 cache size   151083, 120746519 req, miss ratio 0.1660, byte miss ratio 0.1660
cdn1_colo28.ns19 S3FIFO-0.0250-1.9000 cache size   453249, 120746519 req, miss ratio 0.1519, byte miss ratio 0.1519
cdn1_colo28.ns19 S3FIFO-0.0250-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1345, byte miss ratio 0.1345
cdn1_colo28.ns19 S3FIFO-0.0250-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1272, byte miss ratio 0.1272
cdn1_colo28.ns19 S3FIFO-0.0250-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.0250-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.9900-1.9000 cache size    15108, 120746519 req, miss ratio 0.4314, byte miss ratio 0.4314
cdn1_colo28.ns19 S3FIFO-0.9900-1.9000 cache size    45324, 120746519 req, miss ratio 0.2370, byte miss ratio 0.2370
cdn1_colo28.ns19 S3FIFO-0.9900-1.9000 cache size   151083, 120746519 req, miss ratio 0.1329, byte miss ratio 0.1329
cdn1_colo28.ns19 S3FIFO-0.9900-1.9000 cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.9900-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.9900-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.9900-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.9900-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.3000-1.9000 cache size    15108, 120746519 req, miss ratio 0.3267, byte miss ratio 0.3267
cdn1_colo28.ns19 S3FIFO-0.3000-1.9000 cache size    45324, 120746519 req, miss ratio 0.1856, byte miss ratio 0.1856
cdn1_colo28.ns19 S3FIFO-0.3000-1.9000 cache size   151083, 120746519 req, miss ratio 0.1349, byte miss ratio 0.1349
cdn1_colo28.ns19 S3FIFO-0.3000-1.9000 cache size   453249, 120746519 req, miss ratio 0.1255, byte miss ratio 0.1255
cdn1_colo28.ns19 S3FIFO-0.3000-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.3000-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.3000-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.3000-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.0100-1.9000 cache size    15108, 120746519 req, miss ratio 0.3091, byte miss ratio 0.3091
cdn1_colo28.ns19 S3FIFO-0.0100-1.9000 cache size    45324, 120746519 req, miss ratio 0.2036, byte miss ratio 0.2036
cdn1_colo28.ns19 S3FIFO-0.0100-1.9000 cache size   151083, 120746519 req, miss ratio 0.1736, byte miss ratio 0.1736
cdn1_colo28.ns19 S3FIFO-0.0100-1.9000 cache size   453249, 120746519 req, miss ratio 0.1621, byte miss ratio 0.1621
cdn1_colo28.ns19 S3FIFO-0.0100-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1448, byte miss ratio 0.1448
cdn1_colo28.ns19 S3FIFO-0.0100-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1339, byte miss ratio 0.1339
cdn1_colo28.ns19 S3FIFO-0.0100-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1260, byte miss ratio 0.1260
cdn1_colo28.ns19 S3FIFO-0.0100-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.8500-0.9000 cache size    15108, 120746519 req, miss ratio 0.4088, byte miss ratio 0.4088
cdn1_colo28.ns19 S3FIFO-0.8500-0.9000 cache size    45324, 120746519 req, miss ratio 0.2181, byte miss ratio 0.2181
cdn1_colo28.ns19 S3FIFO-0.8500-0.9000 cache size   151083, 120746519 req, miss ratio 0.1272, byte miss ratio 0.1272
cdn1_colo28.ns19 S3FIFO-0.8500-0.9000 cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.8500-0.9000 cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.8500-0.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.8500-0.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.8500-0.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.1500-0.9000 cache size    15108, 120746519 req, miss ratio 0.3087, byte miss ratio 0.3087
cdn1_colo28.ns19 S3FIFO-0.1500-0.9000 cache size    45324, 120746519 req, miss ratio 0.1879, byte miss ratio 0.1879
cdn1_colo28.ns19 S3FIFO-0.1500-0.9000 cache size   151083, 120746519 req, miss ratio 0.1444, byte miss ratio 0.1444
cdn1_colo28.ns19 S3FIFO-0.1500-0.9000 cache size   453249, 120746519 req, miss ratio 0.1294, byte miss ratio 0.1294
cdn1_colo28.ns19 S3FIFO-0.1500-0.9000 cache size  1510831, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.1500-0.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.1500-0.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.1500-0.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.7500-1.9000 cache size    15108, 120746519 req, miss ratio 0.3891, byte miss ratio 0.3891
cdn1_colo28.ns19 S3FIFO-0.7500-1.9000 cache size    45324, 120746519 req, miss ratio 0.2064, byte miss ratio 0.2064
cdn1_colo28.ns19 S3FIFO-0.7500-1.9000 cache size   151083, 120746519 req, miss ratio 0.1271, byte miss ratio 0.1271
cdn1_colo28.ns19 S3FIFO-0.7500-1.9000 cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.7500-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.7500-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.7500-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.7500-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.6000-0.9000 cache size    15108, 120746519 req, miss ratio 0.3621, byte miss ratio 0.3621
cdn1_colo28.ns19 S3FIFO-0.6000-0.9000 cache size    45324, 120746519 req, miss ratio 0.1946, byte miss ratio 0.1946
cdn1_colo28.ns19 S3FIFO-0.6000-0.9000 cache size   151083, 120746519 req, miss ratio 0.1281, byte miss ratio 0.1281
cdn1_colo28.ns19 S3FIFO-0.6000-0.9000 cache size   453249, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.6000-0.9000 cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.6000-0.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
