atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size  1635798, 99119244 req, miss ratio 0.0497, byte miss ratio 0.0497
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size  3271596, 99119244 req, miss ratio 0.0422, byte miss ratio 0.0422
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.8000 cache size     4089, 99119244 req, miss ratio 0.4286, byte miss ratio 0.4286
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.8000 cache size    12268, 99119244 req, miss ratio 0.3420, byte miss ratio 0.3420
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.8000 cache size    40894, 99119244 req, miss ratio 0.2525, byte miss ratio 0.2525
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.8000 cache size   122684, 99119244 req, miss ratio 0.1739, byte miss ratio 0.1739
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.8000 cache size   408949, 99119244 req, miss ratio 0.1056, byte miss ratio 0.1056
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.8000 cache size   817899, 99119244 req, miss ratio 0.0759, byte miss ratio 0.0759
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.8000 cache size  1635798, 99119244 req, miss ratio 0.0547, byte miss ratio 0.0547
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.8000 cache size  3271596, 99119244 req, miss ratio 0.0426, byte miss ratio 0.0426
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.6000 cache size     4089, 99119244 req, miss ratio 0.4251, byte miss ratio 0.4251
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.6000 cache size    12268, 99119244 req, miss ratio 0.3242, byte miss ratio 0.3242
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.6000 cache size    40894, 99119244 req, miss ratio 0.2358, byte miss ratio 0.2358
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.6000 cache size   122684, 99119244 req, miss ratio 0.1696, byte miss ratio 0.1696
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.6000 cache size   408949, 99119244 req, miss ratio 0.0981, byte miss ratio 0.0981
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.6000 cache size   817899, 99119244 req, miss ratio 0.0708, byte miss ratio 0.0708
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.6000 cache size  1635798, 99119244 req, miss ratio 0.0504, byte miss ratio 0.0504
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.6000 cache size  3271596, 99119244 req, miss ratio 0.0422, byte miss ratio 0.0422
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.0000 cache size     4089, 99119244 req, miss ratio 0.4262, byte miss ratio 0.4262
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.0000 cache size    12268, 99119244 req, miss ratio 0.3361, byte miss ratio 0.3361
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.0000 cache size    40894, 99119244 req, miss ratio 0.2450, byte miss ratio 0.2450
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.0000 cache size   122684, 99119244 req, miss ratio 0.1688, byte miss ratio 0.1688
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.0000 cache size   408949, 99119244 req, miss ratio 0.1042, byte miss ratio 0.1042
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.0000 cache size   817899, 99119244 req, miss ratio 0.0745, byte miss ratio 0.0745
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.0000 cache size  1635798, 99119244 req, miss ratio 0.0536, byte miss ratio 0.0536
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.0000 cache size  3271596, 99119244 req, miss ratio 0.0424, byte miss ratio 0.0424
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size     4089, 99119244 req, miss ratio 0.4277, byte miss ratio 0.4277
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size    12268, 99119244 req, miss ratio 0.3440, byte miss ratio 0.3440
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size    40894, 99119244 req, miss ratio 0.2581, byte miss ratio 0.2581
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size   122684, 99119244 req, miss ratio 0.1802, byte miss ratio 0.1802
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size   408949, 99119244 req, miss ratio 0.1081, byte miss ratio 0.1081
