cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size     5564, 17143213 req, miss ratio 0.4549, byte miss ratio 0.4549
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size    16692, 17143213 req, miss ratio 0.4085, byte miss ratio 0.4085
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size    55641, 17143213 req, miss ratio 0.3675, byte miss ratio 0.3675
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size   166924, 17143213 req, miss ratio 0.3341, byte miss ratio 0.3341
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size   556413, 17143213 req, miss ratio 0.3247, byte miss ratio 0.3247
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size  1112827, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     5564, 17143213 req, miss ratio 0.4556, byte miss ratio 0.4556
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    16692, 17143213 req, miss ratio 0.4050, byte miss ratio 0.4050
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    55641, 17143213 req, miss ratio 0.3651, byte miss ratio 0.3651
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size   166924, 17143213 req, miss ratio 0.3368, byte miss ratio 0.3368
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size   556413, 17143213 req, miss ratio 0.3253, byte miss ratio 0.3253
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size  1112827, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size     5564, 17143213 req, miss ratio 0.4916, byte miss ratio 0.4916
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    16692, 17143213 req, miss ratio 0.4330, byte miss ratio 0.4330
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size    55641, 17143213 req, miss ratio 0.3747, byte miss ratio 0.3747
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   166924, 17143213 req, miss ratio 0.3469, byte miss ratio 0.3469
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size   556413, 17143213 req, miss ratio 0.3359, byte miss ratio 0.3359
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size  1112827, 17143213 req, miss ratio 0.3297, byte miss ratio 0.3297
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size     5564, 17143213 req, miss ratio 0.4543, byte miss ratio 0.4543
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size    16692, 17143213 req, miss ratio 0.4072, byte miss ratio 0.4072
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size    55641, 17143213 req, miss ratio 0.3671, byte miss ratio 0.3671
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size   166924, 17143213 req, miss ratio 0.3341, byte miss ratio 0.3341
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size   556413, 17143213 req, miss ratio 0.3247, byte miss ratio 0.3247
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size  1112827, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size     5564, 17143213 req, miss ratio 0.5138, byte miss ratio 0.5138
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size    16692, 17143213 req, miss ratio 0.4671, byte miss ratio 0.4671
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size    55641, 17143213 req, miss ratio 0.4048, byte miss ratio 0.4048
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size   166924, 17143213 req, miss ratio 0.3637, byte miss ratio 0.3637
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size   556413, 17143213 req, miss ratio 0.3430, byte miss ratio 0.3430
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size  1112827, 17143213 req, miss ratio 0.3353, byte miss ratio 0.3353
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size     5564, 17143213 req, miss ratio 0.4643, byte miss ratio 0.4643
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size    16692, 17143213 req, miss ratio 0.4147, byte miss ratio 0.4147
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size    55641, 17143213 req, miss ratio 0.3719, byte miss ratio 0.3719
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size   166924, 17143213 req, miss ratio 0.3354, byte miss ratio 0.3354
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size   556413, 17143213 req, miss ratio 0.3247, byte miss ratio 0.3247
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size  1112827, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
