w01.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size  1228040, 215796257 req, miss ratio 0.8344, byte miss ratio 0.8344
w01.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size  3684120, 215796257 req, miss ratio 0.8313, byte miss ratio 0.8313
w01.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size 12280401, 215796257 req, miss ratio 0.8140, byte miss ratio 0.8140
w01.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size 24560802, 215796257 req, miss ratio 0.7936, byte miss ratio 0.7936
w01.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size 49121605, 215796257 req, miss ratio 0.7555, byte miss ratio 0.7555
w01.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size 98243210, 215796257 req, miss ratio 0.7113, byte miss ratio 0.7113
w01.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   122804, 215796257 req, miss ratio 0.8435, byte miss ratio 0.8435
w01.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   368412, 215796257 req, miss ratio 0.8384, byte miss ratio 0.8384
w01.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size  1228040, 215796257 req, miss ratio 0.8346, byte miss ratio 0.8346
w01.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size  3684120, 215796257 req, miss ratio 0.8315, byte miss ratio 0.8315
w01.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size 12280401, 215796257 req, miss ratio 0.8286, byte miss ratio 0.8286
w01.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size 24560802, 215796257 req, miss ratio 0.8196, byte miss ratio 0.8196
w01.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size 49121605, 215796257 req, miss ratio 0.7698, byte miss ratio 0.7698
w01.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size 98243210, 215796257 req, miss ratio 0.6234, byte miss ratio 0.6234
w01.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size   122804, 215796257 req, miss ratio 0.8594, byte miss ratio 0.8594
w01.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size   368412, 215796257 req, miss ratio 0.8412, byte miss ratio 0.8412
w01.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size  1228040, 215796257 req, miss ratio 0.8354, byte miss ratio 0.8354
w01.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size  3684120, 215796257 req, miss ratio 0.8311, byte miss ratio 0.8311
w01.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size 12280401, 215796257 req, miss ratio 0.7963, byte miss ratio 0.7963
w01.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size 24560802, 215796257 req, miss ratio 0.7932, byte miss ratio 0.7932
w01.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size 49121605, 215796257 req, miss ratio 0.7555, byte miss ratio 0.7555
w01.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size 98243210, 215796257 req, miss ratio 0.7109, byte miss ratio 0.7109
w01.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size   122804, 215796257 req, miss ratio 0.8953, byte miss ratio 0.8953
w01.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size   368412, 215796257 req, miss ratio 0.8868, byte miss ratio 0.8868
w01.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size  1228040, 215796257 req, miss ratio 0.8678, byte miss ratio 0.8678
w01.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size  3684120, 215796257 req, miss ratio 0.8454, byte miss ratio 0.8454
w01.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size 12280401, 215796257 req, miss ratio 0.7953, byte miss ratio 0.7953
w01.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size 24560802, 215796257 req, miss ratio 0.7932, byte miss ratio 0.7932
w01.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size 49121605, 215796257 req, miss ratio 0.7555, byte miss ratio 0.7555
w01.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size 98243210, 215796257 req, miss ratio 0.7109, byte miss ratio 0.7109
w01.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size   122804, 215796257 req, miss ratio 0.8440, byte miss ratio 0.8440
w01.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size   368412, 215796257 req, miss ratio 0.8385, byte miss ratio 0.8385
w01.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size  1228040, 215796257 req, miss ratio 0.8341, byte miss ratio 0.8341
w01.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size  3684120, 215796257 req, miss ratio 0.8314, byte miss ratio 0.8314
w01.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size 12280401, 215796257 req, miss ratio 0.8257, byte miss ratio 0.8257
w01.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size 24560802, 215796257 req, miss ratio 0.8120, byte miss ratio 0.8120
w01.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size 49121605, 215796257 req, miss ratio 0.7581, byte miss ratio 0.7581
w01.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size 98243210, 215796257 req, miss ratio 0.7116, byte miss ratio 0.7116
w01.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size   122804, 215796257 req, miss ratio 0.8430, byte miss ratio 0.8430
w01.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size   368412, 215796257 req, miss ratio 0.8384, byte miss ratio 0.8384
w01.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size  1228040, 215796257 req, miss ratio 0.8344, byte miss ratio 0.8344
w01.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size  3684120, 215796257 req, miss ratio 0.8313, byte miss ratio 0.8313
w01.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size 12280401, 215796257 req, miss ratio 0.8282, byte miss ratio 0.8282
w01.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size 24560802, 215796257 req, miss ratio 0.8181, byte miss ratio 0.8181
w01.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size 49121605, 215796257 req, miss ratio 0.7659, byte miss ratio 0.7659
w01.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size 98243210, 215796257 req, miss ratio 0.6748, byte miss ratio 0.6748
w01.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size   122804, 215796257 req, miss ratio 0.8565, byte miss ratio 0.8565
w01.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size   368412, 215796257 req, miss ratio 0.8417, byte miss ratio 0.8417
w01.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size  1228040, 215796257 req, miss ratio 0.8360, byte miss ratio 0.8360
w01.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size  3684120, 215796257 req, miss ratio 0.8329, byte miss ratio 0.8329
w01.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size 12280401, 215796257 req, miss ratio 0.8298, byte miss ratio 0.8298
w01.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size 24560802, 215796257 req, miss ratio 0.8221, byte miss ratio 0.8221
w01.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size 49121605, 215796257 req, miss ratio 0.7684, byte miss ratio 0.7684
w01.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size 98243210, 215796257 req, miss ratio 0.5713, byte miss ratio 0.5713
w01.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size   122804, 215796257 req, miss ratio 0.8450, byte miss ratio 0.8450
w01.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size   368412, 215796257 req, miss ratio 0.8385, byte miss ratio 0.8385
w01.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size  1228040, 215796257 req, miss ratio 0.8341, byte miss ratio 0.8341
w01.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size  3684120, 215796257 req, miss ratio 0.8312, byte miss ratio 0.8312
