tencentBlock.ns9296 S3FIFO-0.8000-0.9000 cache size   539677, 4957575 req, miss ratio 0.1394, byte miss ratio 0.1394
tencentBlock.ns9296 S3FIFO-0.4000-1.9000 cache size      674, 4957575 req, miss ratio 0.4967, byte miss ratio 0.4967
tencentBlock.ns9296 S3FIFO-0.4000-1.9000 cache size     2023, 4957575 req, miss ratio 0.3655, byte miss ratio 0.3655
tencentBlock.ns9296 S3FIFO-0.4000-1.9000 cache size     6745, 4957575 req, miss ratio 0.3288, byte miss ratio 0.3288
tencentBlock.ns9296 S3FIFO-0.4000-1.9000 cache size    20237, 4957575 req, miss ratio 0.2909, byte miss ratio 0.2909
tencentBlock.ns9296 S3FIFO-0.4000-1.9000 cache size    67459, 4957575 req, miss ratio 0.2366, byte miss ratio 0.2366
tencentBlock.ns9296 S3FIFO-0.4000-1.9000 cache size   134919, 4957575 req, miss ratio 0.1881, byte miss ratio 0.1881
tencentBlock.ns9296 S3FIFO-0.4000-1.9000 cache size   269838, 4957575 req, miss ratio 0.1516, byte miss ratio 0.1516
tencentBlock.ns9296 S3FIFO-0.4000-1.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.3000-0.9000 cache size      674, 4957575 req, miss ratio 0.4925, byte miss ratio 0.4925
tencentBlock.ns9296 S3FIFO-0.3000-0.9000 cache size     2023, 4957575 req, miss ratio 0.3530, byte miss ratio 0.3530
tencentBlock.ns9296 S3FIFO-0.3000-0.9000 cache size     6745, 4957575 req, miss ratio 0.3281, byte miss ratio 0.3281
tencentBlock.ns9296 S3FIFO-0.3000-0.9000 cache size    20237, 4957575 req, miss ratio 0.2886, byte miss ratio 0.2886
tencentBlock.ns9296 S3FIFO-0.3000-0.9000 cache size    67459, 4957575 req, miss ratio 0.2377, byte miss ratio 0.2377
tencentBlock.ns9296 S3FIFO-0.3000-0.9000 cache size   134919, 4957575 req, miss ratio 0.1887, byte miss ratio 0.1887
tencentBlock.ns9296 S3FIFO-0.3000-0.9000 cache size   269838, 4957575 req, miss ratio 0.1510, byte miss ratio 0.1510
tencentBlock.ns9296 S3FIFO-0.3000-0.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.9000-0.9000 cache size      674, 4957575 req, miss ratio 0.5505, byte miss ratio 0.5505
tencentBlock.ns9296 S3FIFO-0.9000-0.9000 cache size     2023, 4957575 req, miss ratio 0.4407, byte miss ratio 0.4407
tencentBlock.ns9296 S3FIFO-0.9000-0.9000 cache size     6745, 4957575 req, miss ratio 0.3552, byte miss ratio 0.3552
tencentBlock.ns9296 S3FIFO-0.9000-0.9000 cache size    20237, 4957575 req, miss ratio 0.3027, byte miss ratio 0.3027
