cdn1_colo28.ns527 S3FIFO-0.2000-0.9000 cache size    59746, 1136325 req, miss ratio 0.2750, byte miss ratio 0.2750
cdn1_colo28.ns527 S3FIFO-0.2000-0.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.2000-0.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.3500-0.9000 cache size      298, 1136325 req, miss ratio 0.6007, byte miss ratio 0.6007
cdn1_colo28.ns527 S3FIFO-0.3500-0.9000 cache size      896, 1136325 req, miss ratio 0.5093, byte miss ratio 0.5093
cdn1_colo28.ns527 S3FIFO-0.3500-0.9000 cache size     2987, 1136325 req, miss ratio 0.4177, byte miss ratio 0.4177
cdn1_colo28.ns527 S3FIFO-0.3500-0.9000 cache size     8961, 1136325 req, miss ratio 0.3443, byte miss ratio 0.3443
cdn1_colo28.ns527 S3FIFO-0.3500-0.9000 cache size    29873, 1136325 req, miss ratio 0.2891, byte miss ratio 0.2891
cdn1_colo28.ns527 S3FIFO-0.3500-0.9000 cache size    59746, 1136325 req, miss ratio 0.2733, byte miss ratio 0.2733
cdn1_colo28.ns527 S3FIFO-0.3500-0.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.3500-0.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.9000-1.9000 cache size      298, 1136325 req, miss ratio 0.6722, byte miss ratio 0.6722
cdn1_colo28.ns527 S3FIFO-0.9000-1.9000 cache size      896, 1136325 req, miss ratio 0.5740, byte miss ratio 0.5740
cdn1_colo28.ns527 S3FIFO-0.9000-1.9000 cache size     2987, 1136325 req, miss ratio 0.4717, byte miss ratio 0.4717
cdn1_colo28.ns527 S3FIFO-0.9000-1.9000 cache size     8961, 1136325 req, miss ratio 0.3816, byte miss ratio 0.3816
cdn1_colo28.ns527 S3FIFO-0.9000-1.9000 cache size    29873, 1136325 req, miss ratio 0.3070, byte miss ratio 0.3070
cdn1_colo28.ns527 S3FIFO-0.9000-1.9000 cache size    59746, 1136325 req, miss ratio 0.2811, byte miss ratio 0.2811
cdn1_colo28.ns527 S3FIFO-0.9000-1.9000 cache size   119492, 1136325 req, miss ratio 0.2678, byte miss ratio 0.2678
cdn1_colo28.ns527 S3FIFO-0.9000-1.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.0100-1.9000 cache size      298, 1136325 req, miss ratio 0.6020, byte miss ratio 0.6020
cdn1_colo28.ns527 S3FIFO-0.0100-1.9000 cache size      896, 1136325 req, miss ratio 0.5120, byte miss ratio 0.5120
cdn1_colo28.ns527 S3FIFO-0.0100-1.9000 cache size     2987, 1136325 req, miss ratio 0.4193, byte miss ratio 0.4193
cdn1_colo28.ns527 S3FIFO-0.0100-1.9000 cache size     8961, 1136325 req, miss ratio 0.3527, byte miss ratio 0.3527
cdn1_colo28.ns527 S3FIFO-0.0100-1.9000 cache size    29873, 1136325 req, miss ratio 0.3056, byte miss ratio 0.3056
cdn1_colo28.ns527 S3FIFO-0.0100-1.9000 cache size    59746, 1136325 req, miss ratio 0.2831, byte miss ratio 0.2831
cdn1_colo28.ns527 S3FIFO-0.0100-1.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.0100-1.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.9900-0.9000 cache size      298, 1136325 req, miss ratio 0.6865, byte miss ratio 0.6865
cdn1_colo28.ns527 S3FIFO-0.9900-0.9000 cache size      896, 1136325 req, miss ratio 0.5923, byte miss ratio 0.5923
cdn1_colo28.ns527 S3FIFO-0.9900-0.9000 cache size     2987, 1136325 req, miss ratio 0.4886, byte miss ratio 0.4886
cdn1_colo28.ns527 S3FIFO-0.9900-0.9000 cache size     8961, 1136325 req, miss ratio 0.3959, byte miss ratio 0.3959
cdn1_colo28.ns527 S3FIFO-0.9900-0.9000 cache size    29873, 1136325 req, miss ratio 0.3181, byte miss ratio 0.3181
cdn1_colo28.ns527 S3FIFO-0.9900-0.9000 cache size    59746, 1136325 req, miss ratio 0.2897, byte miss ratio 0.2897
cdn1_colo28.ns527 S3FIFO-0.9900-0.9000 cache size   119492, 1136325 req, miss ratio 0.2731, byte miss ratio 0.2731
cdn1_colo28.ns527 S3FIFO-0.9900-0.9000 cache size   238984, 1136325 req, miss ratio 0.2648, byte miss ratio 0.2648
cdn1_colo28.ns527 S3FIFO-0.9500-1.9000 cache size      298, 1136325 req, miss ratio 0.6817, byte miss ratio 0.6817
cdn1_colo28.ns527 S3FIFO-0.9500-1.9000 cache size      896, 1136325 req, miss ratio 0.5856, byte miss ratio 0.5856
cdn1_colo28.ns527 S3FIFO-0.9500-1.9000 cache size     2987, 1136325 req, miss ratio 0.4812, byte miss ratio 0.4812
cdn1_colo28.ns527 S3FIFO-0.9500-1.9000 cache size     8961, 1136325 req, miss ratio 0.3892, byte miss ratio 0.3892
cdn1_colo28.ns527 S3FIFO-0.9500-1.9000 cache size    29873, 1136325 req, miss ratio 0.3127, byte miss ratio 0.3127
cdn1_colo28.ns527 S3FIFO-0.9500-1.9000 cache size    59746, 1136325 req, miss ratio 0.2853, byte miss ratio 0.2853
cdn1_colo28.ns527 S3FIFO-0.9500-1.9000 cache size   119492, 1136325 req, miss ratio 0.2700, byte miss ratio 0.2700
cdn1_colo28.ns527 S3FIFO-0.9500-1.9000 cache size   238984, 1136325 req, miss ratio 0.2634, byte miss ratio 0.2634
cdn1_colo28.ns527 S3FIFO-0.9900-1.9000 cache size      298, 1136325 req, miss ratio 0.6890, byte miss ratio 0.6890
cdn1_colo28.ns527 S3FIFO-0.9900-1.9000 cache size      896, 1136325 req, miss ratio 0.5943, byte miss ratio 0.5943
cdn1_colo28.ns527 S3FIFO-0.9900-1.9000 cache size     2987, 1136325 req, miss ratio 0.4900, byte miss ratio 0.4900
cdn1_colo28.ns527 S3FIFO-0.9900-1.9000 cache size     8961, 1136325 req, miss ratio 0.3966, byte miss ratio 0.3966
cdn1_colo28.ns527 S3FIFO-0.9900-1.9000 cache size    29873, 1136325 req, miss ratio 0.3185, byte miss ratio 0.3185
cdn1_colo28.ns527 S3FIFO-0.9900-1.9000 cache size    59746, 1136325 req, miss ratio 0.2898, byte miss ratio 0.2898
cdn1_colo28.ns527 S3FIFO-0.9900-1.9000 cache size   119492, 1136325 req, miss ratio 0.2731, byte miss ratio 0.2731
cdn1_colo28.ns527 S3FIFO-0.9900-1.9000 cache size   238984, 1136325 req, miss ratio 0.2648, byte miss ratio 0.2648
cdn1_colo28.ns527 S3FIFO-0.5500-1.9000 cache size      298, 1136325 req, miss ratio 0.6176, byte miss ratio 0.6176
cdn1_colo28.ns527 S3FIFO-0.5500-1.9000 cache size      896, 1136325 req, miss ratio 0.5246, byte miss ratio 0.5246
cdn1_colo28.ns527 S3FIFO-0.5500-1.9000 cache size     2987, 1136325 req, miss ratio 0.4309, byte miss ratio 0.4309
cdn1_colo28.ns527 S3FIFO-0.5500-1.9000 cache size     8961, 1136325 req, miss ratio 0.3508, byte miss ratio 0.3508
cdn1_colo28.ns527 S3FIFO-0.5500-1.9000 cache size    29873, 1136325 req, miss ratio 0.2896, byte miss ratio 0.2896
cdn1_colo28.ns527 S3FIFO-0.5500-1.9000 cache size    59746, 1136325 req, miss ratio 0.2724, byte miss ratio 0.2724
cdn1_colo28.ns527 S3FIFO-0.5500-1.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.5500-1.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.4500-1.9000 cache size      298, 1136325 req, miss ratio 0.6087, byte miss ratio 0.6087
cdn1_colo28.ns527 S3FIFO-0.4500-1.9000 cache size      896, 1136325 req, miss ratio 0.5164, byte miss ratio 0.5164
cdn1_colo28.ns527 S3FIFO-0.4500-1.9000 cache size     2987, 1136325 req, miss ratio 0.4242, byte miss ratio 0.4242
cdn1_colo28.ns527 S3FIFO-0.4500-1.9000 cache size     8961, 1136325 req, miss ratio 0.3468, byte miss ratio 0.3468
cdn1_colo28.ns527 S3FIFO-0.4500-1.9000 cache size    29873, 1136325 req, miss ratio 0.2884, byte miss ratio 0.2884
cdn1_colo28.ns527 S3FIFO-0.4500-1.9000 cache size    59746, 1136325 req, miss ratio 0.2725, byte miss ratio 0.2725
cdn1_colo28.ns527 S3FIFO-0.4500-1.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.4500-1.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.6500-1.9000 cache size      298, 1136325 req, miss ratio 0.6292, byte miss ratio 0.6292
cdn1_colo28.ns527 S3FIFO-0.6500-1.9000 cache size      896, 1136325 req, miss ratio 0.5352, byte miss ratio 0.5352
cdn1_colo28.ns527 S3FIFO-0.6500-1.9000 cache size     2987, 1136325 req, miss ratio 0.4393, byte miss ratio 0.4393
cdn1_colo28.ns527 S3FIFO-0.6500-1.9000 cache size     8961, 1136325 req, miss ratio 0.3566, byte miss ratio 0.3566
cdn1_colo28.ns527 S3FIFO-0.6500-1.9000 cache size    29873, 1136325 req, miss ratio 0.2920, byte miss ratio 0.2920
cdn1_colo28.ns527 S3FIFO-0.6500-1.9000 cache size    59746, 1136325 req, miss ratio 0.2730, byte miss ratio 0.2730
cdn1_colo28.ns527 S3FIFO-0.6500-1.9000 cache size   119492, 1136325 req, miss ratio 0.2654, byte miss ratio 0.2654
cdn1_colo28.ns527 S3FIFO-0.6500-1.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.3000-1.9000 cache size      298, 1136325 req, miss ratio 0.5985, byte miss ratio 0.5985
cdn1_colo28.ns527 S3FIFO-0.3000-1.9000 cache size      896, 1136325 req, miss ratio 0.5077, byte miss ratio 0.5077
cdn1_colo28.ns527 S3FIFO-0.3000-1.9000 cache size     2987, 1136325 req, miss ratio 0.4166, byte miss ratio 0.4166
cdn1_colo28.ns527 S3FIFO-0.3000-1.9000 cache size     8961, 1136325 req, miss ratio 0.3436, byte miss ratio 0.3436
cdn1_colo28.ns527 S3FIFO-0.3000-1.9000 cache size    29873, 1136325 req, miss ratio 0.2890, byte miss ratio 0.2890
cdn1_colo28.ns527 S3FIFO-0.3000-1.9000 cache size    59746, 1136325 req, miss ratio 0.2734, byte miss ratio 0.2734
cdn1_colo28.ns527 S3FIFO-0.3000-1.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.3000-1.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.9000-0.9000 cache size      298, 1136325 req, miss ratio 0.6690, byte miss ratio 0.6690
cdn1_colo28.ns527 S3FIFO-0.9000-0.9000 cache size      896, 1136325 req, miss ratio 0.5714, byte miss ratio 0.5714
cdn1_colo28.ns527 S3FIFO-0.9000-0.9000 cache size     2987, 1136325 req, miss ratio 0.4698, byte miss ratio 0.4698
cdn1_colo28.ns527 S3FIFO-0.9000-0.9000 cache size     8961, 1136325 req, miss ratio 0.3804, byte miss ratio 0.3804
cdn1_colo28.ns527 S3FIFO-0.9000-0.9000 cache size    29873, 1136325 req, miss ratio 0.3065, byte miss ratio 0.3065
cdn1_colo28.ns527 S3FIFO-0.9000-0.9000 cache size    59746, 1136325 req, miss ratio 0.2809, byte miss ratio 0.2809
cdn1_colo28.ns527 S3FIFO-0.9000-0.9000 cache size   119492, 1136325 req, miss ratio 0.2678, byte miss ratio 0.2678
cdn1_colo28.ns527 S3FIFO-0.9000-0.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.5000-1.9000 cache size      298, 1136325 req, miss ratio 0.6132, byte miss ratio 0.6132
cdn1_colo28.ns527 S3FIFO-0.5000-1.9000 cache size      896, 1136325 req, miss ratio 0.5203, byte miss ratio 0.5203
cdn1_colo28.ns527 S3FIFO-0.5000-1.9000 cache size     2987, 1136325 req, miss ratio 0.4273, byte miss ratio 0.4273
cdn1_colo28.ns527 S3FIFO-0.5000-1.9000 cache size     8961, 1136325 req, miss ratio 0.3486, byte miss ratio 0.3486
cdn1_colo28.ns527 S3FIFO-0.5000-1.9000 cache size    29873, 1136325 req, miss ratio 0.2888, byte miss ratio 0.2888
cdn1_colo28.ns527 S3FIFO-0.5000-1.9000 cache size    59746, 1136325 req, miss ratio 0.2724, byte miss ratio 0.2724
cdn1_colo28.ns527 S3FIFO-0.5000-1.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.5000-1.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.8500-0.9000 cache size      298, 1136325 req, miss ratio 0.6587, byte miss ratio 0.6587
cdn1_colo28.ns527 S3FIFO-0.8500-0.9000 cache size      896, 1136325 req, miss ratio 0.5615, byte miss ratio 0.5615
cdn1_colo28.ns527 S3FIFO-0.8500-0.9000 cache size     2987, 1136325 req, miss ratio 0.4612, byte miss ratio 0.4612
cdn1_colo28.ns527 S3FIFO-0.8500-0.9000 cache size     8961, 1136325 req, miss ratio 0.3738, byte miss ratio 0.3738
cdn1_colo28.ns527 S3FIFO-0.8500-0.9000 cache size    29873, 1136325 req, miss ratio 0.3018, byte miss ratio 0.3018
cdn1_colo28.ns527 S3FIFO-0.8500-0.9000 cache size    59746, 1136325 req, miss ratio 0.2782, byte miss ratio 0.2782
cdn1_colo28.ns527 S3FIFO-0.8500-0.9000 cache size   119492, 1136325 req, miss ratio 0.2667, byte miss ratio 0.2667
cdn1_colo28.ns527 S3FIFO-0.8500-0.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.0050-0.9000 cache size      298, 1136325 req, miss ratio 0.6055, byte miss ratio 0.6055
cdn1_colo28.ns527 S3FIFO-0.0050-0.9000 cache size      896, 1136325 req, miss ratio 0.5166, byte miss ratio 0.5166
cdn1_colo28.ns527 S3FIFO-0.0050-0.9000 cache size     2987, 1136325 req, miss ratio 0.4247, byte miss ratio 0.4247
cdn1_colo28.ns527 S3FIFO-0.0050-0.9000 cache size     8961, 1136325 req, miss ratio 0.3575, byte miss ratio 0.3575
cdn1_colo28.ns527 S3FIFO-0.0050-0.9000 cache size    29873, 1136325 req, miss ratio 0.3089, byte miss ratio 0.3089
cdn1_colo28.ns527 S3FIFO-0.0050-0.9000 cache size    59746, 1136325 req, miss ratio 0.2843, byte miss ratio 0.2843
cdn1_colo28.ns527 S3FIFO-0.0050-0.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.0050-0.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.1000-0.9000 cache size      298, 1136325 req, miss ratio 0.5954, byte miss ratio 0.5954
cdn1_colo28.ns527 S3FIFO-0.1000-0.9000 cache size      896, 1136325 req, miss ratio 0.5037, byte miss ratio 0.5037
cdn1_colo28.ns527 S3FIFO-0.1000-0.9000 cache size     2987, 1136325 req, miss ratio 0.4136, byte miss ratio 0.4136
cdn1_colo28.ns527 S3FIFO-0.1000-0.9000 cache size     8961, 1136325 req, miss ratio 0.3469, byte miss ratio 0.3469
cdn1_colo28.ns527 S3FIFO-0.1000-0.9000 cache size    29873, 1136325 req, miss ratio 0.2965, byte miss ratio 0.2965
cdn1_colo28.ns527 S3FIFO-0.1000-0.9000 cache size    59746, 1136325 req, miss ratio 0.2772, byte miss ratio 0.2772
cdn1_colo28.ns527 S3FIFO-0.1000-0.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.1000-0.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.5000-0.9000 cache size      298, 1136325 req, miss ratio 0.6113, byte miss ratio 0.6113
cdn1_colo28.ns527 S3FIFO-0.5000-0.9000 cache size      896, 1136325 req, miss ratio 0.5185, byte miss ratio 0.5185
cdn1_colo28.ns527 S3FIFO-0.5000-0.9000 cache size     2987, 1136325 req, miss ratio 0.4256, byte miss ratio 0.4256
cdn1_colo28.ns527 S3FIFO-0.5000-0.9000 cache size     8961, 1136325 req, miss ratio 0.3481, byte miss ratio 0.3481
cdn1_colo28.ns527 S3FIFO-0.5000-0.9000 cache size    29873, 1136325 req, miss ratio 0.2890, byte miss ratio 0.2890
cdn1_colo28.ns527 S3FIFO-0.5000-0.9000 cache size    59746, 1136325 req, miss ratio 0.2725, byte miss ratio 0.2725
cdn1_colo28.ns527 S3FIFO-0.5000-0.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.5000-0.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.9500-0.9000 cache size      298, 1136325 req, miss ratio 0.6790, byte miss ratio 0.6790
cdn1_colo28.ns527 S3FIFO-0.9500-0.9000 cache size      896, 1136325 req, miss ratio 0.5832, byte miss ratio 0.5832
cdn1_colo28.ns527 S3FIFO-0.9500-0.9000 cache size     2987, 1136325 req, miss ratio 0.4797, byte miss ratio 0.4797
cdn1_colo28.ns527 S3FIFO-0.9500-0.9000 cache size     8961, 1136325 req, miss ratio 0.3883, byte miss ratio 0.3883
cdn1_colo28.ns527 S3FIFO-0.9500-0.9000 cache size    29873, 1136325 req, miss ratio 0.3123, byte miss ratio 0.3123
cdn1_colo28.ns527 S3FIFO-0.9500-0.9000 cache size    59746, 1136325 req, miss ratio 0.2852, byte miss ratio 0.2852
