index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   309604, 235444220 req, miss ratio 0.0761, byte miss ratio 0.0761
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size  1032015, 235444220 req, miss ratio 0.0569, byte miss ratio 0.0569
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size  2064031, 235444220 req, miss ratio 0.0502, byte miss ratio 0.0502
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size  4128062, 235444220 req, miss ratio 0.0464, byte miss ratio 0.0464
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size  8256124, 235444220 req, miss ratio 0.0444, byte miss ratio 0.0444
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    10320, 235444220 req, miss ratio 0.2025, byte miss ratio 0.2025
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    30960, 235444220 req, miss ratio 0.1450, byte miss ratio 0.1450
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   103201, 235444220 req, miss ratio 0.0975, byte miss ratio 0.0975
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   309604, 235444220 req, miss ratio 0.0704, byte miss ratio 0.0704
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size  1032015, 235444220 req, miss ratio 0.0540, byte miss ratio 0.0540
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size  2064031, 235444220 req, miss ratio 0.0485, byte miss ratio 0.0485
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size  4128062, 235444220 req, miss ratio 0.0459, byte miss ratio 0.0459
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size  8256124, 235444220 req, miss ratio 0.0443, byte miss ratio 0.0443
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    10320, 235444220 req, miss ratio 0.2109, byte miss ratio 0.2109
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    30960, 235444220 req, miss ratio 0.1518, byte miss ratio 0.1518
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   103201, 235444220 req, miss ratio 0.1021, byte miss ratio 0.1021
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   309604, 235444220 req, miss ratio 0.0733, byte miss ratio 0.0733
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  1032015, 235444220 req, miss ratio 0.0554, byte miss ratio 0.0554
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  2064031, 235444220 req, miss ratio 0.0493, byte miss ratio 0.0493
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  4128062, 235444220 req, miss ratio 0.0461, byte miss ratio 0.0461
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  8256124, 235444220 req, miss ratio 0.0444, byte miss ratio 0.0444
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    10320, 235444220 req, miss ratio 0.2087, byte miss ratio 0.2087
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    30960, 235444220 req, miss ratio 0.1501, byte miss ratio 0.1501
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   103201, 235444220 req, miss ratio 0.1008, byte miss ratio 0.1008
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   309604, 235444220 req, miss ratio 0.0725, byte miss ratio 0.0725
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  1032015, 235444220 req, miss ratio 0.0550, byte miss ratio 0.0550
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  2064031, 235444220 req, miss ratio 0.0491, byte miss ratio 0.0491
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  4128062, 235444220 req, miss ratio 0.0460, byte miss ratio 0.0460
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  8256124, 235444220 req, miss ratio 0.0444, byte miss ratio 0.0444
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    10320, 235444220 req, miss ratio 0.2305, byte miss ratio 0.2305
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    30960, 235444220 req, miss ratio 0.1678, byte miss ratio 0.1678
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   103201, 235444220 req, miss ratio 0.1147, byte miss ratio 0.1147
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   309604, 235444220 req, miss ratio 0.0819, byte miss ratio 0.0819
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  1032015, 235444220 req, miss ratio 0.0603, byte miss ratio 0.0603
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  2064031, 235444220 req, miss ratio 0.0524, byte miss ratio 0.0524
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  4128062, 235444220 req, miss ratio 0.0477, byte miss ratio 0.0477
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  8256124, 235444220 req, miss ratio 0.0448, byte miss ratio 0.0448
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    10320, 235444220 req, miss ratio 0.2062, byte miss ratio 0.2062
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    30960, 235444220 req, miss ratio 0.1482, byte miss ratio 0.1482
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   103201, 235444220 req, miss ratio 0.0996, byte miss ratio 0.0996
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   309604, 235444220 req, miss ratio 0.0718, byte miss ratio 0.0718
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  1032015, 235444220 req, miss ratio 0.0547, byte miss ratio 0.0547
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  2064031, 235444220 req, miss ratio 0.0489, byte miss ratio 0.0489
