ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.3000 cache size   145633, 225290879 req, miss ratio 0.0676, byte miss ratio 0.0676
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.3000 cache size   291266, 225290879 req, miss ratio 0.0358, byte miss ratio 0.0358
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.3000 cache size   582533, 225290879 req, miss ratio 0.0061, byte miss ratio 0.0061
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.5000 cache size      728, 225290879 req, miss ratio 0.5613, byte miss ratio 0.5613
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.5000 cache size     2184, 225290879 req, miss ratio 0.4600, byte miss ratio 0.4600
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.5000 cache size     7281, 225290879 req, miss ratio 0.2442, byte miss ratio 0.2442
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.5000 cache size    21845, 225290879 req, miss ratio 0.1456, byte miss ratio 0.1456
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.5000 cache size    72816, 225290879 req, miss ratio 0.0744, byte miss ratio 0.0744
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.5000 cache size   145633, 225290879 req, miss ratio 0.0510, byte miss ratio 0.0510
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.5000 cache size   291266, 225290879 req, miss ratio 0.0329, byte miss ratio 0.0329
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.5000 cache size   582533, 225290879 req, miss ratio 0.0040, byte miss ratio 0.0040
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size      728, 225290879 req, miss ratio 0.5551, byte miss ratio 0.5551
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size     2184, 225290879 req, miss ratio 0.4254, byte miss ratio 0.4254
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size     7281, 225290879 req, miss ratio 0.2936, byte miss ratio 0.2936
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size    21845, 225290879 req, miss ratio 0.1789, byte miss ratio 0.1789
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size    72816, 225290879 req, miss ratio 0.0972, byte miss ratio 0.0972
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size   145633, 225290879 req, miss ratio 0.0676, byte miss ratio 0.0676
ntab_device_follow_tweet_hydration_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.0000 cache size   291266, 225290879 req, miss ratio 0.0358, byte miss ratio 0.0358
