cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size      377, 3138748 req, miss ratio 0.1241, byte miss ratio 0.1241
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size     1132, 3138748 req, miss ratio 0.1227, byte miss ratio 0.1227
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size     3773, 3138748 req, miss ratio 0.1218, byte miss ratio 0.1218
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size    11320, 3138748 req, miss ratio 0.1213, byte miss ratio 0.1213
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size    37735, 3138748 req, miss ratio 0.1208, byte miss ratio 0.1208
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size    75471, 3138748 req, miss ratio 0.1206, byte miss ratio 0.1206
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size      377, 3138748 req, miss ratio 0.1244, byte miss ratio 0.1244
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size     1132, 3138748 req, miss ratio 0.1221, byte miss ratio 0.1221
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size     3773, 3138748 req, miss ratio 0.1214, byte miss ratio 0.1214
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size    11320, 3138748 req, miss ratio 0.1209, byte miss ratio 0.1209
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size    37735, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size      377, 3138748 req, miss ratio 0.1244, byte miss ratio 0.1244
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     1132, 3138748 req, miss ratio 0.1222, byte miss ratio 0.1222
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     3773, 3138748 req, miss ratio 0.1214, byte miss ratio 0.1214
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size    11320, 3138748 req, miss ratio 0.1210, byte miss ratio 0.1210
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size    37735, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
