ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    52605, 311690077 req, miss ratio 0.1102, byte miss ratio 0.1102
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   175351, 311690077 req, miss ratio 0.0664, byte miss ratio 0.0664
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   350702, 311690077 req, miss ratio 0.0511, byte miss ratio 0.0511
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   701404, 311690077 req, miss ratio 0.0199, byte miss ratio 0.0199
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  1402808, 311690077 req, miss ratio 0.0066, byte miss ratio 0.0066
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     1753, 311690077 req, miss ratio 0.3091, byte miss ratio 0.3091
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     5260, 311690077 req, miss ratio 0.2388, byte miss ratio 0.2388
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    17535, 311690077 req, miss ratio 0.1616, byte miss ratio 0.1616
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    52605, 311690077 req, miss ratio 0.1032, byte miss ratio 0.1032
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   175351, 311690077 req, miss ratio 0.0625, byte miss ratio 0.0625
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   350702, 311690077 req, miss ratio 0.0479, byte miss ratio 0.0479
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   701404, 311690077 req, miss ratio 0.0168, byte miss ratio 0.0168
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  1402808, 311690077 req, miss ratio 0.0062, byte miss ratio 0.0062
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size     1753, 311690077 req, miss ratio 0.3062, byte miss ratio 0.3062
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size     5260, 311690077 req, miss ratio 0.2357, byte miss ratio 0.2357
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    17535, 311690077 req, miss ratio 0.1587, byte miss ratio 0.1587
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    52605, 311690077 req, miss ratio 0.1010, byte miss ratio 0.1010
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   175351, 311690077 req, miss ratio 0.0613, byte miss ratio 0.0613
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   350702, 311690077 req, miss ratio 0.0467, byte miss ratio 0.0467
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   701404, 311690077 req, miss ratio 0.0158, byte miss ratio 0.0158
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size  1402808, 311690077 req, miss ratio 0.0062, byte miss ratio 0.0062
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size     1753, 311690077 req, miss ratio 0.3031, byte miss ratio 0.3031
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size     5260, 311690077 req, miss ratio 0.2323, byte miss ratio 0.2323
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size    17535, 311690077 req, miss ratio 0.1555, byte miss ratio 0.1555
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size    52605, 311690077 req, miss ratio 0.0985, byte miss ratio 0.0985
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   175351, 311690077 req, miss ratio 0.0599, byte miss ratio 0.0599
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   350702, 311690077 req, miss ratio 0.0454, byte miss ratio 0.0454
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   701404, 311690077 req, miss ratio 0.0149, byte miss ratio 0.0149
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size  1402808, 311690077 req, miss ratio 0.0062, byte miss ratio 0.0062
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size     1753, 311690077 req, miss ratio 0.3269, byte miss ratio 0.3269
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size     5260, 311690077 req, miss ratio 0.2596, byte miss ratio 0.2596
