cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size     7631, 1187208 req, miss ratio 0.2360, byte miss ratio 0.2360
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    25436, 1187208 req, miss ratio 0.2222, byte miss ratio 0.2222
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    50873, 1187208 req, miss ratio 0.2159, byte miss ratio 0.2159
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   101746, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size      254, 1187208 req, miss ratio 0.2750, byte miss ratio 0.2750
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size      763, 1187208 req, miss ratio 0.2699, byte miss ratio 0.2699
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size     2543, 1187208 req, miss ratio 0.2569, byte miss ratio 0.2569
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size     7631, 1187208 req, miss ratio 0.2378, byte miss ratio 0.2378
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size    25436, 1187208 req, miss ratio 0.2202, byte miss ratio 0.2202
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size    50873, 1187208 req, miss ratio 0.2162, byte miss ratio 0.2162
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   101746, 1187208 req, miss ratio 0.2144, byte miss ratio 0.2144
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size      254, 1187208 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size      763, 1187208 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size     2543, 1187208 req, miss ratio 0.2812, byte miss ratio 0.2812
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size     7631, 1187208 req, miss ratio 0.2472, byte miss ratio 0.2472
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size    25436, 1187208 req, miss ratio 0.2315, byte miss ratio 0.2315
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size    50873, 1187208 req, miss ratio 0.2214, byte miss ratio 0.2214
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size   101746, 1187208 req, miss ratio 0.2157, byte miss ratio 0.2157
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size      254, 1187208 req, miss ratio 0.2755, byte miss ratio 0.2755
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size      763, 1187208 req, miss ratio 0.2691, byte miss ratio 0.2691
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size     2543, 1187208 req, miss ratio 0.2555, byte miss ratio 0.2555
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size     7631, 1187208 req, miss ratio 0.2359, byte miss ratio 0.2359
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size    25436, 1187208 req, miss ratio 0.2220, byte miss ratio 0.2220
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size    50873, 1187208 req, miss ratio 0.2156, byte miss ratio 0.2156
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   101746, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size      254, 1187208 req, miss ratio 0.2754, byte miss ratio 0.2754
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size      763, 1187208 req, miss ratio 0.2690, byte miss ratio 0.2690
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size     2543, 1187208 req, miss ratio 0.2568, byte miss ratio 0.2568
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size     7631, 1187208 req, miss ratio 0.2365, byte miss ratio 0.2365
