geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size     1297, 924495397 req, miss ratio 0.3532, byte miss ratio 0.3532
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size     3893, 924495397 req, miss ratio 0.2131, byte miss ratio 0.2131
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size    12977, 924495397 req, miss ratio 0.1228, byte miss ratio 0.1228
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size    38931, 924495397 req, miss ratio 0.0778, byte miss ratio 0.0778
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   129771, 924495397 req, miss ratio 0.0505, byte miss ratio 0.0505
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   259542, 924495397 req, miss ratio 0.0267, byte miss ratio 0.0267
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   519085, 924495397 req, miss ratio 0.0070, byte miss ratio 0.0070
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size  1038171, 924495397 req, miss ratio 0.0016, byte miss ratio 0.0016
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size     1297, 924495397 req, miss ratio 0.3594, byte miss ratio 0.3594
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size     3893, 924495397 req, miss ratio 0.2197, byte miss ratio 0.2197
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size    12977, 924495397 req, miss ratio 0.1336, byte miss ratio 0.1336
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size    38931, 924495397 req, miss ratio 0.0824, byte miss ratio 0.0824
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   129771, 924495397 req, miss ratio 0.0546, byte miss ratio 0.0546
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   259542, 924495397 req, miss ratio 0.0307, byte miss ratio 0.0307
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   519085, 924495397 req, miss ratio 0.0085, byte miss ratio 0.0085
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  1038171, 924495397 req, miss ratio 0.0017, byte miss ratio 0.0017
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size     1297, 924495397 req, miss ratio 0.3634, byte miss ratio 0.3634
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size     3893, 924495397 req, miss ratio 0.2195, byte miss ratio 0.2195
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    12977, 924495397 req, miss ratio 0.1254, byte miss ratio 0.1254
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    38931, 924495397 req, miss ratio 0.0783, byte miss ratio 0.0783
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   129771, 924495397 req, miss ratio 0.0505, byte miss ratio 0.0505
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   259542, 924495397 req, miss ratio 0.0269, byte miss ratio 0.0269
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   519085, 924495397 req, miss ratio 0.0071, byte miss ratio 0.0071
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  1038171, 924495397 req, miss ratio 0.0016, byte miss ratio 0.0016
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size     1297, 924495397 req, miss ratio 0.3495, byte miss ratio 0.3495
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size     3893, 924495397 req, miss ratio 0.2116, byte miss ratio 0.2116
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    12977, 924495397 req, miss ratio 0.1279, byte miss ratio 0.1279
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    38931, 924495397 req, miss ratio 0.0799, byte miss ratio 0.0799
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   129771, 924495397 req, miss ratio 0.0530, byte miss ratio 0.0530
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   259542, 924495397 req, miss ratio 0.0306, byte miss ratio 0.0306
