tencentBlock.ns2079 S3FIFO-0.1500-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.2500-1.9000 cache size    10055, 85128825 req, miss ratio 0.5849, byte miss ratio 0.5849
tencentBlock.ns2079 S3FIFO-0.2500-1.9000 cache size    30165, 85128825 req, miss ratio 0.4112, byte miss ratio 0.4112
tencentBlock.ns2079 S3FIFO-0.2500-1.9000 cache size   100550, 85128825 req, miss ratio 0.1938, byte miss ratio 0.1938
tencentBlock.ns2079 S3FIFO-0.2500-1.9000 cache size   301650, 85128825 req, miss ratio 0.1710, byte miss ratio 0.1710
tencentBlock.ns2079 S3FIFO-0.2500-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1522, byte miss ratio 0.1522
tencentBlock.ns2079 S3FIFO-0.2500-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1370, byte miss ratio 0.1370
tencentBlock.ns2079 S3FIFO-0.2500-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1244, byte miss ratio 0.1244
tencentBlock.ns2079 S3FIFO-0.2500-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.2000-0.9000 cache size    10055, 85128825 req, miss ratio 0.5683, byte miss ratio 0.5683
tencentBlock.ns2079 S3FIFO-0.2000-0.9000 cache size    30165, 85128825 req, miss ratio 0.4070, byte miss ratio 0.4070
tencentBlock.ns2079 S3FIFO-0.2000-0.9000 cache size   100550, 85128825 req, miss ratio 0.1924, byte miss ratio 0.1924
tencentBlock.ns2079 S3FIFO-0.2000-0.9000 cache size   301650, 85128825 req, miss ratio 0.1716, byte miss ratio 0.1716
tencentBlock.ns2079 S3FIFO-0.2000-0.9000 cache size  1005502, 85128825 req, miss ratio 0.1528, byte miss ratio 0.1528
tencentBlock.ns2079 S3FIFO-0.2000-0.9000 cache size  2011004, 85128825 req, miss ratio 0.1380, byte miss ratio 0.1380
tencentBlock.ns2079 S3FIFO-0.2000-0.9000 cache size  4022008, 85128825 req, miss ratio 0.1250, byte miss ratio 0.1250
tencentBlock.ns2079 S3FIFO-0.2000-0.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.5500-1.9000 cache size    10055, 85128825 req, miss ratio 0.6117, byte miss ratio 0.6117
tencentBlock.ns2079 S3FIFO-0.5500-1.9000 cache size    30165, 85128825 req, miss ratio 0.4443, byte miss ratio 0.4443
tencentBlock.ns2079 S3FIFO-0.5500-1.9000 cache size   100550, 85128825 req, miss ratio 0.2299, byte miss ratio 0.2299
tencentBlock.ns2079 S3FIFO-0.5500-1.9000 cache size   301650, 85128825 req, miss ratio 0.1715, byte miss ratio 0.1715
tencentBlock.ns2079 S3FIFO-0.5500-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1504, byte miss ratio 0.1504
tencentBlock.ns2079 S3FIFO-0.5500-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1339, byte miss ratio 0.1339
tencentBlock.ns2079 S3FIFO-0.5500-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1211, byte miss ratio 0.1211
tencentBlock.ns2079 S3FIFO-0.5500-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.0250-1.9000 cache size    10055, 85128825 req, miss ratio 0.5531, byte miss ratio 0.5531
tencentBlock.ns2079 S3FIFO-0.0250-1.9000 cache size    30165, 85128825 req, miss ratio 0.3896, byte miss ratio 0.3896
tencentBlock.ns2079 S3FIFO-0.0250-1.9000 cache size   100550, 85128825 req, miss ratio 0.1956, byte miss ratio 0.1956
tencentBlock.ns2079 S3FIFO-0.0250-1.9000 cache size   301650, 85128825 req, miss ratio 0.1763, byte miss ratio 0.1763
tencentBlock.ns2079 S3FIFO-0.0250-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1561, byte miss ratio 0.1561
tencentBlock.ns2079 S3FIFO-0.0250-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1419, byte miss ratio 0.1419
tencentBlock.ns2079 S3FIFO-0.0250-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1283, byte miss ratio 0.1283
tencentBlock.ns2079 S3FIFO-0.0250-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
