cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size      631, 4953252 req, miss ratio 0.0649, byte miss ratio 0.0649
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size     2105, 4953252 req, miss ratio 0.0127, byte miss ratio 0.0127
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size     4210, 4953252 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size     8420, 4953252 req, miss ratio 0.0057, byte miss ratio 0.0057
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size    16840, 4953252 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size       21, 4953252 req, miss ratio 0.5720, byte miss ratio 0.5720
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size       63, 4953252 req, miss ratio 0.5260, byte miss ratio 0.5260
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size      210, 4953252 req, miss ratio 0.2663, byte miss ratio 0.2663
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size      631, 4953252 req, miss ratio 0.0816, byte miss ratio 0.0816
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size     2105, 4953252 req, miss ratio 0.0168, byte miss ratio 0.0168
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size     4210, 4953252 req, miss ratio 0.0096, byte miss ratio 0.0096
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size     8420, 4953252 req, miss ratio 0.0062, byte miss ratio 0.0062
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size    16840, 4953252 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size       21, 4953252 req, miss ratio 0.5644, byte miss ratio 0.5644
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size       63, 4953252 req, miss ratio 0.5145, byte miss ratio 0.5145
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size      210, 4953252 req, miss ratio 0.2371, byte miss ratio 0.2371
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size      631, 4953252 req, miss ratio 0.0587, byte miss ratio 0.0587
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     2105, 4953252 req, miss ratio 0.0117, byte miss ratio 0.0117
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     4210, 4953252 req, miss ratio 0.0079, byte miss ratio 0.0079
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     8420, 4953252 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    16840, 4953252 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size       21, 4953252 req, miss ratio 0.5652, byte miss ratio 0.5652
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size       63, 4953252 req, miss ratio 0.5222, byte miss ratio 0.5222
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size      210, 4953252 req, miss ratio 0.2594, byte miss ratio 0.2594
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size      631, 4953252 req, miss ratio 0.0718, byte miss ratio 0.0718
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size     2105, 4953252 req, miss ratio 0.0140, byte miss ratio 0.0140
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size     4210, 4953252 req, miss ratio 0.0085, byte miss ratio 0.0085
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size     8420, 4953252 req, miss ratio 0.0059, byte miss ratio 0.0059
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size    16840, 4953252 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size       21, 4953252 req, miss ratio 0.5818, byte miss ratio 0.5818
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size       63, 4953252 req, miss ratio 0.5289, byte miss ratio 0.5289
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      210, 4953252 req, miss ratio 0.2743, byte miss ratio 0.2743
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      631, 4953252 req, miss ratio 0.0909, byte miss ratio 0.0909
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     2105, 4953252 req, miss ratio 0.0203, byte miss ratio 0.0203
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     4210, 4953252 req, miss ratio 0.0112, byte miss ratio 0.0112
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     8420, 4953252 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size    16840, 4953252 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size       21, 4953252 req, miss ratio 0.5702, byte miss ratio 0.5702
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size       63, 4953252 req, miss ratio 0.5252, byte miss ratio 0.5252
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size      210, 4953252 req, miss ratio 0.2652, byte miss ratio 0.2652
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size      631, 4953252 req, miss ratio 0.0795, byte miss ratio 0.0795
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     2105, 4953252 req, miss ratio 0.0161, byte miss ratio 0.0161
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     4210, 4953252 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     8420, 4953252 req, miss ratio 0.0061, byte miss ratio 0.0061
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size    16840, 4953252 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size       21, 4953252 req, miss ratio 0.5640, byte miss ratio 0.5640
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size       63, 4953252 req, miss ratio 0.5187, byte miss ratio 0.5187
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size      210, 4953252 req, miss ratio 0.2535, byte miss ratio 0.2535
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size      631, 4953252 req, miss ratio 0.0696, byte miss ratio 0.0696
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     2105, 4953252 req, miss ratio 0.0135, byte miss ratio 0.0135
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     4210, 4953252 req, miss ratio 0.0084, byte miss ratio 0.0084
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     8420, 4953252 req, miss ratio 0.0058, byte miss ratio 0.0058
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size    16840, 4953252 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size       21, 4953252 req, miss ratio 0.5644, byte miss ratio 0.5644
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size       63, 4953252 req, miss ratio 0.5081, byte miss ratio 0.5081
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size      210, 4953252 req, miss ratio 0.2305, byte miss ratio 0.2305
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size      631, 4953252 req, miss ratio 0.0580, byte miss ratio 0.0580
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size     2105, 4953252 req, miss ratio 0.0116, byte miss ratio 0.0116
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size     4210, 4953252 req, miss ratio 0.0079, byte miss ratio 0.0079
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size     8420, 4953252 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size    16840, 4953252 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size       21, 4953252 req, miss ratio 0.5673, byte miss ratio 0.5673
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size       63, 4953252 req, miss ratio 0.5236, byte miss ratio 0.5236
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size      210, 4953252 req, miss ratio 0.2630, byte miss ratio 0.2630
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size      631, 4953252 req, miss ratio 0.0755, byte miss ratio 0.0755
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size     2105, 4953252 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size     4210, 4953252 req, miss ratio 0.0088, byte miss ratio 0.0088
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size     8420, 4953252 req, miss ratio 0.0060, byte miss ratio 0.0060
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size    16840, 4953252 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size       21, 4953252 req, miss ratio 0.5727, byte miss ratio 0.5727
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size       63, 4953252 req, miss ratio 0.5095, byte miss ratio 0.5095
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size      210, 4953252 req, miss ratio 0.2274, byte miss ratio 0.2274
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size      631, 4953252 req, miss ratio 0.0545, byte miss ratio 0.0545
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     2105, 4953252 req, miss ratio 0.0113, byte miss ratio 0.0113
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     4210, 4953252 req, miss ratio 0.0078, byte miss ratio 0.0078
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     8420, 4953252 req, miss ratio 0.0055, byte miss ratio 0.0055
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size    16840, 4953252 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size       21, 4953252 req, miss ratio 0.5661, byte miss ratio 0.5661
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size       63, 4953252 req, miss ratio 0.5229, byte miss ratio 0.5229
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size      210, 4953252 req, miss ratio 0.2612, byte miss ratio 0.2612
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.5500-1.9000 cache size      631, 4953252 req, miss ratio 0.0736, byte miss ratio 0.0736
