cdn1_allcolo.ns3642 S3FIFO-0.4500-0.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.4500-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.4500-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.4500-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.0010-1.9000 cache size      371, 1620818 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3642 S3FIFO-0.0010-1.9000 cache size     1114, 1620818 req, miss ratio 0.2339, byte miss ratio 0.2339
cdn1_allcolo.ns3642 S3FIFO-0.0010-1.9000 cache size     3714, 1620818 req, miss ratio 0.2308, byte miss ratio 0.2308
cdn1_allcolo.ns3642 S3FIFO-0.0010-1.9000 cache size    11144, 1620818 req, miss ratio 0.2299, byte miss ratio 0.2299
cdn1_allcolo.ns3642 S3FIFO-0.0010-1.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.0010-1.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.0010-1.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.0010-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.8500-0.9000 cache size      371, 1620818 req, miss ratio 0.3351, byte miss ratio 0.3351
cdn1_allcolo.ns3642 S3FIFO-0.8500-0.9000 cache size     1114, 1620818 req, miss ratio 0.2730, byte miss ratio 0.2730
cdn1_allcolo.ns3642 S3FIFO-0.8500-0.9000 cache size     3714, 1620818 req, miss ratio 0.2373, byte miss ratio 0.2373
cdn1_allcolo.ns3642 S3FIFO-0.8500-0.9000 cache size    11144, 1620818 req, miss ratio 0.2307, byte miss ratio 0.2307
cdn1_allcolo.ns3642 S3FIFO-0.8500-0.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.8500-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.8500-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.8500-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.4500-1.9000 cache size      371, 1620818 req, miss ratio 0.2791, byte miss ratio 0.2791
cdn1_allcolo.ns3642 S3FIFO-0.4500-1.9000 cache size     1114, 1620818 req, miss ratio 0.2378, byte miss ratio 0.2378
cdn1_allcolo.ns3642 S3FIFO-0.4500-1.9000 cache size     3714, 1620818 req, miss ratio 0.2308, byte miss ratio 0.2308
cdn1_allcolo.ns3642 S3FIFO-0.4500-1.9000 cache size    11144, 1620818 req, miss ratio 0.2299, byte miss ratio 0.2299
cdn1_allcolo.ns3642 S3FIFO-0.4500-1.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.4500-1.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.4500-1.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.4500-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.4000-1.9000 cache size      371, 1620818 req, miss ratio 0.2750, byte miss ratio 0.2750
cdn1_allcolo.ns3642 S3FIFO-0.4000-1.9000 cache size     1114, 1620818 req, miss ratio 0.2364, byte miss ratio 0.2364
cdn1_allcolo.ns3642 S3FIFO-0.4000-1.9000 cache size     3714, 1620818 req, miss ratio 0.2308, byte miss ratio 0.2308
cdn1_allcolo.ns3642 S3FIFO-0.4000-1.9000 cache size    11144, 1620818 req, miss ratio 0.2299, byte miss ratio 0.2299
