cdn1_colo28.ns1094 S3FIFO-0.9500-0.9000 cache size     3921, 1165209 req, miss ratio 0.0599, byte miss ratio 0.0599
cdn1_colo28.ns1094 S3FIFO-0.9500-0.9000 cache size     7842, 1165209 req, miss ratio 0.0145, byte miss ratio 0.0145
cdn1_colo28.ns1094 S3FIFO-0.0250-1.9000 cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0250-1.9000 cache size       29, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0250-1.9000 cache size       98, 1165209 req, miss ratio 0.5531, byte miss ratio 0.5531
cdn1_colo28.ns1094 S3FIFO-0.0250-1.9000 cache size      294, 1165209 req, miss ratio 0.3679, byte miss ratio 0.3679
cdn1_colo28.ns1094 S3FIFO-0.0250-1.9000 cache size      980, 1165209 req, miss ratio 0.1736, byte miss ratio 0.1736
cdn1_colo28.ns1094 S3FIFO-0.0250-1.9000 cache size     1960, 1165209 req, miss ratio 0.0984, byte miss ratio 0.0984
cdn1_colo28.ns1094 S3FIFO-0.0250-1.9000 cache size     3921, 1165209 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1094 S3FIFO-0.0250-1.9000 cache size     7842, 1165209 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn1_colo28.ns1094 S3FIFO-0.1000-0.9000 cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.1000-0.9000 cache size       29, 1165209 req, miss ratio 0.6898, byte miss ratio 0.6898
cdn1_colo28.ns1094 S3FIFO-0.1000-0.9000 cache size       98, 1165209 req, miss ratio 0.5462, byte miss ratio 0.5462
cdn1_colo28.ns1094 S3FIFO-0.1000-0.9000 cache size      294, 1165209 req, miss ratio 0.3624, byte miss ratio 0.3624
cdn1_colo28.ns1094 S3FIFO-0.1000-0.9000 cache size      980, 1165209 req, miss ratio 0.1716, byte miss ratio 0.1716
cdn1_colo28.ns1094 S3FIFO-0.1000-0.9000 cache size     1960, 1165209 req, miss ratio 0.0987, byte miss ratio 0.0987
cdn1_colo28.ns1094 S3FIFO-0.1000-0.9000 cache size     3921, 1165209 req, miss ratio 0.0390, byte miss ratio 0.0390
cdn1_colo28.ns1094 S3FIFO-0.1000-0.9000 cache size     7842, 1165209 req, miss ratio 0.0096, byte miss ratio 0.0096
cdn1_colo28.ns1094 S3FIFO-0.4000-1.9000 cache size        9, 1165209 req, miss ratio 0.7883, byte miss ratio 0.7883
cdn1_colo28.ns1094 S3FIFO-0.4000-1.9000 cache size       29, 1165209 req, miss ratio 0.6924, byte miss ratio 0.6924
cdn1_colo28.ns1094 S3FIFO-0.4000-1.9000 cache size       98, 1165209 req, miss ratio 0.5635, byte miss ratio 0.5635
cdn1_colo28.ns1094 S3FIFO-0.4000-1.9000 cache size      294, 1165209 req, miss ratio 0.4023, byte miss ratio 0.4023
cdn1_colo28.ns1094 S3FIFO-0.4000-1.9000 cache size      980, 1165209 req, miss ratio 0.1961, byte miss ratio 0.1961
cdn1_colo28.ns1094 S3FIFO-0.4000-1.9000 cache size     1960, 1165209 req, miss ratio 0.1088, byte miss ratio 0.1088
cdn1_colo28.ns1094 S3FIFO-0.4000-1.9000 cache size     3921, 1165209 req, miss ratio 0.0446, byte miss ratio 0.0446
cdn1_colo28.ns1094 S3FIFO-0.4000-1.9000 cache size     7842, 1165209 req, miss ratio 0.0107, byte miss ratio 0.0107
cdn1_colo28.ns1094 S3FIFO-0.1500-1.9000 cache size        9, 1165209 req, miss ratio 0.7791, byte miss ratio 0.7791
cdn1_colo28.ns1094 S3FIFO-0.1500-1.9000 cache size       29, 1165209 req, miss ratio 0.6873, byte miss ratio 0.6873
cdn1_colo28.ns1094 S3FIFO-0.1500-1.9000 cache size       98, 1165209 req, miss ratio 0.5487, byte miss ratio 0.5487
cdn1_colo28.ns1094 S3FIFO-0.1500-1.9000 cache size      294, 1165209 req, miss ratio 0.3753, byte miss ratio 0.3753
cdn1_colo28.ns1094 S3FIFO-0.1500-1.9000 cache size      980, 1165209 req, miss ratio 0.1799, byte miss ratio 0.1799
cdn1_colo28.ns1094 S3FIFO-0.1500-1.9000 cache size     1960, 1165209 req, miss ratio 0.1010, byte miss ratio 0.1010
cdn1_colo28.ns1094 S3FIFO-0.1500-1.9000 cache size     3921, 1165209 req, miss ratio 0.0399, byte miss ratio 0.0399
cdn1_colo28.ns1094 S3FIFO-0.1500-1.9000 cache size     7842, 1165209 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_colo28.ns1094 S3FIFO-0.3500-0.9000 cache size        9, 1165209 req, miss ratio 0.7860, byte miss ratio 0.7860
cdn1_colo28.ns1094 S3FIFO-0.3500-0.9000 cache size       29, 1165209 req, miss ratio 0.6899, byte miss ratio 0.6899
cdn1_colo28.ns1094 S3FIFO-0.3500-0.9000 cache size       98, 1165209 req, miss ratio 0.5550, byte miss ratio 0.5550
cdn1_colo28.ns1094 S3FIFO-0.3500-0.9000 cache size      294, 1165209 req, miss ratio 0.3894, byte miss ratio 0.3894
cdn1_colo28.ns1094 S3FIFO-0.3500-0.9000 cache size      980, 1165209 req, miss ratio 0.1900, byte miss ratio 0.1900
cdn1_colo28.ns1094 S3FIFO-0.3500-0.9000 cache size     1960, 1165209 req, miss ratio 0.1070, byte miss ratio 0.1070
cdn1_colo28.ns1094 S3FIFO-0.3500-0.9000 cache size     3921, 1165209 req, miss ratio 0.0437, byte miss ratio 0.0437
cdn1_colo28.ns1094 S3FIFO-0.3500-0.9000 cache size     7842, 1165209 req, miss ratio 0.0104, byte miss ratio 0.0104
cdn1_colo28.ns1094 S3FIFO-0.7000-1.9000 cache size        9, 1165209 req, miss ratio 0.8124, byte miss ratio 0.8124
