web_2.IQI.bin S3FIFO-0.1000-1.9000 cache size   132127, 5175368 req, miss ratio 0.9923, byte miss ratio 0.9923
web_2.IQI.bin S3FIFO-0.1000-1.9000 cache size   264254, 5175368 req, miss ratio 0.9740, byte miss ratio 0.9740
web_2.IQI.bin S3FIFO-0.1000-1.9000 cache size   528508, 5175368 req, miss ratio 0.7386, byte miss ratio 0.7386
web_2.IQI.bin S3FIFO-0.1000-1.9000 cache size  1057016, 5175368 req, miss ratio 0.4185, byte miss ratio 0.4185
web_2.IQI.bin S3FIFO-0.9500-0.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.9500-0.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.9500-0.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.9500-0.9000 cache size    39638, 5175368 req, miss ratio 0.9945, byte miss ratio 0.9945
web_2.IQI.bin S3FIFO-0.9500-0.9000 cache size   132127, 5175368 req, miss ratio 0.9891, byte miss ratio 0.9891
web_2.IQI.bin S3FIFO-0.9500-0.9000 cache size   264254, 5175368 req, miss ratio 0.9369, byte miss ratio 0.9369
web_2.IQI.bin S3FIFO-0.9500-0.9000 cache size   528508, 5175368 req, miss ratio 0.7842, byte miss ratio 0.7842
web_2.IQI.bin S3FIFO-0.9500-0.9000 cache size  1057016, 5175368 req, miss ratio 0.4129, byte miss ratio 0.4129
web_2.IQI.bin S3FIFO-0.5500-1.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.5500-1.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.5500-1.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.5500-1.9000 cache size    39638, 5175368 req, miss ratio 0.9817, byte miss ratio 0.9817
web_2.IQI.bin S3FIFO-0.5500-1.9000 cache size   132127, 5175368 req, miss ratio 0.9700, byte miss ratio 0.9700
web_2.IQI.bin S3FIFO-0.5500-1.9000 cache size   264254, 5175368 req, miss ratio 0.8835, byte miss ratio 0.8835
web_2.IQI.bin S3FIFO-0.5500-1.9000 cache size   528508, 5175368 req, miss ratio 0.7901, byte miss ratio 0.7901
web_2.IQI.bin S3FIFO-0.5500-1.9000 cache size  1057016, 5175368 req, miss ratio 0.4605, byte miss ratio 0.4605
web_2.IQI.bin S3FIFO-0.5500-0.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.5500-0.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.5500-0.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.5500-0.9000 cache size    39638, 5175368 req, miss ratio 0.9818, byte miss ratio 0.9818
web_2.IQI.bin S3FIFO-0.5500-0.9000 cache size   132127, 5175368 req, miss ratio 0.9785, byte miss ratio 0.9785
web_2.IQI.bin S3FIFO-0.5500-0.9000 cache size   264254, 5175368 req, miss ratio 0.9466, byte miss ratio 0.9466
web_2.IQI.bin S3FIFO-0.5500-0.9000 cache size   528508, 5175368 req, miss ratio 0.8070, byte miss ratio 0.8070
web_2.IQI.bin S3FIFO-0.5500-0.9000 cache size  1057016, 5175368 req, miss ratio 0.4605, byte miss ratio 0.4605
web_2.IQI.bin S3FIFO-0.0010-0.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0010-0.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0010-0.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0010-0.9000 cache size    39638, 5175368 req, miss ratio 0.9818, byte miss ratio 0.9818
web_2.IQI.bin S3FIFO-0.0010-0.9000 cache size   132127, 5175368 req, miss ratio 0.9785, byte miss ratio 0.9785
web_2.IQI.bin S3FIFO-0.0010-0.9000 cache size   264254, 5175368 req, miss ratio 0.9918, byte miss ratio 0.9918
web_2.IQI.bin S3FIFO-0.0010-0.9000 cache size   528508, 5175368 req, miss ratio 0.6350, byte miss ratio 0.6350
web_2.IQI.bin S3FIFO-0.0010-0.9000 cache size  1057016, 5175368 req, miss ratio 0.4185, byte miss ratio 0.4185
