src1_1.IQI.bin S3FIFO-0.8500-1.9000 cache size    18511, 45746222 req, miss ratio 0.9525, byte miss ratio 0.9525
src1_1.IQI.bin S3FIFO-0.8500-1.9000 cache size    61705, 45746222 req, miss ratio 0.9229, byte miss ratio 0.9229
src1_1.IQI.bin S3FIFO-0.8500-1.9000 cache size   185117, 45746222 req, miss ratio 0.8859, byte miss ratio 0.8859
src1_1.IQI.bin S3FIFO-0.8500-1.9000 cache size   617059, 45746222 req, miss ratio 0.8118, byte miss ratio 0.8118
src1_1.IQI.bin S3FIFO-0.8500-1.9000 cache size  1234118, 45746222 req, miss ratio 0.7767, byte miss ratio 0.7767
src1_1.IQI.bin S3FIFO-0.8500-1.9000 cache size  2468236, 45746222 req, miss ratio 0.6537, byte miss ratio 0.6537
src1_1.IQI.bin S3FIFO-0.8500-1.9000 cache size  4936472, 45746222 req, miss ratio 0.3393, byte miss ratio 0.3393
src1_1.IQI.bin S3FIFO-0.5000-1.9000 cache size     6170, 45746222 req, miss ratio 0.9740, byte miss ratio 0.9740
src1_1.IQI.bin S3FIFO-0.5000-1.9000 cache size    18511, 45746222 req, miss ratio 0.9582, byte miss ratio 0.9582
src1_1.IQI.bin S3FIFO-0.5000-1.9000 cache size    61705, 45746222 req, miss ratio 0.9236, byte miss ratio 0.9236
src1_1.IQI.bin S3FIFO-0.5000-1.9000 cache size   185117, 45746222 req, miss ratio 0.8901, byte miss ratio 0.8901
src1_1.IQI.bin S3FIFO-0.5000-1.9000 cache size   617059, 45746222 req, miss ratio 0.8379, byte miss ratio 0.8379
src1_1.IQI.bin S3FIFO-0.5000-1.9000 cache size  1234118, 45746222 req, miss ratio 0.7719, byte miss ratio 0.7719
src1_1.IQI.bin S3FIFO-0.5000-1.9000 cache size  2468236, 45746222 req, miss ratio 0.7079, byte miss ratio 0.7079
src1_1.IQI.bin S3FIFO-0.5000-1.9000 cache size  4936472, 45746222 req, miss ratio 0.3444, byte miss ratio 0.3444
src1_1.IQI.bin S3FIFO-0.6000-0.9000 cache size     6170, 45746222 req, miss ratio 0.9733, byte miss ratio 0.9733
src1_1.IQI.bin S3FIFO-0.6000-0.9000 cache size    18511, 45746222 req, miss ratio 0.9566, byte miss ratio 0.9566
src1_1.IQI.bin S3FIFO-0.6000-0.9000 cache size    61705, 45746222 req, miss ratio 0.9240, byte miss ratio 0.9240
src1_1.IQI.bin S3FIFO-0.6000-0.9000 cache size   185117, 45746222 req, miss ratio 0.8930, byte miss ratio 0.8930
src1_1.IQI.bin S3FIFO-0.6000-0.9000 cache size   617059, 45746222 req, miss ratio 0.8258, byte miss ratio 0.8258
src1_1.IQI.bin S3FIFO-0.6000-0.9000 cache size  1234118, 45746222 req, miss ratio 0.7740, byte miss ratio 0.7740
src1_1.IQI.bin S3FIFO-0.6000-0.9000 cache size  2468236, 45746222 req, miss ratio 0.6868, byte miss ratio 0.6868
src1_1.IQI.bin S3FIFO-0.6000-0.9000 cache size  4936472, 45746222 req, miss ratio 0.3431, byte miss ratio 0.3431
src1_1.IQI.bin S3FIFO-0.8000-0.9000 cache size     6170, 45746222 req, miss ratio 0.9717, byte miss ratio 0.9717
src1_1.IQI.bin S3FIFO-0.8000-0.9000 cache size    18511, 45746222 req, miss ratio 0.9540, byte miss ratio 0.9540
src1_1.IQI.bin S3FIFO-0.8000-0.9000 cache size    61705, 45746222 req, miss ratio 0.9234, byte miss ratio 0.9234
src1_1.IQI.bin S3FIFO-0.8000-0.9000 cache size   185117, 45746222 req, miss ratio 0.8887, byte miss ratio 0.8887
src1_1.IQI.bin S3FIFO-0.8000-0.9000 cache size   617059, 45746222 req, miss ratio 0.8129, byte miss ratio 0.8129
src1_1.IQI.bin S3FIFO-0.8000-0.9000 cache size  1234118, 45746222 req, miss ratio 0.7775, byte miss ratio 0.7775
src1_1.IQI.bin S3FIFO-0.8000-0.9000 cache size  2468236, 45746222 req, miss ratio 0.7024, byte miss ratio 0.7024
src1_1.IQI.bin S3FIFO-0.8000-0.9000 cache size  4936472, 45746222 req, miss ratio 0.3419, byte miss ratio 0.3419
src1_1.IQI.bin S3FIFO-0.0050-0.9000 cache size     6170, 45746222 req, miss ratio 0.9885, byte miss ratio 0.9885
src1_1.IQI.bin S3FIFO-0.0050-0.9000 cache size    18511, 45746222 req, miss ratio 0.9751, byte miss ratio 0.9751
src1_1.IQI.bin S3FIFO-0.0050-0.9000 cache size    61705, 45746222 req, miss ratio 0.9570, byte miss ratio 0.9570
src1_1.IQI.bin S3FIFO-0.0050-0.9000 cache size   185117, 45746222 req, miss ratio 0.9325, byte miss ratio 0.9325
src1_1.IQI.bin S3FIFO-0.0050-0.9000 cache size   617059, 45746222 req, miss ratio 0.8679, byte miss ratio 0.8679
src1_1.IQI.bin S3FIFO-0.0050-0.9000 cache size  1234118, 45746222 req, miss ratio 0.6553, byte miss ratio 0.6553
src1_1.IQI.bin S3FIFO-0.0050-0.9000 cache size  2468236, 45746222 req, miss ratio 0.5929, byte miss ratio 0.5929
src1_1.IQI.bin S3FIFO-0.0050-0.9000 cache size  4936472, 45746222 req, miss ratio 0.2429, byte miss ratio 0.2429
src1_1.IQI.bin S3FIFO-0.2500-0.9000 cache size     6170, 45746222 req, miss ratio 0.9775, byte miss ratio 0.9775
src1_1.IQI.bin S3FIFO-0.2500-0.9000 cache size    18511, 45746222 req, miss ratio 0.9624, byte miss ratio 0.9624
src1_1.IQI.bin S3FIFO-0.2500-0.9000 cache size    61705, 45746222 req, miss ratio 0.9313, byte miss ratio 0.9313
src1_1.IQI.bin S3FIFO-0.2500-0.9000 cache size   185117, 45746222 req, miss ratio 0.9018, byte miss ratio 0.9018
src1_1.IQI.bin S3FIFO-0.2500-0.9000 cache size   617059, 45746222 req, miss ratio 0.8413, byte miss ratio 0.8413
src1_1.IQI.bin S3FIFO-0.2500-0.9000 cache size  1234118, 45746222 req, miss ratio 0.7072, byte miss ratio 0.7072
src1_1.IQI.bin S3FIFO-0.2500-0.9000 cache size  2468236, 45746222 req, miss ratio 0.5929, byte miss ratio 0.5929
src1_1.IQI.bin S3FIFO-0.2500-0.9000 cache size  4936472, 45746222 req, miss ratio 0.3208, byte miss ratio 0.3208
src1_1.IQI.bin S3FIFO-0.9000-1.9000 cache size     6170, 45746222 req, miss ratio 0.9704, byte miss ratio 0.9704
src1_1.IQI.bin S3FIFO-0.9000-1.9000 cache size    18511, 45746222 req, miss ratio 0.9519, byte miss ratio 0.9519
src1_1.IQI.bin S3FIFO-0.9000-1.9000 cache size    61705, 45746222 req, miss ratio 0.9235, byte miss ratio 0.9235
src1_1.IQI.bin S3FIFO-0.9000-1.9000 cache size   185117, 45746222 req, miss ratio 0.8875, byte miss ratio 0.8875
src1_1.IQI.bin S3FIFO-0.9000-1.9000 cache size   617059, 45746222 req, miss ratio 0.8115, byte miss ratio 0.8115
src1_1.IQI.bin S3FIFO-0.9000-1.9000 cache size  1234118, 45746222 req, miss ratio 0.7759, byte miss ratio 0.7759
src1_1.IQI.bin S3FIFO-0.9000-1.9000 cache size  2468236, 45746222 req, miss ratio 0.6477, byte miss ratio 0.6477
src1_1.IQI.bin S3FIFO-0.9000-1.9000 cache size  4936472, 45746222 req, miss ratio 0.3593, byte miss ratio 0.3593
src1_1.IQI.bin S3FIFO-0.3000-0.9000 cache size     6170, 45746222 req, miss ratio 0.9768, byte miss ratio 0.9768
src1_1.IQI.bin S3FIFO-0.3000-0.9000 cache size    18511, 45746222 req, miss ratio 0.9615, byte miss ratio 0.9615
src1_1.IQI.bin S3FIFO-0.3000-0.9000 cache size    61705, 45746222 req, miss ratio 0.9291, byte miss ratio 0.9291
src1_1.IQI.bin S3FIFO-0.3000-0.9000 cache size   185117, 45746222 req, miss ratio 0.9008, byte miss ratio 0.9008
src1_1.IQI.bin S3FIFO-0.3000-0.9000 cache size   617059, 45746222 req, miss ratio 0.8448, byte miss ratio 0.8448
src1_1.IQI.bin S3FIFO-0.3000-0.9000 cache size  1234118, 45746222 req, miss ratio 0.7360, byte miss ratio 0.7360
src1_1.IQI.bin S3FIFO-0.3000-0.9000 cache size  2468236, 45746222 req, miss ratio 0.5929, byte miss ratio 0.5929
src1_1.IQI.bin S3FIFO-0.3000-0.9000 cache size  4936472, 45746222 req, miss ratio 0.3280, byte miss ratio 0.3280
src1_1.IQI.bin S3FIFO-0.0010-1.9000 cache size     6170, 45746222 req, miss ratio 0.9888, byte miss ratio 0.9888
src1_1.IQI.bin S3FIFO-0.0010-1.9000 cache size    18511, 45746222 req, miss ratio 0.9779, byte miss ratio 0.9779
src1_1.IQI.bin S3FIFO-0.0010-1.9000 cache size    61705, 45746222 req, miss ratio 0.9597, byte miss ratio 0.9597
src1_1.IQI.bin S3FIFO-0.0010-1.9000 cache size   185117, 45746222 req, miss ratio 0.9380, byte miss ratio 0.9380
src1_1.IQI.bin S3FIFO-0.0010-1.9000 cache size   617059, 45746222 req, miss ratio 0.8820, byte miss ratio 0.8820
src1_1.IQI.bin S3FIFO-0.0010-1.9000 cache size  1234118, 45746222 req, miss ratio 0.6627, byte miss ratio 0.6627
src1_1.IQI.bin S3FIFO-0.0010-1.9000 cache size  2468236, 45746222 req, miss ratio 0.6373, byte miss ratio 0.6373
src1_1.IQI.bin S3FIFO-0.0010-1.9000 cache size  4936472, 45746222 req, miss ratio 0.2426, byte miss ratio 0.2426
src1_1.IQI.bin S3FIFO-0.0250-0.9000 cache size     6170, 45746222 req, miss ratio 0.9853, byte miss ratio 0.9853
src1_1.IQI.bin S3FIFO-0.0250-0.9000 cache size    18511, 45746222 req, miss ratio 0.9707, byte miss ratio 0.9707
src1_1.IQI.bin S3FIFO-0.0250-0.9000 cache size    61705, 45746222 req, miss ratio 0.9513, byte miss ratio 0.9513
src1_1.IQI.bin S3FIFO-0.0250-0.9000 cache size   185117, 45746222 req, miss ratio 0.9237, byte miss ratio 0.9237
src1_1.IQI.bin S3FIFO-0.0250-0.9000 cache size   617059, 45746222 req, miss ratio 0.8526, byte miss ratio 0.8526
src1_1.IQI.bin S3FIFO-0.0250-0.9000 cache size  1234118, 45746222 req, miss ratio 0.6530, byte miss ratio 0.6530
src1_1.IQI.bin S3FIFO-0.0250-0.9000 cache size  2468236, 45746222 req, miss ratio 0.5929, byte miss ratio 0.5929
src1_1.IQI.bin S3FIFO-0.0250-0.9000 cache size  4936472, 45746222 req, miss ratio 0.2470, byte miss ratio 0.2470
