pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size  4843033, 643114944 req, miss ratio 0.0417, byte miss ratio 0.0417
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size  9686067, 643114944 req, miss ratio 0.0393, byte miss ratio 0.0393
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size 19372135, 643114944 req, miss ratio 0.0378, byte miss ratio 0.0378
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.0000 cache size    24215, 643114944 req, miss ratio 0.2476, byte miss ratio 0.2476
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.0000 cache size    72645, 643114944 req, miss ratio 0.1747, byte miss ratio 0.1747
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.0000 cache size   242151, 643114944 req, miss ratio 0.1179, byte miss ratio 0.1179
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.0000 cache size   726455, 643114944 req, miss ratio 0.0807, byte miss ratio 0.0807
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.0000 cache size  2421516, 643114944 req, miss ratio 0.0567, byte miss ratio 0.0567
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.0000 cache size  4843033, 643114944 req, miss ratio 0.0479, byte miss ratio 0.0479
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.0000 cache size  9686067, 643114944 req, miss ratio 0.0423, byte miss ratio 0.0423
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.0000 cache size 19372135, 643114944 req, miss ratio 0.0388, byte miss ratio 0.0388
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.6000 cache size    24215, 643114944 req, miss ratio 0.2433, byte miss ratio 0.2433
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.6000 cache size    72645, 643114944 req, miss ratio 0.1707, byte miss ratio 0.1707
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.6000 cache size   242151, 643114944 req, miss ratio 0.1138, byte miss ratio 0.1138
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.6000 cache size   726455, 643114944 req, miss ratio 0.0775, byte miss ratio 0.0775
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.6000 cache size  2421516, 643114944 req, miss ratio 0.0544, byte miss ratio 0.0544
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.6000 cache size  4843033, 643114944 req, miss ratio 0.0464, byte miss ratio 0.0464
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.6000 cache size  9686067, 643114944 req, miss ratio 0.0413, byte miss ratio 0.0413
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.6000 cache size 19372135, 643114944 req, miss ratio 0.0384, byte miss ratio 0.0384
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    24215, 643114944 req, miss ratio 0.2405, byte miss ratio 0.2405
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    72645, 643114944 req, miss ratio 0.1684, byte miss ratio 0.1684
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   242151, 643114944 req, miss ratio 0.1119, byte miss ratio 0.1119
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   726455, 643114944 req, miss ratio 0.0761, byte miss ratio 0.0761
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  2421516, 643114944 req, miss ratio 0.0535, byte miss ratio 0.0535
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  4843033, 643114944 req, miss ratio 0.0458, byte miss ratio 0.0458
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  9686067, 643114944 req, miss ratio 0.0409, byte miss ratio 0.0409
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 19372135, 643114944 req, miss ratio 0.0383, byte miss ratio 0.0383
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.8000 cache size    24215, 643114944 req, miss ratio 0.2213, byte miss ratio 0.2213
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.8000 cache size    72645, 643114944 req, miss ratio 0.1520, byte miss ratio 0.1520
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.8000 cache size   242151, 643114944 req, miss ratio 0.1007, byte miss ratio 0.1007
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.8000 cache size   726455, 643114944 req, miss ratio 0.0675, byte miss ratio 0.0675
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.8000 cache size  2421516, 643114944 req, miss ratio 0.0492, byte miss ratio 0.0492
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.8000 cache size  4843033, 643114944 req, miss ratio 0.0429, byte miss ratio 0.0429
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.8000 cache size  9686067, 643114944 req, miss ratio 0.0397, byte miss ratio 0.0397
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.8000 cache size 19372135, 643114944 req, miss ratio 0.0378, byte miss ratio 0.0378
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-2.0000 cache size    24215, 643114944 req, miss ratio 0.2127, byte miss ratio 0.2127
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-2.0000 cache size    72645, 643114944 req, miss ratio 0.1447, byte miss ratio 0.1447
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-2.0000 cache size   242151, 643114944 req, miss ratio 0.0959, byte miss ratio 0.0959
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-2.0000 cache size   726455, 643114944 req, miss ratio 0.0645, byte miss ratio 0.0645
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-2.0000 cache size  2421516, 643114944 req, miss ratio 0.0476, byte miss ratio 0.0476
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-2.0000 cache size  4843033, 643114944 req, miss ratio 0.0421, byte miss ratio 0.0421
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-2.0000 cache size  9686067, 643114944 req, miss ratio 0.0393, byte miss ratio 0.0393
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-2.0000 cache size 19372135, 643114944 req, miss ratio 0.0378, byte miss ratio 0.0378
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.0000 cache size    24215, 643114944 req, miss ratio 0.2059, byte miss ratio 0.2059
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.0000 cache size    72645, 643114944 req, miss ratio 0.1379, byte miss ratio 0.1379
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.0000 cache size   242151, 643114944 req, miss ratio 0.0915, byte miss ratio 0.0915
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.0000 cache size   726455, 643114944 req, miss ratio 0.0623, byte miss ratio 0.0623
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.0000 cache size  2421516, 643114944 req, miss ratio 0.0465, byte miss ratio 0.0465
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.0000 cache size  4843033, 643114944 req, miss ratio 0.0417, byte miss ratio 0.0417
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.0000 cache size  9686067, 643114944 req, miss ratio 0.0393, byte miss ratio 0.0393
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.0000 cache size 19372135, 643114944 req, miss ratio 0.0378, byte miss ratio 0.0378
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.0000 cache size    24215, 643114944 req, miss ratio 0.2257, byte miss ratio 0.2257
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.0000 cache size    72645, 643114944 req, miss ratio 0.1561, byte miss ratio 0.1561
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.0000 cache size   242151, 643114944 req, miss ratio 0.1044, byte miss ratio 0.1044
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.0000 cache size   726455, 643114944 req, miss ratio 0.0705, byte miss ratio 0.0705
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.0000 cache size  2421516, 643114944 req, miss ratio 0.0506, byte miss ratio 0.0506
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.0000 cache size  4843033, 643114944 req, miss ratio 0.0437, byte miss ratio 0.0437
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.0000 cache size  9686067, 643114944 req, miss ratio 0.0400, byte miss ratio 0.0400
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.0000 cache size 19372135, 643114944 req, miss ratio 0.0380, byte miss ratio 0.0380
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size    24215, 643114944 req, miss ratio 0.2061, byte miss ratio 0.2061
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size    72645, 643114944 req, miss ratio 0.1380, byte miss ratio 0.1380
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size   242151, 643114944 req, miss ratio 0.0915, byte miss ratio 0.0915
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size   726455, 643114944 req, miss ratio 0.0624, byte miss ratio 0.0624
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size  2421516, 643114944 req, miss ratio 0.0465, byte miss ratio 0.0465
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size  4843033, 643114944 req, miss ratio 0.0417, byte miss ratio 0.0417
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size  9686067, 643114944 req, miss ratio 0.0393, byte miss ratio 0.0393
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.2000 cache size 19372135, 643114944 req, miss ratio 0.0378, byte miss ratio 0.0378
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.8000 cache size    24215, 643114944 req, miss ratio 0.2187, byte miss ratio 0.2187
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.8000 cache size    72645, 643114944 req, miss ratio 0.1498, byte miss ratio 0.1498
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.8000 cache size   242151, 643114944 req, miss ratio 0.0993, byte miss ratio 0.0993
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.8000 cache size   726455, 643114944 req, miss ratio 0.0666, byte miss ratio 0.0666
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.8000 cache size  2421516, 643114944 req, miss ratio 0.0487, byte miss ratio 0.0487
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.8000 cache size  4843033, 643114944 req, miss ratio 0.0427, byte miss ratio 0.0427
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.8000 cache size  9686067, 643114944 req, miss ratio 0.0396, byte miss ratio 0.0396
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4000-0.8000 cache size 19372135, 643114944 req, miss ratio 0.0378, byte miss ratio 0.0378
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    24215, 643114944 req, miss ratio 0.2241, byte miss ratio 0.2241
pinkfloyd_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    72645, 643114944 req, miss ratio 0.1542, byte miss ratio 0.1542
