events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size     1067, 51757858 req, miss ratio 0.0535, byte miss ratio 0.0535
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size     3203, 51757858 req, miss ratio 0.0479, byte miss ratio 0.0479
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    10678, 51757858 req, miss ratio 0.0287, byte miss ratio 0.0287
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    21356, 51757858 req, miss ratio 0.0263, byte miss ratio 0.0263
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    42712, 51757858 req, miss ratio 0.0144, byte miss ratio 0.0144
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    85424, 51757858 req, miss ratio 0.0024, byte miss ratio 0.0024
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size      106, 51757858 req, miss ratio 0.1649, byte miss ratio 0.1649
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size      320, 51757858 req, miss ratio 0.0623, byte miss ratio 0.0623
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size     1067, 51757858 req, miss ratio 0.0546, byte miss ratio 0.0546
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size     3203, 51757858 req, miss ratio 0.0495, byte miss ratio 0.0495
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    10678, 51757858 req, miss ratio 0.0294, byte miss ratio 0.0294
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    21356, 51757858 req, miss ratio 0.0268, byte miss ratio 0.0268
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    42712, 51757858 req, miss ratio 0.0159, byte miss ratio 0.0159
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    85424, 51757858 req, miss ratio 0.0025, byte miss ratio 0.0025
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size      106, 51757858 req, miss ratio 0.1893, byte miss ratio 0.1893
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size      320, 51757858 req, miss ratio 0.0645, byte miss ratio 0.0645
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     1067, 51757858 req, miss ratio 0.0556, byte miss ratio 0.0556
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     3203, 51757858 req, miss ratio 0.0502, byte miss ratio 0.0502
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    10678, 51757858 req, miss ratio 0.0295, byte miss ratio 0.0295
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    21356, 51757858 req, miss ratio 0.0272, byte miss ratio 0.0272
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    42712, 51757858 req, miss ratio 0.0164, byte miss ratio 0.0164
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    85424, 51757858 req, miss ratio 0.0027, byte miss ratio 0.0027
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size      106, 51757858 req, miss ratio 0.2623, byte miss ratio 0.2623
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size      320, 51757858 req, miss ratio 0.1007, byte miss ratio 0.1007
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size     1067, 51757858 req, miss ratio 0.0667, byte miss ratio 0.0667
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size     3203, 51757858 req, miss ratio 0.0542, byte miss ratio 0.0542
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    10678, 51757858 req, miss ratio 0.0367, byte miss ratio 0.0367
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    21356, 51757858 req, miss ratio 0.0301, byte miss ratio 0.0301
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    42712, 51757858 req, miss ratio 0.0157, byte miss ratio 0.0157
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    85424, 51757858 req, miss ratio 0.0034, byte miss ratio 0.0034
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size      106, 51757858 req, miss ratio 0.2262, byte miss ratio 0.2262
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size      320, 51757858 req, miss ratio 0.0767, byte miss ratio 0.0767
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size     1067, 51757858 req, miss ratio 0.0575, byte miss ratio 0.0575
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size     3203, 51757858 req, miss ratio 0.0514, byte miss ratio 0.0514
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size    10678, 51757858 req, miss ratio 0.0334, byte miss ratio 0.0334
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size    21356, 51757858 req, miss ratio 0.0277, byte miss ratio 0.0277
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size    42712, 51757858 req, miss ratio 0.0155, byte miss ratio 0.0155
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size    85424, 51757858 req, miss ratio 0.0031, byte miss ratio 0.0031
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size      106, 51757858 req, miss ratio 0.1738, byte miss ratio 0.1738
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size      320, 51757858 req, miss ratio 0.0629, byte miss ratio 0.0629
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size     1067, 51757858 req, miss ratio 0.0549, byte miss ratio 0.0549
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size     3203, 51757858 req, miss ratio 0.0497, byte miss ratio 0.0497
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    10678, 51757858 req, miss ratio 0.0291, byte miss ratio 0.0291
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    21356, 51757858 req, miss ratio 0.0269, byte miss ratio 0.0269
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    42712, 51757858 req, miss ratio 0.0163, byte miss ratio 0.0163
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    85424, 51757858 req, miss ratio 0.0026, byte miss ratio 0.0026
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size      106, 51757858 req, miss ratio 0.1317, byte miss ratio 0.1317
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size      320, 51757858 req, miss ratio 0.0609, byte miss ratio 0.0609
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     1067, 51757858 req, miss ratio 0.0534, byte miss ratio 0.0534
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     3203, 51757858 req, miss ratio 0.0473, byte miss ratio 0.0473
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    10678, 51757858 req, miss ratio 0.0286, byte miss ratio 0.0286
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    21356, 51757858 req, miss ratio 0.0261, byte miss ratio 0.0261
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    42712, 51757858 req, miss ratio 0.0135, byte miss ratio 0.0135
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    85424, 51757858 req, miss ratio 0.0023, byte miss ratio 0.0023
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size      106, 51757858 req, miss ratio 0.2121, byte miss ratio 0.2121
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size      320, 51757858 req, miss ratio 0.0702, byte miss ratio 0.0702
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size     1067, 51757858 req, miss ratio 0.0567, byte miss ratio 0.0567
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size     3203, 51757858 req, miss ratio 0.0508, byte miss ratio 0.0508
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    10678, 51757858 req, miss ratio 0.0320, byte miss ratio 0.0320
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    21356, 51757858 req, miss ratio 0.0275, byte miss ratio 0.0275
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    42712, 51757858 req, miss ratio 0.0157, byte miss ratio 0.0157
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    85424, 51757858 req, miss ratio 0.0029, byte miss ratio 0.0029
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size      106, 51757858 req, miss ratio 0.1496, byte miss ratio 0.1496
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size      320, 51757858 req, miss ratio 0.0614, byte miss ratio 0.0614
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size     1067, 51757858 req, miss ratio 0.0539, byte miss ratio 0.0539
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size     3203, 51757858 req, miss ratio 0.0487, byte miss ratio 0.0487
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    10678, 51757858 req, miss ratio 0.0293, byte miss ratio 0.0293
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    21356, 51757858 req, miss ratio 0.0265, byte miss ratio 0.0265
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    42712, 51757858 req, miss ratio 0.0149, byte miss ratio 0.0149
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    85424, 51757858 req, miss ratio 0.0024, byte miss ratio 0.0024
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size      106, 51757858 req, miss ratio 0.1742, byte miss ratio 0.1742
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size      320, 51757858 req, miss ratio 0.0629, byte miss ratio 0.0629
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size     1067, 51757858 req, miss ratio 0.0549, byte miss ratio 0.0549
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size     3203, 51757858 req, miss ratio 0.0498, byte miss ratio 0.0498
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    10678, 51757858 req, miss ratio 0.0296, byte miss ratio 0.0296
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    21356, 51757858 req, miss ratio 0.0269, byte miss ratio 0.0269
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    42712, 51757858 req, miss ratio 0.0163, byte miss ratio 0.0163
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    85424, 51757858 req, miss ratio 0.0026, byte miss ratio 0.0026
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size      106, 51757858 req, miss ratio 0.1217, byte miss ratio 0.1217
