top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    98892, 120312957 req, miss ratio 0.0094, byte miss ratio 0.0094
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   197784, 120312957 req, miss ratio 0.0088, byte miss ratio 0.0088
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   395568, 120312957 req, miss ratio 0.0086, byte miss ratio 0.0086
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   791136, 120312957 req, miss ratio 0.0083, byte miss ratio 0.0083
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size      988, 120312957 req, miss ratio 0.0570, byte miss ratio 0.0570
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size     2966, 120312957 req, miss ratio 0.0328, byte miss ratio 0.0328
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size     9889, 120312957 req, miss ratio 0.0185, byte miss ratio 0.0185
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    29667, 120312957 req, miss ratio 0.0121, byte miss ratio 0.0121
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    98892, 120312957 req, miss ratio 0.0095, byte miss ratio 0.0095
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   197784, 120312957 req, miss ratio 0.0088, byte miss ratio 0.0088
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   395568, 120312957 req, miss ratio 0.0086, byte miss ratio 0.0086
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   791136, 120312957 req, miss ratio 0.0083, byte miss ratio 0.0083
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size      988, 120312957 req, miss ratio 0.0744, byte miss ratio 0.0744
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size     2966, 120312957 req, miss ratio 0.0409, byte miss ratio 0.0409
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size     9889, 120312957 req, miss ratio 0.0223, byte miss ratio 0.0223
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    29667, 120312957 req, miss ratio 0.0143, byte miss ratio 0.0143
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    98892, 120312957 req, miss ratio 0.0106, byte miss ratio 0.0106
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   197784, 120312957 req, miss ratio 0.0095, byte miss ratio 0.0095
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   395568, 120312957 req, miss ratio 0.0088, byte miss ratio 0.0088
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   791136, 120312957 req, miss ratio 0.0084, byte miss ratio 0.0084
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size      988, 120312957 req, miss ratio 0.0515, byte miss ratio 0.0515
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size     2966, 120312957 req, miss ratio 0.0303, byte miss ratio 0.0303
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size     9889, 120312957 req, miss ratio 0.0176, byte miss ratio 0.0176
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    29667, 120312957 req, miss ratio 0.0121, byte miss ratio 0.0121
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    98892, 120312957 req, miss ratio 0.0095, byte miss ratio 0.0095
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   197784, 120312957 req, miss ratio 0.0088, byte miss ratio 0.0088
top_tweets_for_trends_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   395568, 120312957 req, miss ratio 0.0086, byte miss ratio 0.0086
