alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 34008336, 1967621586 req, miss ratio 0.1165, byte miss ratio 0.1165
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 68016672, 1967621586 req, miss ratio 0.0981, byte miss ratio 0.0981
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size 136033344, 1967621586 req, miss ratio 0.0875, byte miss ratio 0.0875
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   170041, 1967621586 req, miss ratio 0.4266, byte miss ratio 0.4266
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   510125, 1967621586 req, miss ratio 0.3171, byte miss ratio 0.3171
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  1700416, 1967621586 req, miss ratio 0.2532, byte miss ratio 0.2532
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  5101250, 1967621586 req, miss ratio 0.1959, byte miss ratio 0.1959
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 17004168, 1967621586 req, miss ratio 0.1454, byte miss ratio 0.1454
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 34008336, 1967621586 req, miss ratio 0.1209, byte miss ratio 0.1209
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 68016672, 1967621586 req, miss ratio 0.1003, byte miss ratio 0.1003
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 136033344, 1967621586 req, miss ratio 0.0877, byte miss ratio 0.0877
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   170041, 1967621586 req, miss ratio 0.3703, byte miss ratio 0.3703
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   510125, 1967621586 req, miss ratio 0.2941, byte miss ratio 0.2941
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size  1700416, 1967621586 req, miss ratio 0.2310, byte miss ratio 0.2310
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size  5101250, 1967621586 req, miss ratio 0.1835, byte miss ratio 0.1835
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 17004168, 1967621586 req, miss ratio 0.1329, byte miss ratio 0.1329
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 34008336, 1967621586 req, miss ratio 0.1136, byte miss ratio 0.1136
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 68016672, 1967621586 req, miss ratio 0.0976, byte miss ratio 0.0976
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 136033344, 1967621586 req, miss ratio 0.0875, byte miss ratio 0.0875
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   170041, 1967621586 req, miss ratio 0.4590, byte miss ratio 0.4590
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   510125, 1967621586 req, miss ratio 0.3464, byte miss ratio 0.3464
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size  1700416, 1967621586 req, miss ratio 0.2668, byte miss ratio 0.2668
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size  5101250, 1967621586 req, miss ratio 0.2073, byte miss ratio 0.2073
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size 17004168, 1967621586 req, miss ratio 0.1537, byte miss ratio 0.1537
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size 34008336, 1967621586 req, miss ratio 0.1278, byte miss ratio 0.1278
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size 68016672, 1967621586 req, miss ratio 0.1052, byte miss ratio 0.1052
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size 136033344, 1967621586 req, miss ratio 0.0895, byte miss ratio 0.0895
alibaba_block2020.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   170041, 1967621586 req, miss ratio 0.3702, byte miss ratio 0.3702
