result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-arc cache size  3396426, 335173084 req, miss ratio 0.0624, byte miss ratio 0.0624
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-arc cache size  6792852, 335173084 req, miss ratio 0.0548, byte miss ratio 0.0548
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.1000-0.9000-arc cache size 13585704, 335173084 req, miss ratio 0.0510, byte miss ratio 0.0510
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LIRS cache size    16982, 335173084 req, miss ratio 0.3054, byte miss ratio 0.3054
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LIRS cache size    50946, 335173084 req, miss ratio 0.2362, byte miss ratio 0.2362
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LIRS cache size   169821, 335173084 req, miss ratio 0.1645, byte miss ratio 0.1645
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LIRS cache size   509463, 335173084 req, miss ratio 0.1154, byte miss ratio 0.1154
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LIRS cache size  1698213, 335173084 req, miss ratio 0.0790, byte miss ratio 0.0790
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LIRS cache size  3396426, 335173084 req, miss ratio 0.0653, byte miss ratio 0.0653
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LIRS cache size  6792852, 335173084 req, miss ratio 0.0564, byte miss ratio 0.0564
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LIRS cache size 13585704, 335173084 req, miss ratio 0.0514, byte miss ratio 0.0514
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d-1 cache size    16982, 335173084 req, miss ratio 0.2897, byte miss ratio 0.2897
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d-1 cache size    50946, 335173084 req, miss ratio 0.2215, byte miss ratio 0.2215
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d-1 cache size   169821, 335173084 req, miss ratio 0.1565, byte miss ratio 0.1565
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d-1 cache size   509463, 335173084 req, miss ratio 0.1099, byte miss ratio 0.1099
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d-1 cache size  1698213, 335173084 req, miss ratio 0.0755, byte miss ratio 0.0755
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d-1 cache size  3396426, 335173084 req, miss ratio 0.0649, byte miss ratio 0.0649
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d-1 cache size  6792852, 335173084 req, miss ratio 0.0571, byte miss ratio 0.0571
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO-d-1 cache size 13585704, 335173084 req, miss ratio 0.0510, byte miss ratio 0.0510
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LHD cache size    16982, 335173084 req, miss ratio 0.2956, byte miss ratio 0.2956
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LHD cache size    50946, 335173084 req, miss ratio 0.2246, byte miss ratio 0.2246
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LHD cache size   169821, 335173084 req, miss ratio 0.1588, byte miss ratio 0.1588
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LHD cache size   509463, 335173084 req, miss ratio 0.1121, byte miss ratio 0.1121
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LHD cache size  1698213, 335173084 req, miss ratio 0.0828, byte miss ratio 0.0828
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LHD cache size  3396426, 335173084 req, miss ratio 0.0740, byte miss ratio 0.0740
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LHD cache size  6792852, 335173084 req, miss ratio 0.0596, byte miss ratio 0.0596
result/meta_kvcache_traces_1.oracleGeneral.bin.zst LHD cache size 13585704, 335173084 req, miss ratio 0.0511, byte miss ratio 0.0511
result/meta_kvcache_traces_1.oracleGeneral.bin.zst Cacheus cache size    16982, 335173084 req, miss ratio 0.3078, byte miss ratio 0.3078
result/meta_kvcache_traces_1.oracleGeneral.bin.zst Cacheus cache size    50946, 335173084 req, miss ratio 0.2360, byte miss ratio 0.2360
result/meta_kvcache_traces_1.oracleGeneral.bin.zst Cacheus cache size   169821, 335173084 req, miss ratio 0.1647, byte miss ratio 0.1647
result/meta_kvcache_traces_1.oracleGeneral.bin.zst Cacheus cache size   509463, 335173084 req, miss ratio 0.1184, byte miss ratio 0.1184
result/meta_kvcache_traces_1.oracleGeneral.bin.zst Cacheus cache size  1698213, 335173084 req, miss ratio 0.0779, byte miss ratio 0.0779
result/meta_kvcache_traces_1.oracleGeneral.bin.zst Cacheus cache size  3396426, 335173084 req, miss ratio 0.0640, byte miss ratio 0.0640
result/meta_kvcache_traces_1.oracleGeneral.bin.zst Cacheus cache size  6792852, 335173084 req, miss ratio 0.0550, byte miss ratio 0.0550
