result/talon_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    62244, 20972856 req, miss ratio 0.4336, byte miss ratio 0.4336
result/talon_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   186732, 20972856 req, miss ratio 0.4029, byte miss ratio 0.4029
result/talon_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   622440, 20972856 req, miss ratio 0.3733, byte miss ratio 0.3733
result/talon_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1244881, 20972856 req, miss ratio 0.3544, byte miss ratio 0.3544
result/talon_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2489763, 20972856 req, miss ratio 0.3284, byte miss ratio 0.3284
result/talon_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  4979526, 20972856 req, miss ratio 0.3007, byte miss ratio 0.3007
result/talon_cache.1.oracleGeneral.sample10.zst B-LRU cache size     6224, 20972856 req, miss ratio 0.6379, byte miss ratio 0.6379
result/talon_cache.1.oracleGeneral.sample10.zst B-LRU cache size    18673, 20972856 req, miss ratio 0.6047, byte miss ratio 0.6047
result/talon_cache.1.oracleGeneral.sample10.zst B-LRU cache size    62244, 20972856 req, miss ratio 0.5701, byte miss ratio 0.5701
result/talon_cache.1.oracleGeneral.sample10.zst B-LRU cache size   186732, 20972856 req, miss ratio 0.5454, byte miss ratio 0.5454
result/talon_cache.1.oracleGeneral.sample10.zst B-LRU cache size   622440, 20972856 req, miss ratio 0.5171, byte miss ratio 0.5171
result/talon_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1244881, 20972856 req, miss ratio 0.4977, byte miss ratio 0.4977
result/talon_cache.1.oracleGeneral.sample10.zst B-LRU cache size  2489763, 20972856 req, miss ratio 0.4797, byte miss ratio 0.4797
result/talon_cache.1.oracleGeneral.sample10.zst B-LRU cache size  4979526, 20972856 req, miss ratio 0.4753, byte miss ratio 0.4753
result/talon_cache.1.oracleGeneral.sample10.zst TwoQ cache size     6224, 20972856 req, miss ratio 0.4849, byte miss ratio 0.4849
result/talon_cache.1.oracleGeneral.sample10.zst TwoQ cache size    18673, 20972856 req, miss ratio 0.4558, byte miss ratio 0.4558
result/talon_cache.1.oracleGeneral.sample10.zst TwoQ cache size    62244, 20972856 req, miss ratio 0.4237, byte miss ratio 0.4237
result/talon_cache.1.oracleGeneral.sample10.zst TwoQ cache size   186732, 20972856 req, miss ratio 0.3975, byte miss ratio 0.3975
result/talon_cache.1.oracleGeneral.sample10.zst TwoQ cache size   622440, 20972856 req, miss ratio 0.3772, byte miss ratio 0.3772
result/talon_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1244881, 20972856 req, miss ratio 0.3594, byte miss ratio 0.3594
result/talon_cache.1.oracleGeneral.sample10.zst TwoQ cache size  2489763, 20972856 req, miss ratio 0.3358, byte miss ratio 0.3358
result/talon_cache.1.oracleGeneral.sample10.zst TwoQ cache size  4979526, 20972856 req, miss ratio 0.3040, byte miss ratio 0.3040
result/talon_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     6224, 20972856 req, miss ratio 0.5065, byte miss ratio 0.5065
result/talon_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    18673, 20972856 req, miss ratio 0.4728, byte miss ratio 0.4728
result/talon_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    62244, 20972856 req, miss ratio 0.4401, byte miss ratio 0.4401
result/talon_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   186732, 20972856 req, miss ratio 0.4102, byte miss ratio 0.4102
result/talon_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   622440, 20972856 req, miss ratio 0.3784, byte miss ratio 0.3784
result/talon_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1244881, 20972856 req, miss ratio 0.3568, byte miss ratio 0.3568
result/talon_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2489763, 20972856 req, miss ratio 0.3300, byte miss ratio 0.3300
result/talon_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  4979526, 20972856 req, miss ratio 0.3011, byte miss ratio 0.3011
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     6224, 20972856 req, miss ratio 0.4819, byte miss ratio 0.4819
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    18673, 20972856 req, miss ratio 0.4521, byte miss ratio 0.4521
result/talon_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    62244, 20972856 req, miss ratio 0.4219, byte miss ratio 0.4219
