result/tencent_block.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 11011545, 3369550421 req, miss ratio 0.0369, byte miss ratio 0.0369
result/tencent_block.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 22023090, 3369550421 req, miss ratio 0.0276, byte miss ratio 0.0276
result/tencent_block.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 44046180, 3369550421 req, miss ratio 0.0167, byte miss ratio 0.0167
result/tencent_block.oracleGeneral.sample10.zst LRB cache size    55057, 3369550421 req, miss ratio 0.5891, byte miss ratio 0.5891
result/tencent_block.oracleGeneral.sample10.zst LRB cache size   165173, 3369550421 req, miss ratio 0.4677, byte miss ratio 0.4677
result/tencent_block.oracleGeneral.sample10.zst LRB cache size   550577, 3369550421 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tencent_block.oracleGeneral.sample10.zst LRB cache size  1651731, 3369550421 req, miss ratio 0.1500, byte miss ratio 0.1500
result/tencent_block.oracleGeneral.sample10.zst LRB cache size  5505772, 3369550421 req, miss ratio 0.0605, byte miss ratio 0.0605
result/tencent_block.oracleGeneral.sample10.zst LRB cache size 11011545, 3369550421 req, miss ratio 0.0373, byte miss ratio 0.0373
result/tencent_block.oracleGeneral.sample10.zst LRB cache size 22023090, 3369550421 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencent_block.oracleGeneral.sample10.zst LRB cache size 44046180, 3369550421 req, miss ratio 0.0167, byte miss ratio 0.0167
result/tencent_block.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    55057, 3369550421 req, miss ratio 0.6221, byte miss ratio 0.6221
result/tencent_block.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   165173, 3369550421 req, miss ratio 0.4901, byte miss ratio 0.4901
result/tencent_block.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   550577, 3369550421 req, miss ratio 0.3303, byte miss ratio 0.3303
result/tencent_block.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1651731, 3369550421 req, miss ratio 0.1785, byte miss ratio 0.1785
result/tencent_block.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  5505772, 3369550421 req, miss ratio 0.0588, byte miss ratio 0.0588
result/tencent_block.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 11011545, 3369550421 req, miss ratio 0.0333, byte miss ratio 0.0333
result/tencent_block.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 22023090, 3369550421 req, miss ratio 0.0206, byte miss ratio 0.0206
result/tencent_block.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 44046180, 3369550421 req, miss ratio 0.0167, byte miss ratio 0.0167
result/tencent_block.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    55057, 3369550421 req, miss ratio 0.6771, byte miss ratio 0.6771
result/tencent_block.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   165173, 3369550421 req, miss ratio 0.5278, byte miss ratio 0.5278
result/tencent_block.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   550577, 3369550421 req, miss ratio 0.3663, byte miss ratio 0.3663
result/tencent_block.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1651731, 3369550421 req, miss ratio 0.2101, byte miss ratio 0.2101
result/tencent_block.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  5505772, 3369550421 req, miss ratio 0.0737, byte miss ratio 0.0737
result/tencent_block.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 11011545, 3369550421 req, miss ratio 0.0405, byte miss ratio 0.0405
result/tencent_block.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 22023090, 3369550421 req, miss ratio 0.0239, byte miss ratio 0.0239
result/tencent_block.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 44046180, 3369550421 req, miss ratio 0.0185, byte miss ratio 0.0185
result/tencent_block.oracleGeneral.sample10.zst B-LRU cache size    55057, 3369550421 req, miss ratio 0.6865, byte miss ratio 0.6865
result/tencent_block.oracleGeneral.sample10.zst B-LRU cache size   165173, 3369550421 req, miss ratio 0.5185, byte miss ratio 0.5185
result/tencent_block.oracleGeneral.sample10.zst B-LRU cache size   550577, 3369550421 req, miss ratio 0.3531, byte miss ratio 0.3531
result/tencent_block.oracleGeneral.sample10.zst B-LRU cache size  1651731, 3369550421 req, miss ratio 0.2008, byte miss ratio 0.2008
result/tencent_block.oracleGeneral.sample10.zst B-LRU cache size  5505772, 3369550421 req, miss ratio 0.0651, byte miss ratio 0.0651
result/tencent_block.oracleGeneral.sample10.zst B-LRU cache size 11011545, 3369550421 req, miss ratio 0.0387, byte miss ratio 0.0387
result/tencent_block.oracleGeneral.sample10.zst B-LRU cache size 22023090, 3369550421 req, miss ratio 0.0269, byte miss ratio 0.0269
result/tencent_block.oracleGeneral.sample10.zst B-LRU cache size 44046180, 3369550421 req, miss ratio 0.0260, byte miss ratio 0.0260
result/tencent_block.oracleGeneral.sample10.zst TwoQ cache size    55057, 3369550421 req, miss ratio 0.5955, byte miss ratio 0.5955
result/tencent_block.oracleGeneral.sample10.zst TwoQ cache size   165173, 3369550421 req, miss ratio 0.4594, byte miss ratio 0.4594
result/tencent_block.oracleGeneral.sample10.zst TwoQ cache size   550577, 3369550421 req, miss ratio 0.3112, byte miss ratio 0.3112
result/tencent_block.oracleGeneral.sample10.zst TwoQ cache size  1651731, 3369550421 req, miss ratio 0.1724, byte miss ratio 0.1724
result/tencent_block.oracleGeneral.sample10.zst TwoQ cache size  5505772, 3369550421 req, miss ratio 0.0600, byte miss ratio 0.0600
result/tencent_block.oracleGeneral.sample10.zst TwoQ cache size 11011545, 3369550421 req, miss ratio 0.0350, byte miss ratio 0.0350
result/tencent_block.oracleGeneral.sample10.zst TwoQ cache size 22023090, 3369550421 req, miss ratio 0.0236, byte miss ratio 0.0236
result/tencent_block.oracleGeneral.sample10.zst TwoQ cache size 44046180, 3369550421 req, miss ratio 0.0197, byte miss ratio 0.0197
result/tencent_block.oracleGeneral.sample10.zst S3FIFO cache size    55057, 3369550421 req, miss ratio 0.5865, byte miss ratio 0.5865
result/tencent_block.oracleGeneral.sample10.zst S3FIFO cache size   165173, 3369550421 req, miss ratio 0.4605, byte miss ratio 0.4605
result/tencent_block.oracleGeneral.sample10.zst S3FIFO cache size   550577, 3369550421 req, miss ratio 0.3070, byte miss ratio 0.3070
result/tencent_block.oracleGeneral.sample10.zst S3FIFO cache size  1651731, 3369550421 req, miss ratio 0.1673, byte miss ratio 0.1673
result/tencent_block.oracleGeneral.sample10.zst S3FIFO cache size  5505772, 3369550421 req, miss ratio 0.0551, byte miss ratio 0.0551
result/tencent_block.oracleGeneral.sample10.zst S3FIFO cache size 11011545, 3369550421 req, miss ratio 0.0315, byte miss ratio 0.0315
result/tencent_block.oracleGeneral.sample10.zst S3FIFO cache size 22023090, 3369550421 req, miss ratio 0.0205, byte miss ratio 0.0205
result/tencent_block.oracleGeneral.sample10.zst S3FIFO cache size 44046180, 3369550421 req, miss ratio 0.0167, byte miss ratio 0.0167
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    55057, 3369550421 req, miss ratio 0.5991, byte miss ratio 0.5991
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   165173, 3369550421 req, miss ratio 0.4976, byte miss ratio 0.4976
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   550577, 3369550421 req, miss ratio 0.3361, byte miss ratio 0.3361
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1651731, 3369550421 req, miss ratio 0.1641, byte miss ratio 0.1641
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  5505772, 3369550421 req, miss ratio 0.0715, byte miss ratio 0.0715
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 11011545, 3369550421 req, miss ratio 0.0339, byte miss ratio 0.0339
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 22023090, 3369550421 req, miss ratio 0.0216, byte miss ratio 0.0216
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 44046180, 3369550421 req, miss ratio 0.0171, byte miss ratio 0.0171
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    55057, 3369550421 req, miss ratio 0.5913, byte miss ratio 0.5913
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   165173, 3369550421 req, miss ratio 0.4644, byte miss ratio 0.4644
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   550577, 3369550421 req, miss ratio 0.3941, byte miss ratio 0.3941
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1651731, 3369550421 req, miss ratio 0.1572, byte miss ratio 0.1572
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  5505772, 3369550421 req, miss ratio 0.0615, byte miss ratio 0.0615
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 11011545, 3369550421 req, miss ratio 0.0313, byte miss ratio 0.0313
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 22023090, 3369550421 req, miss ratio 0.0215, byte miss ratio 0.0215
result/tencent_block.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 44046180, 3369550421 req, miss ratio 0.0176, byte miss ratio 0.0176
