result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-d-1 cache size    54523, 2458306 req, miss ratio 0.0288, byte miss ratio 0.0288
result/tencentBlock.ns12248.oracleGeneral.zst LRB cache size       68, 2458306 req, miss ratio 0.3327, byte miss ratio 0.3327
result/tencentBlock.ns12248.oracleGeneral.zst LRB cache size      204, 2458306 req, miss ratio 0.2248, byte miss ratio 0.2248
result/tencentBlock.ns12248.oracleGeneral.zst LRB cache size      681, 2458306 req, miss ratio 0.1586, byte miss ratio 0.1586
result/tencentBlock.ns12248.oracleGeneral.zst LRB cache size     2044, 2458306 req, miss ratio 0.1193, byte miss ratio 0.1193
result/tencentBlock.ns12248.oracleGeneral.zst LRB cache size     6815, 2458306 req, miss ratio 0.0969, byte miss ratio 0.0969
result/tencentBlock.ns12248.oracleGeneral.zst LRB cache size    13630, 2458306 req, miss ratio 0.0798, byte miss ratio 0.0798
result/tencentBlock.ns12248.oracleGeneral.zst LRB cache size    27261, 2458306 req, miss ratio 0.0523, byte miss ratio 0.0523
result/tencentBlock.ns12248.oracleGeneral.zst LRB cache size    54523, 2458306 req, miss ratio 0.0294, byte miss ratio 0.0294
result/tencentBlock.ns12248.oracleGeneral.zst TwoQ cache size       68, 2458306 req, miss ratio 0.2958, byte miss ratio 0.2958
result/tencentBlock.ns12248.oracleGeneral.zst TwoQ cache size      204, 2458306 req, miss ratio 0.2088, byte miss ratio 0.2088
result/tencentBlock.ns12248.oracleGeneral.zst TwoQ cache size      681, 2458306 req, miss ratio 0.1533, byte miss ratio 0.1533
result/tencentBlock.ns12248.oracleGeneral.zst TwoQ cache size     2044, 2458306 req, miss ratio 0.1224, byte miss ratio 0.1224
result/tencentBlock.ns12248.oracleGeneral.zst TwoQ cache size     6815, 2458306 req, miss ratio 0.0986, byte miss ratio 0.0986
result/tencentBlock.ns12248.oracleGeneral.zst TwoQ cache size    13630, 2458306 req, miss ratio 0.0818, byte miss ratio 0.0818
result/tencentBlock.ns12248.oracleGeneral.zst TwoQ cache size    27261, 2458306 req, miss ratio 0.0575, byte miss ratio 0.0575
result/tencentBlock.ns12248.oracleGeneral.zst TwoQ cache size    54523, 2458306 req, miss ratio 0.0336, byte miss ratio 0.0336
result/tencentBlock.ns12248.oracleGeneral.zst B-LRU cache size       68, 2458306 req, miss ratio 0.3558, byte miss ratio 0.3558
result/tencentBlock.ns12248.oracleGeneral.zst B-LRU cache size      204, 2458306 req, miss ratio 0.2345, byte miss ratio 0.2345
result/tencentBlock.ns12248.oracleGeneral.zst B-LRU cache size      681, 2458306 req, miss ratio 0.1780, byte miss ratio 0.1780
result/tencentBlock.ns12248.oracleGeneral.zst B-LRU cache size     2044, 2458306 req, miss ratio 0.1457, byte miss ratio 0.1457
result/tencentBlock.ns12248.oracleGeneral.zst B-LRU cache size     6815, 2458306 req, miss ratio 0.1180, byte miss ratio 0.1180
result/tencentBlock.ns12248.oracleGeneral.zst B-LRU cache size    13630, 2458306 req, miss ratio 0.0970, byte miss ratio 0.0970
result/tencentBlock.ns12248.oracleGeneral.zst B-LRU cache size    27261, 2458306 req, miss ratio 0.0678, byte miss ratio 0.0678
result/tencentBlock.ns12248.oracleGeneral.zst B-LRU cache size    54523, 2458306 req, miss ratio 0.0499, byte miss ratio 0.0499
result/tencentBlock.ns12248.oracleGeneral.zst S4LRU(25:25:25:25) cache size       68, 2458306 req, miss ratio 0.3363, byte miss ratio 0.3363
result/tencentBlock.ns12248.oracleGeneral.zst S4LRU(25:25:25:25) cache size      204, 2458306 req, miss ratio 0.2360, byte miss ratio 0.2360
result/tencentBlock.ns12248.oracleGeneral.zst S4LRU(25:25:25:25) cache size      681, 2458306 req, miss ratio 0.1707, byte miss ratio 0.1707
result/tencentBlock.ns12248.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2044, 2458306 req, miss ratio 0.1370, byte miss ratio 0.1370
result/tencentBlock.ns12248.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6815, 2458306 req, miss ratio 0.1096, byte miss ratio 0.1096
result/tencentBlock.ns12248.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13630, 2458306 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns12248.oracleGeneral.zst S4LRU(25:25:25:25) cache size    27261, 2458306 req, miss ratio 0.0573, byte miss ratio 0.0573
result/tencentBlock.ns12248.oracleGeneral.zst S4LRU(25:25:25:25) cache size    54523, 2458306 req, miss ratio 0.0288, byte miss ratio 0.0288
result/tencentBlock.ns12248.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       68, 2458306 req, miss ratio 0.4187, byte miss ratio 0.4187
result/tencentBlock.ns12248.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      204, 2458306 req, miss ratio 0.2354, byte miss ratio 0.2354
