result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     4011, 169287715 req, miss ratio 0.5734, byte miss ratio 0.5734
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    13371, 169287715 req, miss ratio 0.5413, byte miss ratio 0.5413
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    40114, 169287715 req, miss ratio 0.5091, byte miss ratio 0.5091
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   133713, 169287715 req, miss ratio 0.4021, byte miss ratio 0.4021
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   267427, 169287715 req, miss ratio 0.2082, byte miss ratio 0.2082
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   534855, 169287715 req, miss ratio 0.0989, byte miss ratio 0.0989
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1069710, 169287715 req, miss ratio 0.0157, byte miss ratio 0.0157
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1337, 169287715 req, miss ratio 0.5674, byte miss ratio 0.5674
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     4011, 169287715 req, miss ratio 0.5392, byte miss ratio 0.5392
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    13371, 169287715 req, miss ratio 0.5122, byte miss ratio 0.5122
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    40114, 169287715 req, miss ratio 0.4708, byte miss ratio 0.4708
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   133713, 169287715 req, miss ratio 0.3111, byte miss ratio 0.3111
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   267427, 169287715 req, miss ratio 0.1680, byte miss ratio 0.1680
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   534855, 169287715 req, miss ratio 0.0873, byte miss ratio 0.0873
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1069710, 169287715 req, miss ratio 0.0097, byte miss ratio 0.0097
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     1337, 169287715 req, miss ratio 0.5588, byte miss ratio 0.5588
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     4011, 169287715 req, miss ratio 0.5263, byte miss ratio 0.5263
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    13371, 169287715 req, miss ratio 0.4971, byte miss ratio 0.4971
