result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d-1 cache size       91, 1241566 req, miss ratio 0.2321, byte miss ratio 0.2321
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d-1 cache size      274, 1241566 req, miss ratio 0.1523, byte miss ratio 0.1523
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d-1 cache size      916, 1241566 req, miss ratio 0.0863, byte miss ratio 0.0863
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d-1 cache size     1832, 1241566 req, miss ratio 0.0477, byte miss ratio 0.0477
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d-1 cache size     3664, 1241566 req, miss ratio 0.0170, byte miss ratio 0.0170
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d-1 cache size     7328, 1241566 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_colo28.ns462.oracleGeneral.zst LRB cache size        9, 1241566 req, miss ratio 0.5393, byte miss ratio 0.5393
result/cdn2_colo28.ns462.oracleGeneral.zst LRB cache size       27, 1241566 req, miss ratio 0.3453, byte miss ratio 0.3453
result/cdn2_colo28.ns462.oracleGeneral.zst LRB cache size       91, 1241566 req, miss ratio 0.2335, byte miss ratio 0.2335
result/cdn2_colo28.ns462.oracleGeneral.zst LRB cache size      274, 1241566 req, miss ratio 0.1520, byte miss ratio 0.1520
result/cdn2_colo28.ns462.oracleGeneral.zst LRB cache size      916, 1241566 req, miss ratio 0.0817, byte miss ratio 0.0817
result/cdn2_colo28.ns462.oracleGeneral.zst LRB cache size     1832, 1241566 req, miss ratio 0.0451, byte miss ratio 0.0451
result/cdn2_colo28.ns462.oracleGeneral.zst LRB cache size     3664, 1241566 req, miss ratio 0.0170, byte miss ratio 0.0170
result/cdn2_colo28.ns462.oracleGeneral.zst LRB cache size     7328, 1241566 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        9, 1241566 req, miss ratio 0.6760, byte miss ratio 0.6760
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       27, 1241566 req, miss ratio 0.5042, byte miss ratio 0.5042
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       91, 1241566 req, miss ratio 0.3400, byte miss ratio 0.3400
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      274, 1241566 req, miss ratio 0.1884, byte miss ratio 0.1884
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      916, 1241566 req, miss ratio 0.1007, byte miss ratio 0.1007
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1832, 1241566 req, miss ratio 0.0561, byte miss ratio 0.0561
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3664, 1241566 req, miss ratio 0.0218, byte miss ratio 0.0218
result/cdn2_colo28.ns462.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7328, 1241566 req, miss ratio 0.0099, byte miss ratio 0.0099
result/cdn2_colo28.ns462.oracleGeneral.zst TwoQ cache size        9, 1241566 req, miss ratio 0.5716, byte miss ratio 0.5716
result/cdn2_colo28.ns462.oracleGeneral.zst TwoQ cache size       27, 1241566 req, miss ratio 0.3536, byte miss ratio 0.3536
result/cdn2_colo28.ns462.oracleGeneral.zst TwoQ cache size       91, 1241566 req, miss ratio 0.2440, byte miss ratio 0.2440
result/cdn2_colo28.ns462.oracleGeneral.zst TwoQ cache size      274, 1241566 req, miss ratio 0.1613, byte miss ratio 0.1613
result/cdn2_colo28.ns462.oracleGeneral.zst TwoQ cache size      916, 1241566 req, miss ratio 0.0925, byte miss ratio 0.0925
result/cdn2_colo28.ns462.oracleGeneral.zst TwoQ cache size     1832, 1241566 req, miss ratio 0.0540, byte miss ratio 0.0540
result/cdn2_colo28.ns462.oracleGeneral.zst TwoQ cache size     3664, 1241566 req, miss ratio 0.0225, byte miss ratio 0.0225
result/cdn2_colo28.ns462.oracleGeneral.zst TwoQ cache size     7328, 1241566 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_colo28.ns462.oracleGeneral.zst S4LRU(25:25:25:25) cache size        9, 1241566 req, miss ratio 0.5676, byte miss ratio 0.5676
result/cdn2_colo28.ns462.oracleGeneral.zst S4LRU(25:25:25:25) cache size       27, 1241566 req, miss ratio 0.3598, byte miss ratio 0.3598
result/cdn2_colo28.ns462.oracleGeneral.zst S4LRU(25:25:25:25) cache size       91, 1241566 req, miss ratio 0.2408, byte miss ratio 0.2408
result/cdn2_colo28.ns462.oracleGeneral.zst S4LRU(25:25:25:25) cache size      274, 1241566 req, miss ratio 0.1562, byte miss ratio 0.1562
result/cdn2_colo28.ns462.oracleGeneral.zst S4LRU(25:25:25:25) cache size      916, 1241566 req, miss ratio 0.0868, byte miss ratio 0.0868
result/cdn2_colo28.ns462.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1832, 1241566 req, miss ratio 0.0479, byte miss ratio 0.0479
result/cdn2_colo28.ns462.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3664, 1241566 req, miss ratio 0.0176, byte miss ratio 0.0176
result/cdn2_colo28.ns462.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7328, 1241566 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_colo28.ns462.oracleGeneral.zst B-LRU cache size        9, 1241566 req, miss ratio 0.6390, byte miss ratio 0.6390
result/cdn2_colo28.ns462.oracleGeneral.zst B-LRU cache size       27, 1241566 req, miss ratio 0.4447, byte miss ratio 0.4447
result/cdn2_colo28.ns462.oracleGeneral.zst B-LRU cache size       91, 1241566 req, miss ratio 0.2856, byte miss ratio 0.2856
result/cdn2_colo28.ns462.oracleGeneral.zst B-LRU cache size      274, 1241566 req, miss ratio 0.1909, byte miss ratio 0.1909
result/cdn2_colo28.ns462.oracleGeneral.zst B-LRU cache size      916, 1241566 req, miss ratio 0.1023, byte miss ratio 0.1023
result/cdn2_colo28.ns462.oracleGeneral.zst B-LRU cache size     1832, 1241566 req, miss ratio 0.0559, byte miss ratio 0.0559
result/cdn2_colo28.ns462.oracleGeneral.zst B-LRU cache size     3664, 1241566 req, miss ratio 0.0208, byte miss ratio 0.0208
result/cdn2_colo28.ns462.oracleGeneral.zst B-LRU cache size     7328, 1241566 req, miss ratio 0.0127, byte miss ratio 0.0127
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO cache size        9, 1241566 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO cache size       27, 1241566 req, miss ratio 0.3336, byte miss ratio 0.3336
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO cache size       91, 1241566 req, miss ratio 0.2314, byte miss ratio 0.2314
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO cache size      274, 1241566 req, miss ratio 0.1517, byte miss ratio 0.1517
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO cache size      916, 1241566 req, miss ratio 0.0856, byte miss ratio 0.0856
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO cache size     1832, 1241566 req, miss ratio 0.0478, byte miss ratio 0.0478
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO cache size     3664, 1241566 req, miss ratio 0.0173, byte miss ratio 0.0173
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO cache size     7328, 1241566 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d cache size        9, 1241566 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d cache size       27, 1241566 req, miss ratio 0.3360, byte miss ratio 0.3360
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d cache size       91, 1241566 req, miss ratio 0.2477, byte miss ratio 0.2477
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d cache size      274, 1241566 req, miss ratio 0.1601, byte miss ratio 0.1601
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d cache size      916, 1241566 req, miss ratio 0.0902, byte miss ratio 0.0902
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d cache size     1832, 1241566 req, miss ratio 0.0495, byte miss ratio 0.0495
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d cache size     3664, 1241566 req, miss ratio 0.0174, byte miss ratio 0.0174
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d cache size     7328, 1241566 req, miss ratio 0.0080, byte miss ratio 0.0080
