result/tencentBlock.ns10592.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21624, 1235831 req, miss ratio 0.0964, byte miss ratio 0.0964
result/tencentBlock.ns10592.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    43248, 1235831 req, miss ratio 0.0570, byte miss ratio 0.0570
result/tencentBlock.ns10592.oracleGeneral.zst B-LRU cache size       54, 1235831 req, miss ratio 0.3072, byte miss ratio 0.3072
result/tencentBlock.ns10592.oracleGeneral.zst B-LRU cache size      162, 1235831 req, miss ratio 0.2110, byte miss ratio 0.2110
result/tencentBlock.ns10592.oracleGeneral.zst B-LRU cache size      540, 1235831 req, miss ratio 0.1967, byte miss ratio 0.1967
result/tencentBlock.ns10592.oracleGeneral.zst B-LRU cache size     1621, 1235831 req, miss ratio 0.1918, byte miss ratio 0.1918
result/tencentBlock.ns10592.oracleGeneral.zst B-LRU cache size     5406, 1235831 req, miss ratio 0.1888, byte miss ratio 0.1888
result/tencentBlock.ns10592.oracleGeneral.zst B-LRU cache size    10812, 1235831 req, miss ratio 0.1773, byte miss ratio 0.1773
result/tencentBlock.ns10592.oracleGeneral.zst B-LRU cache size    21624, 1235831 req, miss ratio 0.0787, byte miss ratio 0.0787
result/tencentBlock.ns10592.oracleGeneral.zst B-LRU cache size    43248, 1235831 req, miss ratio 0.0716, byte miss ratio 0.0716
result/tencentBlock.ns10592.oracleGeneral.zst TwoQ cache size       54, 1235831 req, miss ratio 0.2688, byte miss ratio 0.2688
result/tencentBlock.ns10592.oracleGeneral.zst TwoQ cache size      162, 1235831 req, miss ratio 0.1913, byte miss ratio 0.1913
result/tencentBlock.ns10592.oracleGeneral.zst TwoQ cache size      540, 1235831 req, miss ratio 0.1807, byte miss ratio 0.1807
result/tencentBlock.ns10592.oracleGeneral.zst TwoQ cache size     1621, 1235831 req, miss ratio 0.1782, byte miss ratio 0.1782
result/tencentBlock.ns10592.oracleGeneral.zst TwoQ cache size     5406, 1235831 req, miss ratio 0.1762, byte miss ratio 0.1762
result/tencentBlock.ns10592.oracleGeneral.zst TwoQ cache size    10812, 1235831 req, miss ratio 0.1290, byte miss ratio 0.1290
result/tencentBlock.ns10592.oracleGeneral.zst TwoQ cache size    21624, 1235831 req, miss ratio 0.0659, byte miss ratio 0.0659
result/tencentBlock.ns10592.oracleGeneral.zst TwoQ cache size    43248, 1235831 req, miss ratio 0.0589, byte miss ratio 0.0589
result/tencentBlock.ns10592.oracleGeneral.zst S4LRU(25:25:25:25) cache size       54, 1235831 req, miss ratio 0.2739, byte miss ratio 0.2739
result/tencentBlock.ns10592.oracleGeneral.zst S4LRU(25:25:25:25) cache size      162, 1235831 req, miss ratio 0.2481, byte miss ratio 0.2481
result/tencentBlock.ns10592.oracleGeneral.zst S4LRU(25:25:25:25) cache size      540, 1235831 req, miss ratio 0.1842, byte miss ratio 0.1842
result/tencentBlock.ns10592.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1621, 1235831 req, miss ratio 0.1788, byte miss ratio 0.1788
result/tencentBlock.ns10592.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5406, 1235831 req, miss ratio 0.1646, byte miss ratio 0.1646
result/tencentBlock.ns10592.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10812, 1235831 req, miss ratio 0.1427, byte miss ratio 0.1427
result/tencentBlock.ns10592.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21624, 1235831 req, miss ratio 0.0880, byte miss ratio 0.0880
result/tencentBlock.ns10592.oracleGeneral.zst S4LRU(25:25:25:25) cache size    43248, 1235831 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d cache size       54, 1235831 req, miss ratio 0.2635, byte miss ratio 0.2635
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d cache size      162, 1235831 req, miss ratio 0.1873, byte miss ratio 0.1873
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d cache size      540, 1235831 req, miss ratio 0.1811, byte miss ratio 0.1811
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d cache size     1621, 1235831 req, miss ratio 0.1774, byte miss ratio 0.1774
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d cache size     5406, 1235831 req, miss ratio 0.1645, byte miss ratio 0.1645
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d cache size    10812, 1235831 req, miss ratio 0.1353, byte miss ratio 0.1353
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d cache size    21624, 1235831 req, miss ratio 0.0669, byte miss ratio 0.0669
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d cache size    43248, 1235831 req, miss ratio 0.0457, byte miss ratio 0.0457
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO cache size       54, 1235831 req, miss ratio 0.2663, byte miss ratio 0.2663
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO cache size      162, 1235831 req, miss ratio 0.1892, byte miss ratio 0.1892
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO cache size      540, 1235831 req, miss ratio 0.1811, byte miss ratio 0.1811
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO cache size     1621, 1235831 req, miss ratio 0.1774, byte miss ratio 0.1774
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO cache size     5406, 1235831 req, miss ratio 0.1645, byte miss ratio 0.1645
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO cache size    10812, 1235831 req, miss ratio 0.1382, byte miss ratio 0.1382
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO cache size    21624, 1235831 req, miss ratio 0.0662, byte miss ratio 0.0662
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO cache size    43248, 1235831 req, miss ratio 0.0457, byte miss ratio 0.0457
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       54, 1235831 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      162, 1235831 req, miss ratio 0.3184, byte miss ratio 0.3184
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      540, 1235831 req, miss ratio 0.2276, byte miss ratio 0.2276
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1621, 1235831 req, miss ratio 0.1839, byte miss ratio 0.1839
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5406, 1235831 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10812, 1235831 req, miss ratio 0.1070, byte miss ratio 0.1070
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21624, 1235831 req, miss ratio 0.0538, byte miss ratio 0.0538
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    43248, 1235831 req, miss ratio 0.0462, byte miss ratio 0.0462
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       54, 1235831 req, miss ratio 0.2727, byte miss ratio 0.2727
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      162, 1235831 req, miss ratio 0.1921, byte miss ratio 0.1921
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      540, 1235831 req, miss ratio 0.1801, byte miss ratio 0.1801
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1621, 1235831 req, miss ratio 0.1713, byte miss ratio 0.1713
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5406, 1235831 req, miss ratio 0.1433, byte miss ratio 0.1433
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10812, 1235831 req, miss ratio 0.1107, byte miss ratio 0.1107
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21624, 1235831 req, miss ratio 0.0561, byte miss ratio 0.0561
result/tencentBlock.ns10592.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    43248, 1235831 req, miss ratio 0.0438, byte miss ratio 0.0438
