result/tencentBlock.ns23689.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1443652, 14503139 req, miss ratio 0.2566, byte miss ratio 0.2566
result/tencentBlock.ns23689.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2887304, 14503139 req, miss ratio 0.2506, byte miss ratio 0.2506
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO cache size     3609, 14503139 req, miss ratio 0.6241, byte miss ratio 0.6241
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO cache size    10827, 14503139 req, miss ratio 0.6054, byte miss ratio 0.6054
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO cache size    36091, 14503139 req, miss ratio 0.4013, byte miss ratio 0.4013
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO cache size   108273, 14503139 req, miss ratio 0.2893, byte miss ratio 0.2893
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO cache size   360913, 14503139 req, miss ratio 0.2679, byte miss ratio 0.2679
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO cache size   721826, 14503139 req, miss ratio 0.2587, byte miss ratio 0.2587
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO cache size  1443652, 14503139 req, miss ratio 0.2500, byte miss ratio 0.2500
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO cache size  2887304, 14503139 req, miss ratio 0.2490, byte miss ratio 0.2490
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d cache size     3609, 14503139 req, miss ratio 0.6214, byte miss ratio 0.6214
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d cache size    10827, 14503139 req, miss ratio 0.6031, byte miss ratio 0.6031
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d cache size    36091, 14503139 req, miss ratio 0.4455, byte miss ratio 0.4455
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d cache size   108273, 14503139 req, miss ratio 0.2875, byte miss ratio 0.2875
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d cache size   360913, 14503139 req, miss ratio 0.2679, byte miss ratio 0.2679
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d cache size   721826, 14503139 req, miss ratio 0.2587, byte miss ratio 0.2587
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d cache size  1443652, 14503139 req, miss ratio 0.2500, byte miss ratio 0.2500
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d cache size  2887304, 14503139 req, miss ratio 0.2490, byte miss ratio 0.2490
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3609, 14503139 req, miss ratio 0.6461, byte miss ratio 0.6461
result/tencentBlock.ns23689.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10827, 14503139 req, miss ratio 0.5820, byte miss ratio 0.5820
