result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size       73, 2071033 req, miss ratio 0.3280, byte miss ratio 0.3280
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size      221, 2071033 req, miss ratio 0.2497, byte miss ratio 0.2497
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size      738, 2071033 req, miss ratio 0.2137, byte miss ratio 0.2137
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size     2216, 2071033 req, miss ratio 0.1921, byte miss ratio 0.1921
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size     7387, 2071033 req, miss ratio 0.1448, byte miss ratio 0.1448
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size    14775, 2071033 req, miss ratio 0.1247, byte miss ratio 0.1247
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size    29550, 2071033 req, miss ratio 0.0564, byte miss ratio 0.0564
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size    59101, 2071033 req, miss ratio 0.0364, byte miss ratio 0.0364
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size       73, 2071033 req, miss ratio 0.3152, byte miss ratio 0.3152
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size      221, 2071033 req, miss ratio 0.2429, byte miss ratio 0.2429
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size      738, 2071033 req, miss ratio 0.2093, byte miss ratio 0.2093
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size     2216, 2071033 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size     7387, 2071033 req, miss ratio 0.1358, byte miss ratio 0.1358
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size    14775, 2071033 req, miss ratio 0.1115, byte miss ratio 0.1115
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size    29550, 2071033 req, miss ratio 0.0506, byte miss ratio 0.0506
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size    59101, 2071033 req, miss ratio 0.0366, byte miss ratio 0.0366
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d-1 cache size       73, 2071033 req, miss ratio 0.2948, byte miss ratio 0.2948
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d-1 cache size      221, 2071033 req, miss ratio 0.2242, byte miss ratio 0.2242
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d-1 cache size      738, 2071033 req, miss ratio 0.1994, byte miss ratio 0.1994
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d-1 cache size     2216, 2071033 req, miss ratio 0.1749, byte miss ratio 0.1749
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d-1 cache size     7387, 2071033 req, miss ratio 0.1253, byte miss ratio 0.1253
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d-1 cache size    14775, 2071033 req, miss ratio 0.0997, byte miss ratio 0.0997
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d-1 cache size    29550, 2071033 req, miss ratio 0.0501, byte miss ratio 0.0501
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d-1 cache size    59101, 2071033 req, miss ratio 0.0364, byte miss ratio 0.0364
result/tencentBlock.ns4713.oracleGeneral.zst LRB cache size       73, 2071033 req, miss ratio 0.3781, byte miss ratio 0.3781
result/tencentBlock.ns4713.oracleGeneral.zst LRB cache size      221, 2071033 req, miss ratio 0.2380, byte miss ratio 0.2380
result/tencentBlock.ns4713.oracleGeneral.zst LRB cache size      738, 2071033 req, miss ratio 0.1998, byte miss ratio 0.1998
result/tencentBlock.ns4713.oracleGeneral.zst LRB cache size     2216, 2071033 req, miss ratio 0.1642, byte miss ratio 0.1642
result/tencentBlock.ns4713.oracleGeneral.zst LRB cache size     7387, 2071033 req, miss ratio 0.1172, byte miss ratio 0.1172
result/tencentBlock.ns4713.oracleGeneral.zst LRB cache size    14775, 2071033 req, miss ratio 0.0923, byte miss ratio 0.0923
result/tencentBlock.ns4713.oracleGeneral.zst LRB cache size    29550, 2071033 req, miss ratio 0.0496, byte miss ratio 0.0496
result/tencentBlock.ns4713.oracleGeneral.zst LRB cache size    59101, 2071033 req, miss ratio 0.0384, byte miss ratio 0.0384
result/tencentBlock.ns4713.oracleGeneral.zst S4LRU(25:25:25:25) cache size       73, 2071033 req, miss ratio 0.3123, byte miss ratio 0.3123
result/tencentBlock.ns4713.oracleGeneral.zst S4LRU(25:25:25:25) cache size      221, 2071033 req, miss ratio 0.2550, byte miss ratio 0.2550
result/tencentBlock.ns4713.oracleGeneral.zst S4LRU(25:25:25:25) cache size      738, 2071033 req, miss ratio 0.2052, byte miss ratio 0.2052
result/tencentBlock.ns4713.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2216, 2071033 req, miss ratio 0.1905, byte miss ratio 0.1905
result/tencentBlock.ns4713.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7387, 2071033 req, miss ratio 0.1354, byte miss ratio 0.1354
result/tencentBlock.ns4713.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14775, 2071033 req, miss ratio 0.1088, byte miss ratio 0.1088
result/tencentBlock.ns4713.oracleGeneral.zst S4LRU(25:25:25:25) cache size    29550, 2071033 req, miss ratio 0.0519, byte miss ratio 0.0519
result/tencentBlock.ns4713.oracleGeneral.zst S4LRU(25:25:25:25) cache size    59101, 2071033 req, miss ratio 0.0365, byte miss ratio 0.0365
result/tencentBlock.ns4713.oracleGeneral.zst B-LRU cache size       73, 2071033 req, miss ratio 0.3432, byte miss ratio 0.3432
result/tencentBlock.ns4713.oracleGeneral.zst B-LRU cache size      221, 2071033 req, miss ratio 0.2589, byte miss ratio 0.2589
result/tencentBlock.ns4713.oracleGeneral.zst B-LRU cache size      738, 2071033 req, miss ratio 0.2239, byte miss ratio 0.2239
result/tencentBlock.ns4713.oracleGeneral.zst B-LRU cache size     2216, 2071033 req, miss ratio 0.2007, byte miss ratio 0.2007
result/tencentBlock.ns4713.oracleGeneral.zst B-LRU cache size     7387, 2071033 req, miss ratio 0.1559, byte miss ratio 0.1559
result/tencentBlock.ns4713.oracleGeneral.zst B-LRU cache size    14775, 2071033 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns4713.oracleGeneral.zst B-LRU cache size    29550, 2071033 req, miss ratio 0.0663, byte miss ratio 0.0663
result/tencentBlock.ns4713.oracleGeneral.zst B-LRU cache size    59101, 2071033 req, miss ratio 0.0593, byte miss ratio 0.0593
result/tencentBlock.ns4713.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       73, 2071033 req, miss ratio 0.3955, byte miss ratio 0.3955
result/tencentBlock.ns4713.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      221, 2071033 req, miss ratio 0.2666, byte miss ratio 0.2666
result/tencentBlock.ns4713.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      738, 2071033 req, miss ratio 0.2173, byte miss ratio 0.2173
result/tencentBlock.ns4713.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2216, 2071033 req, miss ratio 0.1933, byte miss ratio 0.1933
result/tencentBlock.ns4713.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7387, 2071033 req, miss ratio 0.1547, byte miss ratio 0.1547
result/tencentBlock.ns4713.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14775, 2071033 req, miss ratio 0.1221, byte miss ratio 0.1221
result/tencentBlock.ns4713.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    29550, 2071033 req, miss ratio 0.0723, byte miss ratio 0.0723
result/tencentBlock.ns4713.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    59101, 2071033 req, miss ratio 0.0453, byte miss ratio 0.0453
result/tencentBlock.ns4713.oracleGeneral.zst TwoQ cache size       73, 2071033 req, miss ratio 0.2993, byte miss ratio 0.2993
result/tencentBlock.ns4713.oracleGeneral.zst TwoQ cache size      221, 2071033 req, miss ratio 0.2231, byte miss ratio 0.2231
result/tencentBlock.ns4713.oracleGeneral.zst TwoQ cache size      738, 2071033 req, miss ratio 0.2006, byte miss ratio 0.2006
result/tencentBlock.ns4713.oracleGeneral.zst TwoQ cache size     2216, 2071033 req, miss ratio 0.1650, byte miss ratio 0.1650
result/tencentBlock.ns4713.oracleGeneral.zst TwoQ cache size     7387, 2071033 req, miss ratio 0.1310, byte miss ratio 0.1310
result/tencentBlock.ns4713.oracleGeneral.zst TwoQ cache size    14775, 2071033 req, miss ratio 0.1008, byte miss ratio 0.1008
result/tencentBlock.ns4713.oracleGeneral.zst TwoQ cache size    29550, 2071033 req, miss ratio 0.0551, byte miss ratio 0.0551
result/tencentBlock.ns4713.oracleGeneral.zst TwoQ cache size    59101, 2071033 req, miss ratio 0.0469, byte miss ratio 0.0469
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d cache size       73, 2071033 req, miss ratio 0.2980, byte miss ratio 0.2980
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d cache size      221, 2071033 req, miss ratio 0.2258, byte miss ratio 0.2258
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d cache size      738, 2071033 req, miss ratio 0.1992, byte miss ratio 0.1992
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d cache size     2216, 2071033 req, miss ratio 0.1724, byte miss ratio 0.1724
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d cache size     7387, 2071033 req, miss ratio 0.1252, byte miss ratio 0.1252
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d cache size    14775, 2071033 req, miss ratio 0.0988, byte miss ratio 0.0988
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d cache size    29550, 2071033 req, miss ratio 0.0518, byte miss ratio 0.0518
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d cache size    59101, 2071033 req, miss ratio 0.0374, byte miss ratio 0.0374
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO cache size       73, 2071033 req, miss ratio 0.3017, byte miss ratio 0.3017
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO cache size      221, 2071033 req, miss ratio 0.2249, byte miss ratio 0.2249
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO cache size      738, 2071033 req, miss ratio 0.2006, byte miss ratio 0.2006
