result/tencentBlock.ns7250.oracleGeneral.zst LRB cache size    35583, 7021432 req, miss ratio 0.0725, byte miss ratio 0.0725
result/tencentBlock.ns7250.oracleGeneral.zst LRB cache size    71167, 7021432 req, miss ratio 0.0474, byte miss ratio 0.0474
result/tencentBlock.ns7250.oracleGeneral.zst LRB cache size   142335, 7021432 req, miss ratio 0.0267, byte miss ratio 0.0267
result/tencentBlock.ns7250.oracleGeneral.zst S4LRU(25:25:25:25) cache size      177, 7021432 req, miss ratio 0.3592, byte miss ratio 0.3592
result/tencentBlock.ns7250.oracleGeneral.zst S4LRU(25:25:25:25) cache size      533, 7021432 req, miss ratio 0.1626, byte miss ratio 0.1626
result/tencentBlock.ns7250.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1779, 7021432 req, miss ratio 0.1238, byte miss ratio 0.1238
result/tencentBlock.ns7250.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5337, 7021432 req, miss ratio 0.1078, byte miss ratio 0.1078
result/tencentBlock.ns7250.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17791, 7021432 req, miss ratio 0.0951, byte miss ratio 0.0951
result/tencentBlock.ns7250.oracleGeneral.zst S4LRU(25:25:25:25) cache size    35583, 7021432 req, miss ratio 0.0856, byte miss ratio 0.0856
result/tencentBlock.ns7250.oracleGeneral.zst S4LRU(25:25:25:25) cache size    71167, 7021432 req, miss ratio 0.0657, byte miss ratio 0.0657
result/tencentBlock.ns7250.oracleGeneral.zst S4LRU(25:25:25:25) cache size   142335, 7021432 req, miss ratio 0.0267, byte miss ratio 0.0267
result/tencentBlock.ns7250.oracleGeneral.zst TwoQ cache size      177, 7021432 req, miss ratio 0.3042, byte miss ratio 0.3042
result/tencentBlock.ns7250.oracleGeneral.zst TwoQ cache size      533, 7021432 req, miss ratio 0.1645, byte miss ratio 0.1645
result/tencentBlock.ns7250.oracleGeneral.zst TwoQ cache size     1779, 7021432 req, miss ratio 0.1167, byte miss ratio 0.1167
result/tencentBlock.ns7250.oracleGeneral.zst TwoQ cache size     5337, 7021432 req, miss ratio 0.1036, byte miss ratio 0.1036
result/tencentBlock.ns7250.oracleGeneral.zst TwoQ cache size    17791, 7021432 req, miss ratio 0.0889, byte miss ratio 0.0889
result/tencentBlock.ns7250.oracleGeneral.zst TwoQ cache size    35583, 7021432 req, miss ratio 0.0816, byte miss ratio 0.0816
result/tencentBlock.ns7250.oracleGeneral.zst TwoQ cache size    71167, 7021432 req, miss ratio 0.0496, byte miss ratio 0.0496
result/tencentBlock.ns7250.oracleGeneral.zst TwoQ cache size   142335, 7021432 req, miss ratio 0.0311, byte miss ratio 0.0311
result/tencentBlock.ns7250.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      177, 7021432 req, miss ratio 0.4190, byte miss ratio 0.4190
result/tencentBlock.ns7250.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      533, 7021432 req, miss ratio 0.1937, byte miss ratio 0.1937
result/tencentBlock.ns7250.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1779, 7021432 req, miss ratio 0.1314, byte miss ratio 0.1314
result/tencentBlock.ns7250.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5337, 7021432 req, miss ratio 0.1136, byte miss ratio 0.1136
result/tencentBlock.ns7250.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17791, 7021432 req, miss ratio 0.0998, byte miss ratio 0.0998
result/tencentBlock.ns7250.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    35583, 7021432 req, miss ratio 0.0877, byte miss ratio 0.0877
result/tencentBlock.ns7250.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    71167, 7021432 req, miss ratio 0.0680, byte miss ratio 0.0680
result/tencentBlock.ns7250.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   142335, 7021432 req, miss ratio 0.0308, byte miss ratio 0.0308
result/tencentBlock.ns7250.oracleGeneral.zst B-LRU cache size      177, 7021432 req, miss ratio 0.4200, byte miss ratio 0.4200
result/tencentBlock.ns7250.oracleGeneral.zst B-LRU cache size      533, 7021432 req, miss ratio 0.1835, byte miss ratio 0.1835
result/tencentBlock.ns7250.oracleGeneral.zst B-LRU cache size     1779, 7021432 req, miss ratio 0.1345, byte miss ratio 0.1345
result/tencentBlock.ns7250.oracleGeneral.zst B-LRU cache size     5337, 7021432 req, miss ratio 0.1211, byte miss ratio 0.1211
result/tencentBlock.ns7250.oracleGeneral.zst B-LRU cache size    17791, 7021432 req, miss ratio 0.1053, byte miss ratio 0.1053
result/tencentBlock.ns7250.oracleGeneral.zst B-LRU cache size    35583, 7021432 req, miss ratio 0.0987, byte miss ratio 0.0987
result/tencentBlock.ns7250.oracleGeneral.zst B-LRU cache size    71167, 7021432 req, miss ratio 0.0653, byte miss ratio 0.0653
result/tencentBlock.ns7250.oracleGeneral.zst B-LRU cache size   142335, 7021432 req, miss ratio 0.0479, byte miss ratio 0.0479
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO cache size      177, 7021432 req, miss ratio 0.2966, byte miss ratio 0.2966
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO cache size      533, 7021432 req, miss ratio 0.1570, byte miss ratio 0.1570
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO cache size     1779, 7021432 req, miss ratio 0.1172, byte miss ratio 0.1172
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO cache size     5337, 7021432 req, miss ratio 0.1034, byte miss ratio 0.1034
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO cache size    17791, 7021432 req, miss ratio 0.0903, byte miss ratio 0.0903
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO cache size    35583, 7021432 req, miss ratio 0.0835, byte miss ratio 0.0835
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO cache size    71167, 7021432 req, miss ratio 0.0530, byte miss ratio 0.0530
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO cache size   142335, 7021432 req, miss ratio 0.0271, byte miss ratio 0.0271
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d cache size      177, 7021432 req, miss ratio 0.3739, byte miss ratio 0.3739
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d cache size      533, 7021432 req, miss ratio 0.1715, byte miss ratio 0.1715
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d cache size     1779, 7021432 req, miss ratio 0.1169, byte miss ratio 0.1169
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d cache size     5337, 7021432 req, miss ratio 0.1032, byte miss ratio 0.1032
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d cache size    17791, 7021432 req, miss ratio 0.0903, byte miss ratio 0.0903
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d cache size    35583, 7021432 req, miss ratio 0.0820, byte miss ratio 0.0820
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d cache size    71167, 7021432 req, miss ratio 0.0539, byte miss ratio 0.0539
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d cache size   142335, 7021432 req, miss ratio 0.0271, byte miss ratio 0.0271
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      177, 7021432 req, miss ratio 0.2952, byte miss ratio 0.2952
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      533, 7021432 req, miss ratio 0.1993, byte miss ratio 0.1993
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1779, 7021432 req, miss ratio 0.1491, byte miss ratio 0.1491
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5337, 7021432 req, miss ratio 0.1071, byte miss ratio 0.1071
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17791, 7021432 req, miss ratio 0.0886, byte miss ratio 0.0886
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    35583, 7021432 req, miss ratio 0.0705, byte miss ratio 0.0705
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    71167, 7021432 req, miss ratio 0.0454, byte miss ratio 0.0454
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   142335, 7021432 req, miss ratio 0.0262, byte miss ratio 0.0262
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      177, 7021432 req, miss ratio 0.3333, byte miss ratio 0.3333
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      533, 7021432 req, miss ratio 0.1766, byte miss ratio 0.1766
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1779, 7021432 req, miss ratio 0.1171, byte miss ratio 0.1171
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5337, 7021432 req, miss ratio 0.0999, byte miss ratio 0.0999
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17791, 7021432 req, miss ratio 0.0868, byte miss ratio 0.0868
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    35583, 7021432 req, miss ratio 0.0712, byte miss ratio 0.0712
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    71167, 7021432 req, miss ratio 0.0464, byte miss ratio 0.0464
result/tencentBlock.ns7250.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   142335, 7021432 req, miss ratio 0.0275, byte miss ratio 0.0275
