result/tencentBlock.ns5836.oracleGeneral.zst S4LRU(25:25:25:25) cache size      146, 1403090 req, miss ratio 0.4984, byte miss ratio 0.4984
result/tencentBlock.ns5836.oracleGeneral.zst S4LRU(25:25:25:25) cache size      439, 1403090 req, miss ratio 0.4549, byte miss ratio 0.4549
result/tencentBlock.ns5836.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1464, 1403090 req, miss ratio 0.4423, byte miss ratio 0.4423
result/tencentBlock.ns5836.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4394, 1403090 req, miss ratio 0.4405, byte miss ratio 0.4405
result/tencentBlock.ns5836.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14646, 1403090 req, miss ratio 0.4332, byte miss ratio 0.4332
result/tencentBlock.ns5836.oracleGeneral.zst S4LRU(25:25:25:25) cache size    29293, 1403090 req, miss ratio 0.4085, byte miss ratio 0.4085
result/tencentBlock.ns5836.oracleGeneral.zst S4LRU(25:25:25:25) cache size    58587, 1403090 req, miss ratio 0.3071, byte miss ratio 0.3071
result/tencentBlock.ns5836.oracleGeneral.zst S4LRU(25:25:25:25) cache size   117175, 1403090 req, miss ratio 0.1320, byte miss ratio 0.1320
result/tencentBlock.ns5836.oracleGeneral.zst TwoQ cache size      146, 1403090 req, miss ratio 0.4579, byte miss ratio 0.4579
result/tencentBlock.ns5836.oracleGeneral.zst TwoQ cache size      439, 1403090 req, miss ratio 0.4451, byte miss ratio 0.4451
result/tencentBlock.ns5836.oracleGeneral.zst TwoQ cache size     1464, 1403090 req, miss ratio 0.4414, byte miss ratio 0.4414
result/tencentBlock.ns5836.oracleGeneral.zst TwoQ cache size     4394, 1403090 req, miss ratio 0.4399, byte miss ratio 0.4399
result/tencentBlock.ns5836.oracleGeneral.zst TwoQ cache size    14646, 1403090 req, miss ratio 0.3945, byte miss ratio 0.3945
result/tencentBlock.ns5836.oracleGeneral.zst TwoQ cache size    29293, 1403090 req, miss ratio 0.3457, byte miss ratio 0.3457
result/tencentBlock.ns5836.oracleGeneral.zst TwoQ cache size    58587, 1403090 req, miss ratio 0.2611, byte miss ratio 0.2611
result/tencentBlock.ns5836.oracleGeneral.zst TwoQ cache size   117175, 1403090 req, miss ratio 0.1420, byte miss ratio 0.1420
result/tencentBlock.ns5836.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      146, 1403090 req, miss ratio 0.5251, byte miss ratio 0.5251
result/tencentBlock.ns5836.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      439, 1403090 req, miss ratio 0.4593, byte miss ratio 0.4593
result/tencentBlock.ns5836.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1464, 1403090 req, miss ratio 0.4444, byte miss ratio 0.4444
result/tencentBlock.ns5836.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4394, 1403090 req, miss ratio 0.4410, byte miss ratio 0.4410
result/tencentBlock.ns5836.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14646, 1403090 req, miss ratio 0.4337, byte miss ratio 0.4337
result/tencentBlock.ns5836.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    29293, 1403090 req, miss ratio 0.4052, byte miss ratio 0.4052
result/tencentBlock.ns5836.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    58587, 1403090 req, miss ratio 0.3278, byte miss ratio 0.3278
result/tencentBlock.ns5836.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   117175, 1403090 req, miss ratio 0.1431, byte miss ratio 0.1431
result/tencentBlock.ns5836.oracleGeneral.zst B-LRU cache size      146, 1403090 req, miss ratio 0.5409, byte miss ratio 0.5409
result/tencentBlock.ns5836.oracleGeneral.zst B-LRU cache size      439, 1403090 req, miss ratio 0.4919, byte miss ratio 0.4919
result/tencentBlock.ns5836.oracleGeneral.zst B-LRU cache size     1464, 1403090 req, miss ratio 0.4850, byte miss ratio 0.4850
result/tencentBlock.ns5836.oracleGeneral.zst B-LRU cache size     4394, 1403090 req, miss ratio 0.4822, byte miss ratio 0.4822
result/tencentBlock.ns5836.oracleGeneral.zst B-LRU cache size    14646, 1403090 req, miss ratio 0.4757, byte miss ratio 0.4757
result/tencentBlock.ns5836.oracleGeneral.zst B-LRU cache size    29293, 1403090 req, miss ratio 0.4345, byte miss ratio 0.4345
result/tencentBlock.ns5836.oracleGeneral.zst B-LRU cache size    58587, 1403090 req, miss ratio 0.3304, byte miss ratio 0.3304
result/tencentBlock.ns5836.oracleGeneral.zst B-LRU cache size   117175, 1403090 req, miss ratio 0.2125, byte miss ratio 0.2125
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d cache size      146, 1403090 req, miss ratio 0.4611, byte miss ratio 0.4611
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d cache size      439, 1403090 req, miss ratio 0.4445, byte miss ratio 0.4445
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d cache size     1464, 1403090 req, miss ratio 0.4412, byte miss ratio 0.4412
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d cache size     4394, 1403090 req, miss ratio 0.4400, byte miss ratio 0.4400
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d cache size    14646, 1403090 req, miss ratio 0.4044, byte miss ratio 0.4044
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d cache size    29293, 1403090 req, miss ratio 0.3550, byte miss ratio 0.3550
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d cache size    58587, 1403090 req, miss ratio 0.2850, byte miss ratio 0.2850
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d cache size   117175, 1403090 req, miss ratio 0.1279, byte miss ratio 0.1279
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO cache size      146, 1403090 req, miss ratio 0.4647, byte miss ratio 0.4647
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO cache size      439, 1403090 req, miss ratio 0.4468, byte miss ratio 0.4468
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO cache size     1464, 1403090 req, miss ratio 0.4412, byte miss ratio 0.4412
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO cache size     4394, 1403090 req, miss ratio 0.4400, byte miss ratio 0.4400
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO cache size    14646, 1403090 req, miss ratio 0.4046, byte miss ratio 0.4046
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO cache size    29293, 1403090 req, miss ratio 0.3554, byte miss ratio 0.3554
