result/cdn2_colo28.ns1004.oracleGeneral.zst LHD cache size   156925, 4558740 req, miss ratio 0.0924, byte miss ratio 0.0924
result/cdn2_colo28.ns1004.oracleGeneral.zst LHD cache size   313850, 4558740 req, miss ratio 0.0866, byte miss ratio 0.0866
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-1 cache size      392, 4558740 req, miss ratio 0.1715, byte miss ratio 0.1715
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-1 cache size     1176, 4558740 req, miss ratio 0.1598, byte miss ratio 0.1598
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-1 cache size     3923, 4558740 req, miss ratio 0.1435, byte miss ratio 0.1435
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-1 cache size    11769, 4558740 req, miss ratio 0.1254, byte miss ratio 0.1254
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-1 cache size    39231, 4558740 req, miss ratio 0.1051, byte miss ratio 0.1051
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-1 cache size    78462, 4558740 req, miss ratio 0.0961, byte miss ratio 0.0961
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-1 cache size   156925, 4558740 req, miss ratio 0.0899, byte miss ratio 0.0899
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-1 cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_colo28.ns1004.oracleGeneral.zst Cacheus cache size      392, 4558740 req, miss ratio 0.1752, byte miss ratio 0.1752
result/cdn2_colo28.ns1004.oracleGeneral.zst Cacheus cache size     1176, 4558740 req, miss ratio 0.1640, byte miss ratio 0.1640
result/cdn2_colo28.ns1004.oracleGeneral.zst Cacheus cache size     3923, 4558740 req, miss ratio 0.1480, byte miss ratio 0.1480
result/cdn2_colo28.ns1004.oracleGeneral.zst Cacheus cache size    11769, 4558740 req, miss ratio 0.1304, byte miss ratio 0.1304
result/cdn2_colo28.ns1004.oracleGeneral.zst Cacheus cache size    39231, 4558740 req, miss ratio 0.1084, byte miss ratio 0.1084
result/cdn2_colo28.ns1004.oracleGeneral.zst Cacheus cache size    78462, 4558740 req, miss ratio 0.0982, byte miss ratio 0.0982
result/cdn2_colo28.ns1004.oracleGeneral.zst Cacheus cache size   156925, 4558740 req, miss ratio 0.0908, byte miss ratio 0.0908
result/cdn2_colo28.ns1004.oracleGeneral.zst Cacheus cache size   313850, 4558740 req, miss ratio 0.0876, byte miss ratio 0.0876
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d-1 cache size      392, 4558740 req, miss ratio 0.1715, byte miss ratio 0.1715
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d-1 cache size     1176, 4558740 req, miss ratio 0.1598, byte miss ratio 0.1598
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d-1 cache size     3923, 4558740 req, miss ratio 0.1436, byte miss ratio 0.1436
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d-1 cache size    11769, 4558740 req, miss ratio 0.1254, byte miss ratio 0.1254
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d-1 cache size    39231, 4558740 req, miss ratio 0.1051, byte miss ratio 0.1051
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d-1 cache size    78462, 4558740 req, miss ratio 0.0961, byte miss ratio 0.0961
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d-1 cache size   156925, 4558740 req, miss ratio 0.0899, byte miss ratio 0.0899
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d-1 cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_colo28.ns1004.oracleGeneral.zst LRB cache size      392, 4558740 req, miss ratio 0.1697, byte miss ratio 0.1697
