result/tencentBlock.ns9356.oracleGeneral.zst LHD cache size      155, 1185760 req, miss ratio 0.6013, byte miss ratio 0.6013
result/tencentBlock.ns9356.oracleGeneral.zst LHD cache size      465, 1185760 req, miss ratio 0.5723, byte miss ratio 0.5723
result/tencentBlock.ns9356.oracleGeneral.zst LHD cache size     1550, 1185760 req, miss ratio 0.5079, byte miss ratio 0.5079
result/tencentBlock.ns9356.oracleGeneral.zst LHD cache size     4650, 1185760 req, miss ratio 0.4946, byte miss ratio 0.4946
result/tencentBlock.ns9356.oracleGeneral.zst LHD cache size    15501, 1185760 req, miss ratio 0.4712, byte miss ratio 0.4712
result/tencentBlock.ns9356.oracleGeneral.zst LHD cache size    31003, 1185760 req, miss ratio 0.4089, byte miss ratio 0.4089
result/tencentBlock.ns9356.oracleGeneral.zst LHD cache size    62007, 1185760 req, miss ratio 0.2853, byte miss ratio 0.2853
result/tencentBlock.ns9356.oracleGeneral.zst LHD cache size   124014, 1185760 req, miss ratio 0.1336, byte miss ratio 0.1336
result/tencentBlock.ns9356.oracleGeneral.zst clock2 cache size      155, 1185760 req, miss ratio 0.6198, byte miss ratio 0.6198
result/tencentBlock.ns9356.oracleGeneral.zst clock2 cache size      465, 1185760 req, miss ratio 0.5789, byte miss ratio 0.5789
result/tencentBlock.ns9356.oracleGeneral.zst clock2 cache size     1550, 1185760 req, miss ratio 0.5103, byte miss ratio 0.5103
result/tencentBlock.ns9356.oracleGeneral.zst clock2 cache size     4650, 1185760 req, miss ratio 0.4930, byte miss ratio 0.4930
result/tencentBlock.ns9356.oracleGeneral.zst clock2 cache size    15501, 1185760 req, miss ratio 0.4823, byte miss ratio 0.4823
result/tencentBlock.ns9356.oracleGeneral.zst clock2 cache size    31003, 1185760 req, miss ratio 0.4188, byte miss ratio 0.4188
result/tencentBlock.ns9356.oracleGeneral.zst clock2 cache size    62007, 1185760 req, miss ratio 0.3304, byte miss ratio 0.3304
result/tencentBlock.ns9356.oracleGeneral.zst clock2 cache size   124014, 1185760 req, miss ratio 0.1321, byte miss ratio 0.1321
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d-1 cache size      155, 1185760 req, miss ratio 0.5881, byte miss ratio 0.5881
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d-1 cache size      465, 1185760 req, miss ratio 0.5490, byte miss ratio 0.5490
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d-1 cache size     1550, 1185760 req, miss ratio 0.5016, byte miss ratio 0.5016
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d-1 cache size     4650, 1185760 req, miss ratio 0.4869, byte miss ratio 0.4869
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d-1 cache size    15501, 1185760 req, miss ratio 0.4421, byte miss ratio 0.4421
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d-1 cache size    31003, 1185760 req, miss ratio 0.4023, byte miss ratio 0.4023
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d-1 cache size    62007, 1185760 req, miss ratio 0.2960, byte miss ratio 0.2960
result/tencentBlock.ns9356.oracleGeneral.zst S3FIFO-d-1 cache size   124014, 1185760 req, miss ratio 0.1325, byte miss ratio 0.1325
result/tencentBlock.ns9356.oracleGeneral.zst LRB cache size      155, 1185760 req, miss ratio 0.6121, byte miss ratio 0.6121
result/tencentBlock.ns9356.oracleGeneral.zst LRB cache size      465, 1185760 req, miss ratio 0.5516, byte miss ratio 0.5516
result/tencentBlock.ns9356.oracleGeneral.zst LRB cache size     1550, 1185760 req, miss ratio 0.5171, byte miss ratio 0.5171
result/tencentBlock.ns9356.oracleGeneral.zst LRB cache size     4650, 1185760 req, miss ratio 0.4896, byte miss ratio 0.4896
result/tencentBlock.ns9356.oracleGeneral.zst LRB cache size    15501, 1185760 req, miss ratio 0.4363, byte miss ratio 0.4363
result/tencentBlock.ns9356.oracleGeneral.zst LRB cache size    31003, 1185760 req, miss ratio 0.3628, byte miss ratio 0.3628
result/tencentBlock.ns9356.oracleGeneral.zst LRB cache size    62007, 1185760 req, miss ratio 0.2365, byte miss ratio 0.2365
result/tencentBlock.ns9356.oracleGeneral.zst LRB cache size   124014, 1185760 req, miss ratio 0.1319, byte miss ratio 0.1319
result/tencentBlock.ns9356.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      155, 1185760 req, miss ratio 0.6429, byte miss ratio 0.6429
result/tencentBlock.ns9356.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      465, 1185760 req, miss ratio 0.5782, byte miss ratio 0.5782
result/tencentBlock.ns9356.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1550, 1185760 req, miss ratio 0.5220, byte miss ratio 0.5220
result/tencentBlock.ns9356.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4650, 1185760 req, miss ratio 0.4981, byte miss ratio 0.4981
result/tencentBlock.ns9356.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15501, 1185760 req, miss ratio 0.4718, byte miss ratio 0.4718
result/tencentBlock.ns9356.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    31003, 1185760 req, miss ratio 0.4222, byte miss ratio 0.4222
result/tencentBlock.ns9356.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    62007, 1185760 req, miss ratio 0.2920, byte miss ratio 0.2920
result/tencentBlock.ns9356.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   124014, 1185760 req, miss ratio 0.1668, byte miss ratio 0.1668
result/tencentBlock.ns9356.oracleGeneral.zst S4LRU(25:25:25:25) cache size      155, 1185760 req, miss ratio 0.6377, byte miss ratio 0.6377
result/tencentBlock.ns9356.oracleGeneral.zst S4LRU(25:25:25:25) cache size      465, 1185760 req, miss ratio 0.5765, byte miss ratio 0.5765
result/tencentBlock.ns9356.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1550, 1185760 req, miss ratio 0.5588, byte miss ratio 0.5588
result/tencentBlock.ns9356.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4650, 1185760 req, miss ratio 0.4914, byte miss ratio 0.4914
result/tencentBlock.ns9356.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15501, 1185760 req, miss ratio 0.4675, byte miss ratio 0.4675
result/tencentBlock.ns9356.oracleGeneral.zst S4LRU(25:25:25:25) cache size    31003, 1185760 req, miss ratio 0.4150, byte miss ratio 0.4150
result/tencentBlock.ns9356.oracleGeneral.zst S4LRU(25:25:25:25) cache size    62007, 1185760 req, miss ratio 0.2855, byte miss ratio 0.2855
result/tencentBlock.ns9356.oracleGeneral.zst S4LRU(25:25:25:25) cache size   124014, 1185760 req, miss ratio 0.1322, byte miss ratio 0.1322
result/tencentBlock.ns9356.oracleGeneral.zst B-LRU cache size      155, 1185760 req, miss ratio 0.6516, byte miss ratio 0.6516
result/tencentBlock.ns9356.oracleGeneral.zst B-LRU cache size      465, 1185760 req, miss ratio 0.6032, byte miss ratio 0.6032
result/tencentBlock.ns9356.oracleGeneral.zst B-LRU cache size     1550, 1185760 req, miss ratio 0.5400, byte miss ratio 0.5400
result/tencentBlock.ns9356.oracleGeneral.zst B-LRU cache size     4650, 1185760 req, miss ratio 0.5292, byte miss ratio 0.5292
result/tencentBlock.ns9356.oracleGeneral.zst B-LRU cache size    15501, 1185760 req, miss ratio 0.5108, byte miss ratio 0.5108
result/tencentBlock.ns9356.oracleGeneral.zst B-LRU cache size    31003, 1185760 req, miss ratio 0.4545, byte miss ratio 0.4545
result/tencentBlock.ns9356.oracleGeneral.zst B-LRU cache size    62007, 1185760 req, miss ratio 0.3260, byte miss ratio 0.3260
result/tencentBlock.ns9356.oracleGeneral.zst B-LRU cache size   124014, 1185760 req, miss ratio 0.2354, byte miss ratio 0.2354
result/tencentBlock.ns9356.oracleGeneral.zst TwoQ cache size      155, 1185760 req, miss ratio 0.6104, byte miss ratio 0.6104
