result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size   351349, 3993316 req, miss ratio 0.1178, byte miss ratio 0.1178
result/hm_0.IQI.bin.oracleGeneral.zst LRB cache size      439, 3993316 req, miss ratio 0.4966, byte miss ratio 0.4966
result/hm_0.IQI.bin.oracleGeneral.zst LRB cache size     1317, 3993316 req, miss ratio 0.4479, byte miss ratio 0.4479
result/hm_0.IQI.bin.oracleGeneral.zst LRB cache size     4391, 3993316 req, miss ratio 0.4064, byte miss ratio 0.4064
result/hm_0.IQI.bin.oracleGeneral.zst LRB cache size    13175, 3993316 req, miss ratio 0.3632, byte miss ratio 0.3632
result/hm_0.IQI.bin.oracleGeneral.zst LRB cache size    43918, 3993316 req, miss ratio 0.3011, byte miss ratio 0.3011
result/hm_0.IQI.bin.oracleGeneral.zst LRB cache size    87837, 3993316 req, miss ratio 0.2400, byte miss ratio 0.2400
result/hm_0.IQI.bin.oracleGeneral.zst LRB cache size   175674, 3993316 req, miss ratio 0.1774, byte miss ratio 0.1774
result/hm_0.IQI.bin.oracleGeneral.zst LRB cache size   351349, 3993316 req, miss ratio 0.1251, byte miss ratio 0.1251
result/hm_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size      439, 3993316 req, miss ratio 0.5010, byte miss ratio 0.5010
result/hm_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1317, 3993316 req, miss ratio 0.4644, byte miss ratio 0.4644
result/hm_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4391, 3993316 req, miss ratio 0.4121, byte miss ratio 0.4121
result/hm_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13175, 3993316 req, miss ratio 0.3717, byte miss ratio 0.3717
result/hm_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size    43918, 3993316 req, miss ratio 0.3005, byte miss ratio 0.3005
result/hm_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size    87837, 3993316 req, miss ratio 0.2419, byte miss ratio 0.2419
result/hm_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size   175674, 3993316 req, miss ratio 0.1722, byte miss ratio 0.1722
result/hm_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size   351349, 3993316 req, miss ratio 0.1207, byte miss ratio 0.1207
result/hm_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      439, 3993316 req, miss ratio 0.5239, byte miss ratio 0.5239
result/hm_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1317, 3993316 req, miss ratio 0.4798, byte miss ratio 0.4798
result/hm_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4391, 3993316 req, miss ratio 0.4310, byte miss ratio 0.4310
result/hm_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13175, 3993316 req, miss ratio 0.3843, byte miss ratio 0.3843
result/hm_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    43918, 3993316 req, miss ratio 0.3197, byte miss ratio 0.3197
result/hm_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    87837, 3993316 req, miss ratio 0.2595, byte miss ratio 0.2595
result/hm_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   175674, 3993316 req, miss ratio 0.1897, byte miss ratio 0.1897
