result/cdn2_colo28.ns2736.oracleGeneral.zst LIRS cache size     1242, 1033298 req, miss ratio 0.5431, byte miss ratio 0.5431
result/cdn2_colo28.ns2736.oracleGeneral.zst LIRS cache size     4142, 1033298 req, miss ratio 0.4932, byte miss ratio 0.4932
result/cdn2_colo28.ns2736.oracleGeneral.zst LIRS cache size    12428, 1033298 req, miss ratio 0.4706, byte miss ratio 0.4706
result/cdn2_colo28.ns2736.oracleGeneral.zst LIRS cache size    41427, 1033298 req, miss ratio 0.4511, byte miss ratio 0.4511
result/cdn2_colo28.ns2736.oracleGeneral.zst LIRS cache size    82855, 1033298 req, miss ratio 0.4364, byte miss ratio 0.4364
result/cdn2_colo28.ns2736.oracleGeneral.zst LIRS cache size   165710, 1033298 req, miss ratio 0.4196, byte miss ratio 0.4196
result/cdn2_colo28.ns2736.oracleGeneral.zst LIRS cache size   331420, 1033298 req, miss ratio 0.4023, byte miss ratio 0.4023
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO cache size      414, 1033298 req, miss ratio 0.6148, byte miss ratio 0.6148
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO cache size     1242, 1033298 req, miss ratio 0.5865, byte miss ratio 0.5865
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO cache size     4142, 1033298 req, miss ratio 0.5585, byte miss ratio 0.5585
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO cache size    12428, 1033298 req, miss ratio 0.5233, byte miss ratio 0.5233
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO cache size    41427, 1033298 req, miss ratio 0.4837, byte miss ratio 0.4837
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO cache size    82855, 1033298 req, miss ratio 0.4592, byte miss ratio 0.4592
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO cache size   165710, 1033298 req, miss ratio 0.4360, byte miss ratio 0.4360
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO cache size   331420, 1033298 req, miss ratio 0.4083, byte miss ratio 0.4083
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d-1 cache size      414, 1033298 req, miss ratio 0.5730, byte miss ratio 0.5730
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d-1 cache size     1242, 1033298 req, miss ratio 0.5388, byte miss ratio 0.5388
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d-1 cache size     4142, 1033298 req, miss ratio 0.4898, byte miss ratio 0.4898
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d-1 cache size    12428, 1033298 req, miss ratio 0.4681, byte miss ratio 0.4681
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d-1 cache size    41427, 1033298 req, miss ratio 0.4484, byte miss ratio 0.4484
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d-1 cache size    82855, 1033298 req, miss ratio 0.4351, byte miss ratio 0.4351
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d-1 cache size   165710, 1033298 req, miss ratio 0.4200, byte miss ratio 0.4200
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-d-1 cache size   331420, 1033298 req, miss ratio 0.4032, byte miss ratio 0.4032
result/cdn2_colo28.ns2736.oracleGeneral.zst LRB cache size      414, 1033298 req, miss ratio 0.5911, byte miss ratio 0.5911
result/cdn2_colo28.ns2736.oracleGeneral.zst LRB cache size     1242, 1033298 req, miss ratio 0.5705, byte miss ratio 0.5705
result/cdn2_colo28.ns2736.oracleGeneral.zst LRB cache size     4142, 1033298 req, miss ratio 0.5438, byte miss ratio 0.5438
result/cdn2_colo28.ns2736.oracleGeneral.zst LRB cache size    12428, 1033298 req, miss ratio 0.5070, byte miss ratio 0.5070
result/cdn2_colo28.ns2736.oracleGeneral.zst LRB cache size    41427, 1033298 req, miss ratio 0.4663, byte miss ratio 0.4663
result/cdn2_colo28.ns2736.oracleGeneral.zst LRB cache size    82855, 1033298 req, miss ratio 0.4465, byte miss ratio 0.4465
result/cdn2_colo28.ns2736.oracleGeneral.zst LRB cache size   165710, 1033298 req, miss ratio 0.4261, byte miss ratio 0.4261
result/cdn2_colo28.ns2736.oracleGeneral.zst LRB cache size   331420, 1033298 req, miss ratio 0.4037, byte miss ratio 0.4037
result/cdn2_colo28.ns2736.oracleGeneral.zst B-LRU cache size      414, 1033298 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns2736.oracleGeneral.zst B-LRU cache size     1242, 1033298 req, miss ratio 0.5603, byte miss ratio 0.5603
result/cdn2_colo28.ns2736.oracleGeneral.zst B-LRU cache size     4142, 1033298 req, miss ratio 0.5154, byte miss ratio 0.5154
result/cdn2_colo28.ns2736.oracleGeneral.zst B-LRU cache size    12428, 1033298 req, miss ratio 0.4803, byte miss ratio 0.4803
result/cdn2_colo28.ns2736.oracleGeneral.zst B-LRU cache size    41427, 1033298 req, miss ratio 0.4606, byte miss ratio 0.4606
result/cdn2_colo28.ns2736.oracleGeneral.zst B-LRU cache size    82855, 1033298 req, miss ratio 0.4584, byte miss ratio 0.4584
result/cdn2_colo28.ns2736.oracleGeneral.zst B-LRU cache size   165710, 1033298 req, miss ratio 0.4584, byte miss ratio 0.4584
result/cdn2_colo28.ns2736.oracleGeneral.zst B-LRU cache size   331420, 1033298 req, miss ratio 0.4584, byte miss ratio 0.4584
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      414, 1033298 req, miss ratio 0.5879, byte miss ratio 0.5879
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1242, 1033298 req, miss ratio 0.5669, byte miss ratio 0.5669
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4142, 1033298 req, miss ratio 0.5320, byte miss ratio 0.5320
result/cdn2_colo28.ns2736.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    12428, 1033298 req, miss ratio 0.4926, byte miss ratio 0.4926
