result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d-1 cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d-1 cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d-1 cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LRB cache size       15, 4501638 req, miss ratio 0.1108, byte miss ratio 0.1108
result/cdn2_allcolo.ns460.oracleGeneral.zst LRB cache size       47, 4501638 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns460.oracleGeneral.zst LRB cache size      156, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LRB cache size      470, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LRB cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LRB cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LRB cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst LRB cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       15, 4501638 req, miss ratio 0.1299, byte miss ratio 0.1299
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       47, 4501638 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      156, 4501638 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      470, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst B-LRU cache size       15, 4501638 req, miss ratio 0.1104, byte miss ratio 0.1104
result/cdn2_allcolo.ns460.oracleGeneral.zst B-LRU cache size       47, 4501638 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns460.oracleGeneral.zst B-LRU cache size      156, 4501638 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns460.oracleGeneral.zst B-LRU cache size      470, 4501638 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns460.oracleGeneral.zst B-LRU cache size     1567, 4501638 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns460.oracleGeneral.zst B-LRU cache size     3135, 4501638 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns460.oracleGeneral.zst B-LRU cache size     6270, 4501638 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns460.oracleGeneral.zst B-LRU cache size    12540, 4501638 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns460.oracleGeneral.zst TwoQ cache size       15, 4501638 req, miss ratio 0.0919, byte miss ratio 0.0919
result/cdn2_allcolo.ns460.oracleGeneral.zst TwoQ cache size       47, 4501638 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_allcolo.ns460.oracleGeneral.zst TwoQ cache size      156, 4501638 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns460.oracleGeneral.zst TwoQ cache size      470, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst TwoQ cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst TwoQ cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst TwoQ cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst TwoQ cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size       15, 4501638 req, miss ratio 0.0958, byte miss ratio 0.0958
result/cdn2_allcolo.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size       47, 4501638 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size      156, 4501638 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_allcolo.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size      470, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d cache size       15, 4501638 req, miss ratio 0.0780, byte miss ratio 0.0780
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d cache size       47, 4501638 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d cache size      156, 4501638 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d cache size      470, 4501638 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO cache size       15, 4501638 req, miss ratio 1.0000, byte miss ratio 1.0000
