result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d cache size      445, 1841858 req, miss ratio 0.1351, byte miss ratio 0.1351
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d cache size     1337, 1841858 req, miss ratio 0.1166, byte miss ratio 0.1166
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d cache size     4459, 1841858 req, miss ratio 0.0831, byte miss ratio 0.0831
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d cache size     8919, 1841858 req, miss ratio 0.0716, byte miss ratio 0.0716
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d cache size    17839, 1841858 req, miss ratio 0.0486, byte miss ratio 0.0486
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d cache size    35678, 1841858 req, miss ratio 0.0266, byte miss ratio 0.0266
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       44, 1841858 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      133, 1841858 req, miss ratio 0.3017, byte miss ratio 0.3017
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      445, 1841858 req, miss ratio 0.1776, byte miss ratio 0.1776
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1337, 1841858 req, miss ratio 0.1068, byte miss ratio 0.1068
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4459, 1841858 req, miss ratio 0.0827, byte miss ratio 0.0827
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8919, 1841858 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17839, 1841858 req, miss ratio 0.0450, byte miss ratio 0.0450
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    35678, 1841858 req, miss ratio 0.0254, byte miss ratio 0.0254
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       44, 1841858 req, miss ratio 0.4881, byte miss ratio 0.4881
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      133, 1841858 req, miss ratio 0.2346, byte miss ratio 0.2346
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      445, 1841858 req, miss ratio 0.1363, byte miss ratio 0.1363
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1337, 1841858 req, miss ratio 0.0988, byte miss ratio 0.0988
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4459, 1841858 req, miss ratio 0.0814, byte miss ratio 0.0814
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8919, 1841858 req, miss ratio 0.0682, byte miss ratio 0.0682
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17839, 1841858 req, miss ratio 0.0463, byte miss ratio 0.0463
result/tencentBlock.ns3600.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    35678, 1841858 req, miss ratio 0.0251, byte miss ratio 0.0251
