result/prxy_0.IQI.bin.oracleGeneral.zst LIRS cache size    62272, 12518968 req, miss ratio 0.0176, byte miss ratio 0.0176
result/prxy_0.IQI.bin.oracleGeneral.zst LIRS cache size   124544, 12518968 req, miss ratio 0.0127, byte miss ratio 0.0127
result/prxy_0.IQI.bin.oracleGeneral.zst LRU cache size      155, 12518968 req, miss ratio 0.9288, byte miss ratio 0.9288
result/prxy_0.IQI.bin.oracleGeneral.zst LRU cache size      467, 12518968 req, miss ratio 0.9031, byte miss ratio 0.9031
result/prxy_0.IQI.bin.oracleGeneral.zst LRU cache size     1556, 12518968 req, miss ratio 0.3629, byte miss ratio 0.3629
result/prxy_0.IQI.bin.oracleGeneral.zst LRU cache size     4670, 12518968 req, miss ratio 0.0853, byte miss ratio 0.0853
result/prxy_0.IQI.bin.oracleGeneral.zst LRU cache size    15568, 12518968 req, miss ratio 0.0476, byte miss ratio 0.0476
result/prxy_0.IQI.bin.oracleGeneral.zst LRU cache size    31136, 12518968 req, miss ratio 0.0261, byte miss ratio 0.0261
result/prxy_0.IQI.bin.oracleGeneral.zst LRU cache size    62272, 12518968 req, miss ratio 0.0163, byte miss ratio 0.0163
result/prxy_0.IQI.bin.oracleGeneral.zst LRU cache size   124544, 12518968 req, miss ratio 0.0124, byte miss ratio 0.0124
result/prxy_0.IQI.bin.oracleGeneral.zst Clock cache size      155, 12518968 req, miss ratio 0.9260, byte miss ratio 0.9260
result/prxy_0.IQI.bin.oracleGeneral.zst Clock cache size      467, 12518968 req, miss ratio 0.8984, byte miss ratio 0.8984
result/prxy_0.IQI.bin.oracleGeneral.zst Clock cache size     1556, 12518968 req, miss ratio 0.3584, byte miss ratio 0.3584
result/prxy_0.IQI.bin.oracleGeneral.zst Clock cache size     4670, 12518968 req, miss ratio 0.0832, byte miss ratio 0.0832
result/prxy_0.IQI.bin.oracleGeneral.zst Clock cache size    15568, 12518968 req, miss ratio 0.0491, byte miss ratio 0.0491
result/prxy_0.IQI.bin.oracleGeneral.zst Clock cache size    31136, 12518968 req, miss ratio 0.0283, byte miss ratio 0.0283
result/prxy_0.IQI.bin.oracleGeneral.zst Clock cache size    62272, 12518968 req, miss ratio 0.0172, byte miss ratio 0.0172
result/prxy_0.IQI.bin.oracleGeneral.zst Clock cache size   124544, 12518968 req, miss ratio 0.0134, byte miss ratio 0.0134
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size      155, 12518968 req, miss ratio 0.8774, byte miss ratio 0.8774
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size      467, 12518968 req, miss ratio 0.8324, byte miss ratio 0.8324
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size     1556, 12518968 req, miss ratio 0.3099, byte miss ratio 0.3099
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size     4670, 12518968 req, miss ratio 0.0724, byte miss ratio 0.0724
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size    15568, 12518968 req, miss ratio 0.0468, byte miss ratio 0.0468
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size    31136, 12518968 req, miss ratio 0.0265, byte miss ratio 0.0265
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size    62272, 12518968 req, miss ratio 0.0167, byte miss ratio 0.0167
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size   124544, 12518968 req, miss ratio 0.0134, byte miss ratio 0.0134
result/prxy_0.IQI.bin.oracleGeneral.zst LRB cache size      155, 12518968 req, miss ratio 0.8389, byte miss ratio 0.8389
result/prxy_0.IQI.bin.oracleGeneral.zst LRB cache size      467, 12518968 req, miss ratio 0.6801, byte miss ratio 0.6801
result/prxy_0.IQI.bin.oracleGeneral.zst LRB cache size     1556, 12518968 req, miss ratio 0.2205, byte miss ratio 0.2205
result/prxy_0.IQI.bin.oracleGeneral.zst LRB cache size     4670, 12518968 req, miss ratio 0.0719, byte miss ratio 0.0719
result/prxy_0.IQI.bin.oracleGeneral.zst LRB cache size    15568, 12518968 req, miss ratio 0.0420, byte miss ratio 0.0420
result/prxy_0.IQI.bin.oracleGeneral.zst LRB cache size    31136, 12518968 req, miss ratio 0.0237, byte miss ratio 0.0237
result/prxy_0.IQI.bin.oracleGeneral.zst LRB cache size    62272, 12518968 req, miss ratio 0.0153, byte miss ratio 0.0153
result/prxy_0.IQI.bin.oracleGeneral.zst LRB cache size   124544, 12518968 req, miss ratio 0.0125, byte miss ratio 0.0125
result/prxy_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size      155, 12518968 req, miss ratio 0.8852, byte miss ratio 0.8852
result/prxy_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size      467, 12518968 req, miss ratio 0.8753, byte miss ratio 0.8753
result/prxy_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1556, 12518968 req, miss ratio 0.6656, byte miss ratio 0.6656
result/prxy_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4670, 12518968 req, miss ratio 0.0745, byte miss ratio 0.0745
result/prxy_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15568, 12518968 req, miss ratio 0.0506, byte miss ratio 0.0506
result/prxy_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size    31136, 12518968 req, miss ratio 0.0300, byte miss ratio 0.0300
result/prxy_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size    62272, 12518968 req, miss ratio 0.0168, byte miss ratio 0.0168
result/prxy_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size   124544, 12518968 req, miss ratio 0.0127, byte miss ratio 0.0127
result/prxy_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      155, 12518968 req, miss ratio 0.9156, byte miss ratio 0.9156
result/prxy_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      467, 12518968 req, miss ratio 0.8448, byte miss ratio 0.8448
result/prxy_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1556, 12518968 req, miss ratio 0.4129, byte miss ratio 0.4129
result/prxy_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4670, 12518968 req, miss ratio 0.0972, byte miss ratio 0.0972
result/prxy_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15568, 12518968 req, miss ratio 0.0536, byte miss ratio 0.0536
result/prxy_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    31136, 12518968 req, miss ratio 0.0363, byte miss ratio 0.0363
result/prxy_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    62272, 12518968 req, miss ratio 0.0186, byte miss ratio 0.0186
